id,feature_type,DEPOSIT_NAME,longitude,latitude,geometry_name,geometry_type,STATE,OPERATING_STATUS,COMMODITY_NAMES,ENO,SYNONYMS,LONG_GDA94,LAT_GDA94,ACCURACY_M,COMMODITY_CODES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL,LINKED_FILES
MineralDeposits.333876,Feature,Rosebery,145.5431,-41.7723,DEPOSIT_LOCATION,Point,TAS,operating mine,"Zinc, Lead, Silver, Gold, (Copper, Bismuth, Cadmium, Antimony)",333876,,145.5431,-41.7723,999.0,"Zn, Pb, Ag, Au, (Cu, Bi, Cd, Sb)",Minerals and Metals Group (MMG),http://www.mmg.com/,"Delamerian Orogen, Dundas Trough, Mount Read Igneous Province, Rosebery Basemetal Metallogenic Province",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Felsic-siliciclastic VMS",N
MineralDeposits.333880,Feature,Kanowna Belle,121.5761,-30.6101,DEPOSIT_LOCATION,Point,WA,operating mine,Gold,333880,,121.5761,-30.6101,500.0,Au,Northern Star Resources Limited,http://www.nsrltd.com/,"Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Gold Metallogenic Province, Kalgoorlie Terrane, Norseman-Wiluna Belt",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold",N
MineralDeposits.333883,Feature,Silvergrass (Rio),117.1852,-22.1833,DEPOSIT_LOCATION,Point,WA,operating mine,"Iron ore, Hematite, Iron",333883,,117.1852,-22.1833,100.0,"FeOre, Hem, Fe",Rio Tinto Limited,http://www.riotinto.com.au/,Hamersley Basin,Archean,,N
MineralDeposits.333889,Feature,Union Hill,144.0731,-36.9849,DEPOSIT_LOCATION,Point,VIC,historic mine,"Gold, Silver",333889,"Maldon Project, Union Hill",144.0731,-36.9849,999.0,"Au, Ag",Kaiser Reef Limited,https://www.kaiserreef.com.au/,"Lachlan Orogen, Lachlan Orogen, Bendigo Gold Metallogenic Province",,,N
MineralDeposits.333890,Feature,Gossan Hill mine,116.9626,-28.7772,DEPOSIT_LOCATION,Point,WA,operating mine,"Copper, Zinc, Gold, Silver, (Lead)",333890,Golden Grove,116.9626,-28.7772,500.0,"Cu, Zn, Au, Ag, (Pb)",29Metals Ltd,http://www.29metals.com,"Yilgarn Craton, Golden Grove Base Metal Metallogenic Province, Murchison Domain (Youanmi Terrane), Murchison Domain",Archean,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Felsic-siliciclastic VMS",N
MineralDeposits.333891,Feature,Pentland,145.1986,-20.6335,DEPOSIT_LOCATION,Point,QLD,mineral deposit,Coal - black,333891,"Lauderdale, Northern Galilee Project",145.1986,-20.6335,2000.0,Cbl,"Unnamed Owner, Glencore Plc",http://www.glencore.com/,Galilee Basin,,,N
MineralDeposits.333907,Feature,Hope Downs JV,119.1229,-22.9469,DEPOSIT_LOCATION,Point,WA,operating mine,"Iron, Iron ore",333907,includes Hope North and Hope South,119.1229,-22.9469,250.0,"Fe, FeOre","Hancock Prospecting Pty Ltd, Rio Tinto Limited","http://www.hancockprospecting.com.au/, http://www.riotinto.com.au/",Hamersley Basin,,"Environment: Basin chemical, Group: Iron formation, Type: Superior-type banded iron formation",N
MineralDeposits.333909,Feature,Broula King,148.4394,-33.9159,DEPOSIT_LOCATION,Point,NSW,mineral deposit,Gold,333909,,148.4394,-33.9159,500.0,Au,"Capital Mining Limited, Resource Base Limited","http://www.capitalmining.com.au/, http://www.resourcebase.com.au/",Lachlan Orogen,Paleozoic,,N
MineralDeposits.333911,Feature,Eulogie,150.4344,-23.8453,DEPOSIT_LOCATION,Point,QLD,mineral deposit,"Iron, Titanium, Vanadium pentoxide",333911,,150.4344,-23.8453,999.0,"Fe, Ti, V2O5",Central Queensland Metals Pty Ltd.,https://cqmetals.com.au/,New England Orogen,,"Environment: Magmatic, Group: Ultramafic and (or) mafic-layered intrusion, Type: U-M layered intrusion iron-titanium-vanadium",Y
MineralDeposits.333912,Feature,Oceana,145.3314,-41.9155,DEPOSIT_LOCATION,Point,TAS,historic mine,"Lead, Zinc, Silver",333912,,145.3314,-41.9155,999.0,"Pb, Zn, Ag",Creat Resources Holdings Limited,http://www.creatresources.com/,Delamerian Orogen,Paleozoic,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Irish-type sediment-hosted zinc-lead",N
