node_type,node_id,x,y
Company,comp_5754,9.392371,-23.605455
Company,comp_5755,-36.66609,-13.691527
Company,comp_5756,-37.13081,-10.676016
Company,comp_5757,-27.43841,-6.5272174
Company,comp_5758,40.238388,-23.751795
Company,comp_5761,1.3508805,-24.793957
Company,comp_5762,16.7619,4.9775863
Company,comp_5764,-2.186658,-22.53652
Company,comp_5767,4.8877115,2.973995
Company,comp_5773,-32.75555,-21.525034
Company,comp_5776,31.131174,-12.49588
Company,comp_5790,-0.4136126,-22.63394
Company,comp_5791,18.773144,-7.444242
Company,comp_5793,8.074681,-12.623612
Company,comp_5797,33.611557,-11.884901
Company,comp_5798,24.234167,18.06902
Company,comp_5802,40.437294,-21.32122
Company,comp_5806,33.859814,-16.677921
Company,comp_5809,-4.701512,-9.638185
Company,comp_5810,-9.08263,-28.489086
Company,comp_5815,20.491812,3.035657
Company,comp_5817,-1.0224417,11.683452
Company,comp_5818,36.3549,-16.518536
Company,comp_5819,20.39195,-2.741122
Company,comp_5820,22.715128,47.080677
Company,comp_5821,12.358801,-10.247907
Company,comp_5822,39.281628,-1.3646175
Company,comp_5824,24.77587,-11.90241
Company,comp_5825,-27.976955,14.966314
Company,comp_5829,63.338123,2.6303918
Company,comp_5831,45.22475,15.24423
Company,comp_5835,21.30494,-5.0203986
Company,comp_5836,-12.913628,21.719072
Company,comp_5839,-7.350296,11.750088
Company,comp_5842,4.999109,-2.1566503
Company,comp_5844,8.338738,12.47946
Company,comp_5847,-28.279242,-4.2602057
Company,comp_5855,-24.661652,21.649231
Company,comp_5858,17.619839,-30.521498
Company,comp_5860,19.638794,-12.709998
Company,comp_5861,-10.77997,8.21707
Company,comp_5862,20.970873,46.287106
Company,comp_5863,45.186436,11.711849
Company,comp_5864,0.21314065,12.933965
Company,comp_5865,9.2079115,-17.881882
Company,comp_5868,-11.239666,-20.41156
Company,comp_5873,-0.095795445,22.08741
Company,comp_5874,4.0904436,-34.323353
Company,comp_5875,11.32746,-3.8882618
Company,comp_5877,11.874328,-21.292446
Company,comp_5883,12.615088,11.613986
Company,comp_5889,7.825373,10.645942
Company,comp_5890,11.666827,8.755086
Company,comp_5891,16.698107,-4.7417727
Company,comp_5902,9.65928,-18.94482
Company,comp_5905,22.047577,-7.918227
Company,comp_5908,16.994665,11.1701145
Company,comp_5910,16.637835,-5.061521
Company,comp_5923,13.598762,-4.210956
Company,comp_5927,1.7676238,11.107636
Company,comp_5932,62.098106,5.462899
Company,comp_5934,-1.6088201,43.977528
Company,comp_5940,52.183144,13.409345
Company,comp_5950,1.5687301,-28.183731
Company,comp_5952,-3.203965,-24.516228
Company,comp_5956,6.081415,28.300913
Company,comp_5960,34.80535,-0.9269842
Company,comp_5962,42.274494,-13.894894
Company,comp_5967,-7.124146,-11.604832
Company,comp_5969,12.392112,-10.010679
Company,comp_5971,15.288538,14.894947
Company,comp_5976,9.319833,-19.446613
Company,comp_5981,12.763755,-28.555952
Company,comp_5988,9.59372,0.52328366
Company,comp_5989,18.680122,4.641592
Company,comp_5990,14.546794,-16.634146
Company,comp_5992,13.338313,11.540041
Company,comp_5996,12.182148,-27.765137
Company,comp_6003,-4.281228,15.000259
Company,comp_6006,5.051154,-23.637522
Company,comp_6007,23.82715,-9.01389
Company,comp_6013,7.497972,11.299879
Company,comp_6014,3.5483596,-22.444216
Company,comp_6020,-14.693766,-3.7603705
Company,comp_6022,7.248813,10.792463
Company,comp_6028,37.973755,2.6441042
Company,comp_6030,17.869505,7.432857
Company,comp_6032,14.595572,-16.32673
Company,comp_6035,-11.859884,-20.647753
Company,comp_6040,42.167667,-14.636104
Company,comp_6041,-25.735949,-7.918837
Company,comp_6044,28.558907,1.233746
Company,comp_6052,34.50682,-3.2373905
Company,comp_6061,2.1014347,-23.75728
Company,comp_6064,4.3465075,-17.50612
Company,comp_6070,19.039164,3.9109454
Company,comp_6072,11.730499,-27.145063
Company,comp_6073,35.73535,21.823711
Company,comp_6074,15.756705,46.635876
Company,comp_6075,43.42444,11.429507
Company,comp_6077,46.20515,15.08259
Company,comp_6091,-4.428762,-24.807142
Company,comp_6105,0.3874308,12.447598
Company,comp_6106,-14.9386635,4.8952274
Company,comp_6109,-6.4757247,-10.939017
Company,comp_6112,-15.424289,-13.4204645
Company,comp_6114,18.087757,5.769789
Company,comp_6115,30.258589,22.311464
Company,comp_6119,13.666348,-4.217004
Company,comp_6121,4.029785,-33.02017
Company,comp_6122,13.367806,-4.732469
Company,comp_6127,4.182144,-34.316936
Company,comp_6141,45.028343,-3.0323234
Company,comp_6148,60.805172,6.6580405
Company,comp_6149,-6.1962314,21.235247
Company,comp_6153,29.417751,21.674301
Company,comp_6158,23.427757,-6.663877
Company,comp_6168,-14.528254,-3.5628316
Company,comp_6180,6.327907,11.790931
Company,comp_6198,20.15622,-2.755123
Company,comp_6203,-10.980352,-3.8145807
