Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
1843158D AU Equity,APERIO RESOURCES,AU,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0611227D CN Equity,RIFT RESOURCES,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
UW CN Equity,UNDERWORLD RESOU,CA,Common Stock,--,--,--,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Precious Metals,Gold,--
0698985D TI Equity,AKDENIZ RESOURCE,TR,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696422D AU Equity,TELFER GOLD MINE,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696747D SJ Equity,SIPHUMELELE PGM,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
WELK LN Equity,WELKOM GOLD HLDG,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696745D SJ Equity,BATHOPELE PGM MI,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
0696743D SJ Equity,KHOMANANI PGM MI,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
0696742D SJ Equity,KHUSELEKA PGM MI,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
0696741D SJ Equity,THEMBELANI PGM M,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
0696735D SJ Equity,BOIKGANTSHO PGM,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,--
0696724D IJ Equity,CIBALIUNG GOLD M,ID,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696612D CI Equity,CERRO BAYO GOLD,CL,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0694529D AU Equity,PLUTONIC GOLD MI,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0700228D US Equity,CANYON MINERALS,US,Common Stock,--,--,26.46k,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696562D PE Equity,LA ZANJA GOLD DE,PE,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1695917D CN Equity,PAMLICO RES LTD,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1698485D CN Equity,BLACK MOUNT MNRL,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
MSS AU Equity,MESSINA RESOURCE,AU,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
JAK AU Equity,JACKSON MINERALS,AU,Common Stock,--,--,8.05M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Precious Metals,--,--
1723814D CN Equity,PALMAREJO SILVER,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
1735670D US Equity,SUMMA METALS CRP,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
PRS SJ Equity,POTGIETERSRUST,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
ALM MO Equity,ALMAAS JSC,MN,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0694530D AR Equity,VELADERO GOLD MI,AR,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1739000D CN Equity,BEAR MOUNTAIN GO,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0694537D PB Equity,PORGERA GOLD MIN,PG,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1742552D IN Equity,AUGMONT ENTERPRI,IN,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0286642D VI Equity,GOLD FIELDS OROG,IM,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
