Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
SUM AU Equity,SUMMIT MINERALS,AU,Common Stock,4.21M,418.38k,13.35M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
OCT AU Equity,OCTAVA MINERALS,AU,Common Stock,4.19M,0,5.14M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
CIO CN Equity,CENTRAL IRON ORE,AU,Common Stock,4.11M,0,4.42M,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Iron,Iron Ore Mining,--
RIE AU Equity,RIEDEL RESOURCES,AU,Common Stock,4.11M,8.94k,6.43M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
OLV CN Equity,OLIVUT RESOURCES,CA,Common Stock,4.08M,0,800.71k,--,Precious Metals and Mining,Diamonds and Gemstones,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining,Gemstones
CR9 AU Equity,CORELLA RESOURCE,AU,Common Stock,4.03M,0,3.70M,--,"Oil, Gas and Coal",Oil: Crude Producers,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
ACRL US Equity,ATACAMA RESOURCE,US,Common Stock,3.98M,0,29.88k,--,Industrial Support Services,Professional Business Support Services,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
TES CN Equity,TESORO MINERALS,CA,Common Stock,3.98M,0,299.07k,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
SRS CN Equity,SORRENTO RESOURC,CA,Common Stock,3.96M,0,964.42k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
BOCA CN Equity,BOCANA RESOURCES,CA,Common Stock,3.90M,0,1.41M,--,"Oil, Gas and Coal",Oil: Crude Producers,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
CHR AU Equity,CHARGER METALS N,AU,Common Stock,3.79M,0,13.74M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
MNRG CN Equity,MONUMENTAL ENERG,CA,Common Stock,3.78M,--,459.13k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
SQX AU Equity,SQX RESOURCES LT,AU,Common Stock,3.75M,0,3.31M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
WMK CN Equity,WHITEMUD RESOURC,CA,Common Stock,3.74M,135.22k,10.85M,--,Construction and Materials,Building Materials: Other,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Clay
ROAD CN Equity,MINERAL ROAD DIS,CA,Common Stock,3.70M,0,5.56M,--,--,--,--,--,Metals & Mining,Mining Services,--,--
PLC AU Equity,PREMIER1 LITHIUM,AU,Common Stock,3.68M,1.32M,5.56M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
