ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,GEOLOGIC_AGE,DEPOSIT_MODEL_ENVIRONMENT,DEPOSIT_MODEL_GROUP,DEPOSIT_MODEL_TYPE,PROVINCES,IGNEOUS,METALLOGENIC,SEDIMENTARY,TECTONIC
336060,PPP,Plutonic Dome Project,WA,119.6499,-25.1995,historic mine,Au,Ag,"Gold, (Silver)","Vango Mining Ltd, Dampier Gold Limited",,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"Marymia Dome,West Australian Element,Yilgarn Craton"
336061,Wee Macgregor,,QLD,139.9431,-20.9094,mineral deposit,"Cu, Au",,"Copper, Gold",Cape Lambert Resources Ltd,Proterozoic,,,,Mount Isa Orogen,,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element"
336062,Lotus South - Mt McClure,Bronzewing Gold Project,WA,120.9324,-27.41,mineral deposit,Au,,Gold,Navigator Resources Limited,Archean,unknown,unknown,unknown,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
336063,South Junction,Yaloginda Project,WA,118.423,-26.7239,historic mine,Au,,Gold,"Metals X Limited, Reed Resources Limited",Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,Hope Paleovalley,"West Australian Element,Yilgarn Craton"
336064,Moranbah South,,QLD,148.0399,-22.0565,mineral deposit,Cbl,,Coal - black,"Anglo American Plc, Exxaro resources Ltd., South Africa",,,,,Bowen Basin,,,"Bowen Basin,Drummond Basin","Anakie Province,Tasman Element,Thomson Orogen"
336066,Mount Gunyan,"Mt Gunyan, Twin Hills Project",QLD,151.2905,-28.8306,under development,"Ag, Pb","Au, Zn","Silver, (Gold, Lead, Zinc)",Thomson Resources Ltd,,Magmatic hydrothermal,Epithermal,Low-sulfidation (LS) epithermal gold-silver,"New England Orogen, Woolomin Province",,,,"New England Orogen,Tasman Element,Woolomin Province"
336067,Granny Venn,,WA,121.092,-29.6608,mineral deposit,Au,,Gold,Resources & Energy Group Limited,,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
336069,Maninga Marley,,WA,119.4895,-28.1731,mineral deposit,Au,,Gold,"Alto Metals Ltd, Troy Resources NL",,unknown,unknown,unknown,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
336070,Gladiator North,Central Laverton Project,WA,122.3566,-28.6198,mineral deposit,Au,,Gold,Focus Minerals Limited,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
467218,Carolina,Tottenham,NSW,147.448,-32.2205,mineral deposit,"Cu, Au",,"Copper, Gold",Locksley Resources Limited,,unknown,unknown,unknown,"Lachlan Orogen, Girilambone Zone",,,,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element"
467228,Webbs,Webbs Silver Project,NSW,151.5477,-29.3469,historic mine,"Ag, Zn, Cu",Pb,"Silver, Zinc, Copper, (Lead)",Silver Mines Limited,,Magmatic hydrothermal,Epithermal,Intermediate-sulfidation (IS) epithermal silver-gold ± Zn,New England Orogen,,,,"New England Orogen,Tasman Element,Woolomin Province"
467235,Reliance,Flinders Project,SA,138.4103,-30.6358,mineral deposit,"Zn, Pb",,"Zinc, Lead",Perilya Limited,,,,,Delamerian Orogen,,,,"Delamerian Orogen,South Australian Element"
467236,Myrtle,,NT,136.0326,-16.5754,mineral deposit,"Zn, Pb",,"Zinc, Lead",Rox Resources Limited,,Basin hydrothermal,Sediment-hosted,Siliciclastic-carbonate zinc-lead,McArthur Basin,,,McArthur Basin,North Australian Element
467238,Wonawinta,Cobar,NSW,145.7322,-32.2181,under development,"Ag, Pb",,"Silver, Lead",Manuka Resources ltd.,,Supergene,Supergene,Supergene silver,"Delamerian Orogen, Cobar Basin",,,"Darling Basin,Yathong Trough","Delamerian Orogen,Tasman Element"
467240,Sunshine,,TAS,145.3134,-41.9045,mineral deposit,"Zn, Ag, Pb",,"Zinc, Silver, Lead",Stonehenge Metals,,,,,Delamerian Orogen,,Avebury Nickel Metallogenic Province,Thylacine Province,"Delamerian Orogen,Tasman Element"
467253,Watta,,QLD,139.4531,-20.1529,mineral deposit,"U, U3O8",,"Uranium, Uranium oxide",Paladin Energy Limited,Proterozoic,Regional metasomatic,Alkali-calcic,Albitite-hosted uranium,Mount Isa Orogen,,,,"Leichhardt River Domain,Mount Isa Orogen,North Australian Element"
467257,Augusta,"C Lode, Costerfield Project, E Lode, N Lode, W Lode",VIC,144.8024,-36.8987,mineral deposit,"Au, Sb",,"Gold, Antimony",Mandalay Resources Corporation,,,,,Lachlan Orogen,,,Selwyn Province,"Lachlan Orogen,Melbourne-Mathinna Zone,Tasman Element"
467260,Whitewash,,QLD,150.875,-24.8065,mineral deposit,"Mo, Cu",Ag,"Molybdenum, Copper, (Silver)",Aeon Metals Limited,,,,,New England Orogen,,,,"New England Orogen,Tasman Element,Yarrol Province"
467268,Djibitgun,Manbarrum,NT,129.2726,-15.2974,mineral deposit,"Pb, Zn, Ag",,"Lead, Zinc, Silver",TNG Limited,,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,Bonaparte Basin,Kalkarindji Igneous Province,,"Bonaparte Basin,Petrel Sub-basin","Halls Creek Orogen,Lamboo Province,North Australian Element"
467786,Prospect Hill,South Ridge,SA,139.5313,-29.7918,mineral deposit,Sn,,Tin,Havilah Resources NL,,,,,Curnamona Province,,,,"Curnamona Province,South Australian Element"
467794,Lounge Lizard Nickel,,WA,119.6876,-32.4301,operating mine,"Cu, Ni, Co",,"Copper, Nickel, Cobalt",Western Areas Limited,,,,,Yilgarn Craton,,Forrestania Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
467799,Ned Kelly,,QLD,139.9827,-20.0259,mineral deposit,Cu,,Copper,Matrix metals,,,,,Mount Isa Orogen,,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element"
467805,Mount Millicent,,QLD,139.99,-19.9576,mineral deposit,Cu,,Copper,Matrix metals,,,,,Mount Isa Orogen,,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element"
467811,Thursdays Gossan,"Stavely, TGC Deposit",VIC,142.6124,-37.6078,mineral deposit,Cu,"Ag, Au","Copper, (Silver, Gold)",Stavely Minerals Limited,,Magmatic hydrothermal,Porphyry,Porphyry copper-molybdenum,"Delamerian Orogen, Grampians-Stavely Zone",,,,"Delamerian Orogen,Tasman Element"
467826,Deadmans Gully,,QLD,145.3049,-17.5863,historic mine,Sn,Fe,"Tin, (Iron)",Huntore,,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,"Mossman Orogen, Hodgkinson Province",,,,"Hodgkinson Province,Mossman Orogen,Tasman Element"
512259,Pebbles,Western Tanami Project,WA,128.8035,-19.9511,mineral deposit,Au,,Gold,"Northern Star Resources Limited, Tanami Gold NL",Proterozoic,,,,Tanami Orogen,Kalkarindji Igneous Province,,,"North Australian Element,Tanami Orogen"
512261,Whirling Dervish,Carosue Dam Project,WA,122.3588,-30.1434,operating mine,Au,,Gold,Saracen Mineral Holdings Limited,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
512335,Brunt,,NSW,151.15,-29.1333,mineral deposit,Cbl,,Coal - black,Whitehaven Coal Limited,,,,,Ashford Basin,,,,"New England Orogen,Tasman Element,Woolomin Province"
512348,Kogan,Underground Coal Gasification,QLD,150.7415,-27.0591,mineral deposit,Cbl,,Coal - black,Carbon Energy Limited,,,,,Surat Basin,,,Surat Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
512353,Blackall (EPC 1149),located in Eromanga Basin,QLD,145.4164,-24.8565,mineral deposit,Cbl,,Coal - black,"East Energy Resources Limited, AustChina Holdings Limited",,,,,Eromanga Basin,,,"Adavale Basin,Eromanga Basin,Galilee Basin","Tasman Element,Thomson Orogen"
512356,Langloh,Hamilton,TAS,146.767,-42.51,mineral deposit,Cbl,,Coal - black,"Advaita Power Resources Pty Ltd, Spitfire Resources Limited",,,,,Tasmania Basin,,,"Tasmania Basin,Thylacine Province","Delamerian Orogen,Tasman Element"
512358,Sienna,,QLD,148.6757,-22.7967,mineral deposit,Cbl,,Coal - black,Norton Gold Fields Limited,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
512476,South Galilee,Alpha,QLD,146.4604,-23.735,mineral deposit,Cbl,,Coal - black,"Bandanna Energy Limited, Fitzroy Mining Operations Pty Ltd, Enterprise Energy NL",,,,,Galilee Basin,,,"Drummond Basin,Galilee Basin","Tasman Element,Thomson Orogen"
512488,Duchess-Paradise,,WA,124.513,-18.158,mineral deposit,Cbl,,Coal - black,Rey Resources Ltd,,,,,Canning Basin,Kalkarindji Igneous Province,,Canning Basin,North Australian Element
512500,Anthiby Well,,WA,116.697,-22.826,mineral deposit,"FeOre, Fe",,"Iron ore, Iron",Atlas Iron Ltd,,,,,Pilbara Craton,Warakurna Large Igneous Province,,"Ashburton Basin,Beasley Paleovalley,Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
512503,Iron Valley (BC Iron),,WA,119.3171,-22.7201,operating mine,FeOre,Fe,"Iron ore, (Iron)","BC Iron Ltd, Iron Ore Holdings Ltd",,,,,Pilbara Craton,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
512507,Pilbara (Flinders),"Ajax, Anvil, Area D, Blackjack, Champion, Delta, Eagle",WA,117.446,-22.118,mineral deposit,"Fe, FeOre",,"Iron, Iron ore",Flinders Mines Ltd,,,,,Pilbara Craton,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
512513,Gum Flat (Lincoln Minerals),"Barns, Rifle Range, Sheoak West",SA,135.694,-34.706,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",Lincoln Minerals Limited,,Basin chemical,Iron formation,Superior-type banded iron formation,Gawler Craton,,,,"Gawler Craton,South Australian Element"
512516,Wodgina (Atlas Iron),"Anson, Arvo, Constellation, Dragon, Electra, Navajo",WA,118.6595,-21.2073,closed,FeOre,Fe,"Iron ore, (Iron)",Atlas Iron Ltd,,Volcanic basin hydrothermal,Volcanogenic,Algoma-type banded iron formation,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element"
568981,Hyperion (Suplejack),,NT,130.079,-19.56,mineral deposit,Au,,Gold,Prodigy Gold NL,,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Tanami Orogen,Kalkarindji Igneous Province,,,"North Australian Element,Tanami Orogen"
568992,Kauffmans,"Homestead, Rannes Project",QLD,150.1061,-24.1881,mineral deposit,"Au, Ag",,"Gold, Silver",SolGold plc,,,,,New England Orogen,,,Bowen Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
568994,Cracklin Rosie,Rannes Project,QLD,150.1122,-24.2409,mineral deposit,"Au, Ag",,"Gold, Silver",SolGold plc,,,,,New England Orogen,,,Bowen Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
568996,Porcupine,Rannes Project,QLD,150.1266,-24.1967,mineral deposit,"Ag, Au",,"Silver, Gold",SolGold plc,,,,,New England Orogen,,,Bowen Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
