Company_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
comp_74,-0.10951746,-0.3015965,-0.4843086,-0.29976553,0.686276,0.67259204,0.54999596,-0.467866,1.0255347,-0.6978398,0.3603902,0.16214372,0.44314185,0.8627311,1.814546,0.5458786
comp_80,0.07080759,-0.4426521,0.20605204,-0.026070736,0.10828492,0.53054297,0.05735481,-0.48158985,0.10327469,-0.35197386,0.23219162,-0.20763855,1.217067,0.057447284,0.36153737,-0.6966372
comp_82,0.06914454,-0.008997846,-0.020173771,-0.03681177,-0.1339185,0.19074531,-0.034137286,-0.033727165,-0.34617987,-0.07242831,0.38047186,-0.25378078,-0.33960876,-0.4863397,0.14856476,-0.24242039
comp_83,0.019205272,0.34158346,0.25517246,0.060479123,-0.5195841,-0.4054373,0.33077124,-0.4703511,0.42711288,0.2171825,0.4136598,-0.40498665,0.10646368,-0.056862347,0.1940937,-0.47024694
comp_84,1.1429989,0.02665436,-0.30491504,1.9367664,1.0006348,0.87706673,0.0923495,-0.72964936,0.85167384,-0.1513446,-0.7193595,0.16938674,0.06836121,0.8551024,-0.12457368,-0.32904193
comp_85,1.0109593,-0.3909993,0.30208454,-0.21037297,-0.85272884,0.21610646,-0.07873704,-0.005512745,-0.7221544,-0.39537248,0.74689305,-0.37930137,-1.017571,0.51371855,0.008153613,0.14705938
comp_88,-0.4775217,0.47780415,-0.67008424,-0.6400504,-0.64889175,0.043075614,-0.018945398,0.38175127,0.049285885,-0.51503146,-0.21668243,0.09687471,-0.6328501,-0.028383592,0.24181129,-0.1827533
comp_90,0.13468115,0.6735852,-0.04132966,-0.3908753,0.575259,-0.017580528,-0.33164516,-0.5088749,0.9015216,-0.41955215,0.70172644,0.4234818,-0.65206575,-0.07496564,0.18466192,0.41562504
comp_92,-0.46269372,-0.03647471,-0.56367755,0.25074336,-0.116994716,0.03704134,-0.14045237,0.08719644,0.05455046,-0.36912525,0.42875955,0.5228763,-0.20949621,-0.102815874,-0.047946252,-0.33943138
comp_95,0.095322244,0.56984633,-0.07831083,-0.6732023,0.8416821,-0.41624072,-0.23412824,-0.7634841,0.3042558,-0.14683408,0.72903514,0.50897574,0.19701256,0.8251712,0.14868307,-1.3857579
comp_99,-0.29571673,0.21315417,-0.4957901,-0.3337378,0.34453338,-0.02494922,-0.25426582,-0.18846372,0.31145474,-0.40880078,0.57205236,-0.08988606,-0.47263995,-0.12537678,0.27160203,0.03340316
comp_100,-0.39496747,0.7954052,0.26560625,0.8432389,-1.051028,0.36249912,0.33319554,-0.2493126,-0.40177038,-0.4537713,0.14935629,0.17286217,-0.33620107,-0.701508,0.9643703,-0.36938775
comp_103,0.9317153,-0.49860802,0.4547233,1.012097,-0.11115227,-0.38633007,-0.5021646,0.41494966,-0.088374,-0.49473444,-0.09424956,0.41921756,-0.5068965,-0.27054432,-0.1697678,-0.46577623
comp_106,-0.5240847,-0.04777771,-0.7710898,-0.052696608,0.3998485,0.5637173,1.4003265,0.14964171,-0.0062833726,-0.35611048,0.89235914,0.783524,-0.10280842,0.32389057,-0.10653925,-0.1379288
comp_107,0.1531164,0.10174137,-0.3064868,-0.50271475,-0.18262047,-0.46734896,0.344573,0.17308,-0.27818313,-0.2661218,0.19267456,0.055723563,-0.2985586,0.18122947,0.29828554,0.1256784
comp_108,-0.2275448,-0.09979609,-0.24646606,-0.61097115,-0.0105111245,-0.019016907,-0.012526794,0.2726724,-0.09731079,0.42338246,-0.024209,0.58045125,-0.051696055,-0.9792501,0.49279723,-0.278089
comp_110,-0.3831275,0.5005196,-0.21859722,-0.35393316,0.026862826,0.41006482,0.5799716,-0.10439728,-0.4588921,-0.12742998,0.7234756,0.2545815,0.16283397,-0.06913945,-0.19819765,-0.41477886
comp_111,-0.3601613,0.33425125,2.3063247,-0.27350459,-0.1931709,0.24488187,0.5034124,-0.50055873,-0.4222211,-0.49790978,0.15961178,-0.41570815,-0.2459715,0.877763,0.18777692,0.48080975
comp_113,-0.08241561,0.07330021,-0.2106076,-0.4887682,0.038557135,-0.14312911,-0.34905162,-0.0647176,-0.26739335,-1.0068117,0.43663228,-0.25289178,-0.42561218,0.014183914,0.2105339,0.33654442
comp_114,-0.12112945,-0.21037157,-0.30576766,-0.2650625,0.08003543,-0.46234328,0.40062046,-0.10012099,0.071385,-0.58463705,-0.29561445,0.46932593,-0.17487636,0.14837137,-0.52995753,-0.6510395
comp_116,-0.12639658,-0.13414721,0.04174969,0.37876755,-0.0097255,0.77488893,0.014547793,0.40549392,0.17064278,-0.046880424,0.21099526,0.38834518,-0.31246918,-0.7652389,0.2856554,0.49581036
comp_117,0.031028615,-0.5981639,-0.22406776,-0.20493902,-0.11673946,0.011577097,-0.040534798,0.13348934,-0.2017991,1.078341,0.23098375,0.29301733,-0.074742965,-0.07384732,0.19600317,-0.6589128
comp_119,-0.29730526,-0.98064643,0.06860482,-0.83679634,-0.64196366,0.15265922,0.18282494,-0.4302668,0.121484905,-0.3414602,0.060611628,-0.15970908,-0.8399158,0.012794034,0.28117964,0.49998257
comp_120,0.045744378,-0.04000321,0.35853156,-0.35620865,-0.30575064,-0.35792238,0.41324788,-0.78365666,0.38891163,0.6009019,0.2540223,-0.06220124,-0.50461817,0.020605,0.0877189,0.02265612
comp_124,-0.021143362,-0.19704215,-0.05626478,-0.9994358,-0.026738714,-0.7994491,-0.1880058,-0.48645043,-0.2446637,-0.18068713,-0.17268978,1.0796865,0.39747062,-0.947959,-0.27754098,-0.24969585
comp_125,0.20203646,0.57521594,-0.06998941,-1.4844979,-0.16401258,0.43788612,-0.39526522,-0.020996032,0.14360069,0.8858225,-0.09688528,0.27202547,-0.29646412,0.48203558,0.022782095,0.0073113777
comp_126,-0.033218272,0.55283487,-0.4790348,0.19593251,-0.48302683,0.25421485,0.06340384,-0.31938788,-0.09281128,-0.5403018,0.12442222,0.30058363,0.3841252,-0.29593876,-0.23268858,-0.7832433
comp_127,-0.50753576,-0.39257798,-0.3913213,-0.48137486,0.28420272,0.61620414,0.51450634,-0.15576854,-0.21223418,0.054480888,0.3846422,0.375848,-0.20287222,-0.70854616,0.14447732,-0.77720505
comp_128,-0.09496211,0.10150344,0.15271334,-0.02306555,-0.5417693,-0.16897044,-0.8474801,0.015278146,0.15234527,0.038744584,0.88489324,-0.033945464,-0.59734064,-0.26754314,0.3711778,0.34523764
comp_131,0.39064625,-0.110984184,0.019680107,-0.19301017,0.08993513,-0.9465434,0.14255778,0.4056519,0.43635228,0.60162735,0.48539752,0.5036146,-1.2185545,-0.50983983,0.8131369,-0.23113377
comp_133,0.5951564,-0.29041788,0.88196665,0.37343627,0.36231124,0.6931807,-0.74224705,-0.12736022,-0.3121076,-0.49115786,0.52446526,0.39040688,-0.124986455,-0.10755414,1.5273254,-1.4793293
comp_134,0.84648275,-0.49448597,-0.040117733,-0.44150767,0.04668184,0.028401142,0.37717125,-0.023007562,0.20187661,0.23441805,0.2330074,0.45305663,-0.39197397,-0.08299549,0.24431626,-1.3928515
comp_136,0.004867334,0.15489686,0.4403247,-0.32845274,-0.62831366,-0.20958461,-0.72779286,-0.4190591,0.28726783,-0.4314526,-0.14708932,-0.2449169,-0.18824837,0.6215868,0.1474061,-0.1704487
comp_137,-0.31162086,0.36002836,0.30000994,-0.62141216,-1.3778808,-1.257462,-0.15339226,-0.7643565,0.065151475,0.14999418,0.053374562,0.96682173,-1.0196031,0.18731827,0.10239356,0.24035792
comp_138,-0.0874482,-0.2917017,-0.13446635,-0.3321012,-0.56006753,-0.6979988,0.5543448,-0.35845962,-0.1647569,0.35438412,-0.643467,-0.062081974,-0.2290028,-0.5825118,-0.30361995,-0.14695592
comp_139,0.084147915,0.20887238,0.07367391,-0.081445545,-0.5429353,-0.37451944,-0.06826119,0.063127674,-0.7701966,-0.9279288,0.5575201,-0.46737525,-0.21499293,-0.6489743,-0.14100927,1.1027188
comp_140,-0.12233259,0.2526228,0.28360164,-0.37354657,-0.37415478,0.15594971,0.38700747,0.12699664,-0.09598336,-1.0680732,0.30893147,0.46909454,0.010210349,0.037208963,0.334591,-0.22991218
comp_141,-0.37393382,0.5735333,0.4586142,-0.051655397,0.01873642,0.29510733,-0.007515436,0.48924306,0.48148274,-0.41481656,0.29367855,-0.047717456,-0.28817746,0.19412129,0.60518944,-0.36591175
comp_142,-0.5449215,0.09277026,0.04103394,-0.4727351,-0.28605938,0.084951185,-0.32623953,0.07809933,-0.7169764,0.065206334,-0.056001496,-0.2781087,-0.37558627,-0.27893966,0.3973564,0.20477667
comp_145,0.3032709,0.4323854,-0.3829374,-0.35316238,0.54642946,0.7941384,-0.32205927,0.008198065,0.03459446,-0.27107492,-0.3202926,-0.017390594,-0.09618934,-0.105634145,0.5024003,-0.36472076
comp_146,-0.18557328,-0.6490998,0.11972076,-0.5330075,-0.35861117,-0.3755623,-0.338441,-0.18796057,0.164509,-0.081416175,0.72851706,0.33636364,0.14715345,-0.012419824,0.040369794,-0.38913342
comp_150,-1.0462075,0.73945004,0.29654238,0.46996775,-0.38516143,1.2658318,-0.25715223,0.3682628,-0.04707526,-0.1399884,-0.5223155,0.43771532,0.03463675,0.7796853,0.1201816,-0.6997723
comp_156,-0.45196617,-0.279898,-0.070297815,-0.3986269,-0.18562171,-0.44306397,-0.24500161,-0.44170973,-0.39237297,-0.15372995,0.19225517,0.14589912,-0.42527696,-0.07874764,-0.17688695,0.3179235
comp_157,0.3457992,1.2794178,-0.86432564,-0.32647943,0.072046675,-0.4413885,-0.31855038,-0.31409872,0.0882632,-0.52887994,-0.035608035,-0.4116921,-0.3378948,-0.4731989,0.26108643,-0.4247021
comp_159,-0.35459602,0.09093543,0.27601832,0.26414567,-0.6748276,0.42478958,0.6016218,0.0642915,-0.09619305,0.13070266,0.37718248,0.25569916,0.29579866,0.14375557,-0.5361746,-0.35957038
