companyID,Ticker,Company Name,SYNONYMS,ACN,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:LF,ICB Sector,ICB Subsector,GICS Industry,GICS SubIndustry,BICS L3 Industry,BICS L4 Sub Industry,BICS L5 Segment,BICS L6 Segment,Company Description,Linkedin_empCount,Linkedin_Followers,Source
comp_5173,PHC VN Equity,Phuc Hung Holdings Construction JSC,,,Viet Nam,Common Stock,16660000.0,94330000.0,205570000.0,,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5174,TTGP SP Equity,Tritech Group Ltd/Singapore,,,Singapore,Common Stock,16640000.0,28390000.0,26420000.0,,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Construction Engineering Svcs,,,,,Bloomberg
comp_5175,KNUS MK Equity,Knusford BHD,,,Malaysia,Common Stock,16520000.0,27430000.0,146850000.0,,Construction and Materials,Construction,Trading Companies & Distributors,Trading Companies & Distributors,Engineering & Construction,Infrastructure Construction,Transportation Infra Const,Airport & Highway Const,,,,Bloomberg
comp_5176,HLC VN Equity,Vinacomin - HaLam Coal JSC,,,Viet Nam,Common Stock,16500000.0,181570000.0,102710000.0,3000.0,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,,,,,Bloomberg
comp_5177,2112 HK Equity,Grace Life-tech Holdings Ltd,,,Malaysia,Common Stock,16379999.999999998,20880000.0,129030000.0,50.0,Industrial Support Services,Industrial Suppliers,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,,,,,,Bloomberg
comp_5178,NYR BB Equity,Nyrstar NV,,,Belgium,Common Stock,16309999.999999998,,22330000.0,,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,,,,,,Bloomberg
comp_5179,VSI VN Equity,Water Supply Sewerage Construction and Investment JSC,,,Viet Nam,Common Stock,16309999.999999998,15240000.0,33580000.0,129.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Utility Line Construction,Water Utility Line Construction,,,,Bloomberg
comp_5180,OIO SP Equity,OIO Holdings Ltd,,,Singapore,Common Stock,16290000.0,671820.0,1790000.0,,Software and Computer Services,Software,Financial Services,Transaction & Payment Processing Services,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5181,AMR TB Equity,AMR Asia PCL,,,Thailand,Common Stock,16260000.000000002,33690000.0,75720000.0,,Software and Computer Services,Computer Services,IT Services,IT Consulting & Other Services,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5182,TNB VN Equity,Vnsteel - Nha Be Steel JSC,,,Viet Nam,Common Stock,16070000.0,84240000.0,30700000.0,169.0,,,,,Steel,Metal Svc Centers & Processors,Steel Processors,,,,,Bloomberg
comp_5183,ADV SP Equity,Advanced Holdings Ltd,,,Singapore,Common Stock,16020000.0,4750000.0,45360000.0,,Construction and Materials,Engineering and Contracting Services,Energy Equipment & Services,Oil & Gas Equipment & Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,,,,,Bloomberg
comp_5184,TWP TB Equity,Thai Wire Products PCL,,,Thailand,Common Stock,15930000.0,70370000.0,82360000.0,,Industrial Metals and Mining,Iron and Steel,Building Products,Building Products,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Wire Products,,,,Bloomberg
comp_5185,CFM SP Equity,CFM Holdings Ltd,,,Singapore,Common Stock,15730000.0,28820000.0,35860000.0,,Industrial Metals and Mining,Metal Fabricating,Machinery,Industrial Machinery & Supplies & Components,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Forging & Stamping,,,,Bloomberg
comp_5186,ALKA IJ Equity,Alakasa Industrindo Tbk PT,,,Indonesia,Common Stock,15710000.0,7550000.0,22290000.0,26.0,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,,,,,,Bloomberg
comp_5187,RMKO IJ Equity,Royaltama Mulia Kontraktorindo Tbk PT,,,Indonesia,Common Stock,15700000.0,23820000.0,54710000.0,841.0,"Oil, Gas and Coal",Coal,,,Metals & Mining,Mining Services,Coal Support Services,,,,,Bloomberg
comp_5188,LGOLDB SS Equity,Lappland Guldprospektering B,,,Sweden,Common Stock,15630000.0,329880.0,3390000.0,1.0,,,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,,,,,Bloomberg
comp_5189,1637 HK Equity,SH Group Holdings Ltd,,,Hong Kong,Common Stock,15440000.0,119810000.0,77860000.0,139.0,Industrial Support Services,Professional Business Support Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5190,VE4 VN Equity,VNECO 4 Electricity Construction JSC,,,Viet Nam,Common Stock,15330000.0,4420000.0,3920000.0,60.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Utility Line Construction,Electric Utility Line Const,,,,Bloomberg
comp_5191,8217 HK Equity,WMHW Holdings Ltd,,,Hong Kong,Common Stock,15300000.0,7130000.0,16550000.0,26.0,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Construction Engineering Svcs,,,,,Bloomberg
