Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Century West Transport Services,57,43,Haydn Reynolds(Managing Director),1978,30,,N/A,96,,2,Forrestfield and O'Connor,20000 SQM,,"Project Work, extendable trailers, North West W.A.",Road transport,,,Yes,
Norwest Crane Hire,,,"Bernie Johnson(Co-Founder, Managing Director)",2008,,,,,,3,"Port Hedland, Exmouth, Belmont",,,North-West,"Construction, Mining, Maintenance",,,Yes,
Coastal Midwest Transport,37,,Michael Wilden(General Manager),1987,100,,,200,"3,000,000",2,"Kalgoorlie, Welshpool","50,000 sqm",,General freight services between Perth and…General freight services between Perth and Kalgoorlie.,"Mining, engineering and construction.","Goldfields Australia, MacMahons, Silver Lake…Goldfields Australia, MacMahons, Silver Lake Resources, Northern Star, Evolution Mining, Red 5, Bureau Veritas",,Yes,
Centurion,6,6,Justin Cardaci(Chief Executive Officer),1971,"1,000",,1415,"2,000",954790,11,"Perth, Kalgoorlie, Newman, Carnarvon, Tom Price,…Perth, Kalgoorlie, Newman, Carnarvon, Tom Price, Karratha, Port Hedland, Broome, Albany, Bunbury, Kununurra, Darwin, Townsville, Mackay, Emerald, Rockhampton, Brisbane, Gladstone, Cloncurry, Mt Isa, Wangaratta",22 depots/branches,10,"Western Australia, Northern Territory, Queensland…Western Australia, Northern Territory, Queensland, Northern NSW, Victoria","Mining, construction, oil and gas, hospitality,…Mining, construction, oil and gas, hospitality, produce, retail","Rio Tinto, Woodside, Woolworths, Coles, CPM,…Rio Tinto, Woodside, Woolworths, Coles, CPM, Anglo American, BHP, Century Mining Limited",,Yes,CFC Group
Linfox,9,7,"Gary Pyne(President, Resources & Industrial West)",,NFP,,,,,12,,,,Australia and New Zealand,"Resources, industrial, dangerous goods, FMCG,…Resources, industrial, dangerous goods, FMCG, retail, healthcare & pharmaceuticals, beverages, dairy & fresh, government and defence",,,Yes,
Trans Global Projects Logistics,65,72,Michael Laloli(Business Development Manager),2015,20,,,,,2,"Brisbane, Melbourne, Perth, Bassendean",,2,Global,Project Logistics,,,Yes,
Aurizon,8,6,,2006,800,,5100,,,,"Pilbara, Leonora, West Kalgoorlie, Esperance,…Pilbara, Leonora, West Kalgoorlie, Esperance, Geraldton, Albany, Perth, Picton, Kwinana, Collie, Wagerup, West Merridan, Calcine",,,"Western Australia, New South Wales, Queensland","Transport, logistics, mining, agriculture,…Transport, logistics, mining, agriculture, industrials","Rio Tinto, Mineral Resources, Lynas, CBH, Alcoa,…Rio Tinto, Mineral Resources, Lynas, CBH, Alcoa, South 32 (Worlsey), Minara Resources, Karara Mining",,Yes,Aurizon Holdings
Refuel Australia,31,27,Ian Burrows(Managing Director),1998,140,,140,,150000000,10,,,2,WA & NT,"Fuel supply, Fuel cartage, Unmanned fuel stations…Fuel supply, Fuel cartage, Unmanned fuel stations, Regional Roadhouses",,,Yes,
Fremantle Steel Group,,,,1971,,,,,,,,,,,,,,Yes,
Alfasi Hire,,,,,,,,,,,,,,,,,,,
