Ticker,LONG_COMP_NAME,CIE_DES_BULK
LM1 AU Equity,Leeuwin Metals Ltd,"Leeuwin Metals Ltd is a mineral exploration company. The Company focuses onexploration and development of nickel, copper, PGE, and lithium. Leeuwin Metalsserves customers in Australia and Canada."
QGX CN Equity,QGX Ltd,
CBAV3 BZ Equity,Cia Brasileira de Aluminio,
DMDD US Equity,Diamond Discoveries International Corp,
LGM AU Equity,Legacy Minerals Holdings ltd,"Legacy Minerals Holdings Limited operates as a holding company. The Company,through its subsidiaries, focuses on exploring for high grade gold and basemetal deposits in the NSW Lachlan Fold Belt."
PGE CN Equity,Stillwater Critical Minerals Corp,
QRMLF US Equity,Quest Rare Minerals Ltd,
LEG AU Equity,Legend Mining Ltd,"Legend Mining Limited is a mineral exploration company with exploration projectslocated in Western Australia.  The Company explores for gold, copper, nickel andsilver at project sites including Munni Munni, Carlow Castle, Twin Table Hills,and Emerald."
2211 TT Equity,EVERGREEN Steel Corp,
POM CN Equity,PolyMet Mining Corp,
FOSPACC1 PE Equity,Fosfatos del Pacifico SA,
LLL AU Equity,Leo Lithium Ltd,Leo Lithium Limited operates as a mineral exploration and development company.The Company focuses on the development of lithium project. Leo Lithium servescustomers in Australia.
AOVTF US Equity,Andover Mining Corp,
NYO LN Equity,Ubecorp Ltd,
AII CN Equity,Almonty Industries Inc,
ERX CN Equity,Era Resources Inc,
KOD LN Equity,Kodal Minerals plc,
LIN AU Equity,Lindian Resources Ltd,"Lindian Resources Limited provides exploration and mining services. The Companyexplores and develops rare earths and bauxite assets critical to EVs and arange of other industries including electronic infrastructure, solar panels,rechargeable batteries, wind turbines, medical imaging, and manufacturing."
PURE/H CN Equity,Pure Global Cannabis Inc,
DRL/H CN Equity,Diadem Resources Ltd,
PRKME TI Equity,Park Elektrik Uretim Madencilik Sanayi ve Ticaret AS,
ANR PZ Equity,Altona Rare Earths PLC,
MTH AU Equity,Mithril Silver And Gold Ltd,Mithril Silver and Gold Limited provides exploration and mining services. TheCompany explores and develops gold and silver projects in Mexico's Sierra MadreGold Silver Trend. Mithril Silver and Gold serves customers worldwide.
FS/H CN Equity,First Star Resources Inc,
NEWO CN Equity,NewOrigin Gold Corp,
002501 CH Equity,Jilin Liyuan Precision Manufacturing Co Ltd,
LPM AU Equity,Lithium Plus Minerals Ltd,Lithium Plus Minerals Ltd. operates as a lithium exploration company. TheCompany focuses to acquire and develop lithium projects. Lithium Plus Mineralsserves customers in Australia.
FIL CN Equity,Filo Corp,
ACL SJ Equity,ArcelorMittal South Africa Ltd,
LU7 AU Equity,Lithium Universe Ltd,Lithium Universe Limited provides exploration and mining services. The Companyexplores and develops lithium and rare earth elements projects. Lithium Universeserves customers worldwide.
AQA CN Equity,Aquila Resources Inc,
000928 CH Equity,Sinosteel Engineering & Technology Co Ltd,
RXM AU Equity,Rex Minerals Ltd,"Rex Minerals Ltd. provides mining services. The Company offers acquisition,development, and exploration of gold in South Australia."
DCY CN Equity,Discovery-Corp Enterprises Inc,
CXG CN Equity,Canxgold Mining Corp,
LOT AU Equity,Lotus Resources Ltd,Lotus Resources Limited provides mining services. The Company develops andexplores mineral properties such as uranium project. Lotus Resources servescustomers in Australia.
1116 HK Equity,Huiyuan Cowins Technology Group Ltd,"Huiyuan Cowins Technology Group Limited manufacturesand distributes steel products. The Company produces carbon steel, steel sheets,steel pipes, stainless steel, and other products. Huiyuan Cowins TechnologyGroup also offers energy storage, water purification, household appliances andmotor vehicles leasing, and other services."
LLM AU Equity,Loyal Metals Ltd,Loyal Metals Ltd operates as a lithium-led battery minerals and technologycompany. The Company focuses on lithium exploration and mining operations.Loyal Metals serves customers worldwide.
RZL/H CN Equity,Rizal Resources Corp,
HLP US Equity,Hongli Group Inc,"Hongli Group Inc. operates as a holding company. The Company, through itssubsidiaries, manufactures cold roll formed steel profiles for machinery andequipment in a variety of sectors, including but not limited to mining andexcavation, construction, agriculture, and transportation. Hongli Group servescustomers worldwide."
2083819D AU Equity,Redcliffe Project Pty Ltd,"Redcliffe Project Pty Ltd operates as a metal mining company. The Companyexplores and mines gold, silver, nickel, and other metals. RedcliffeProject develops its projects in the State of Western Australia."
5461 JP Equity,Chubu Steel Plate Co Ltd,"Chubu Steel Plate Co., Ltd., based in Nagoya, manufactures electric furnacesteel plates. The Company also manufactures artificial bone materials andoperates chemical waste treatment business."
LM8 AU Equity,Lunnon Metals Ltd,Lunnon Metals Limited provides exploration and mining services. The Companyexplores and develops nickel projects. Lunnon Metals serves customersworldwide.
SABIMET CI Equity,Sociedad Abastecedora de la Industria Metalurgica SA,
1SVS VC Equity,Siderurgica Venezolana Sivensa SACA,
SKY/H CN Equity,Stikine Energy Corp,
MSR CN Equity,Minsud Resources Corp,
SHD AU Equity,Sherwin Iron Ltd,Sherwin Iron Ltd. is a mineral exploration company.  The Company is focused oniron ore exploration in Australia.
5482 JP Equity,Aichi Steel Corp,"AICHI STEEL CORPORATION is a manufacturer of specialty steel.   The Company'sproducts include rolled steel and forged products.  Aichi Steel jointly workswith Toyota Motors to develop automobile parts.  The Company also makes magneticand electronic parts, including plastic magnets."
MAH AU Equity,Macmahon Holdings Ltd,"Macmahon Holdings Limited is a civil engineering and contract mining company.The Company offers contract engineering services for areas including roadwork,mining, ports, dams, railways, airports and bridges. The Company also providesmining services which include drilling and blasting, crushing, support,mine refurbishment, and equipment reconditioning."
1918475D CN Equity,Toachi Mining Inc,
FUU CN Equity,F3 Uranium Corp,
AUA CN Equity,Adanac Molybdenum Corp,
KALU US Equity,Kaiser Aluminum Corp,"Kaiser Aluminum Corporation produces fabricated aluminum products. The Companyoffers sheets, plates, billets, redraw rods, wires, extrusion, forging, andtubing products for aerospace, high strength, general engineering, automotive,and custom industrial sectors. Kaiser Aluminum serves customers worldwide."
ROCAF US Equity,Aardvark Ventures Inc,
TZN AU Equity,Terramin Australia Ltd,"Terramin Australia Limited operates as a mining company in Adelaide. It focuseson Zinc and a strategy of acquiring advance projects with low start up costs.Projects include Angas Zinc Mine and a flagship project, Tala Hamza Zinc, whichis located on the Algeria coast."
SIXW CN Equity,Sixth Wave Innovations Inc,
MAU AU Equity,Magnetic Resources NL,"Magnetic Resources NL explores for gold, nickel and uranium in WesternAustralia."
MLX AU Equity,Metals X Ltd,"Metals X Limited operates as a diversified resource company. The Companymines, develops, and explores copper, nickel, cobalt, and other metals. Metals Xserves customers in Australia."
MGU AU Equity,Magnum Mining & Exploration Ltd,Magnum Mining and Exploration Limited operates as a mining company. TheCompany engages in iron ore concentrate and green pig iron production. MagnumMining and Exploration serves customers in Australia and the United States.
MGL AU Equity,Magontec Ltd,"Magontec Ltd. is a magnesium technology company.  The Company manufacturesmagnesium alloys and anodes in Australia, China and Germany, and recyclesmagnesium in Romania.  Magontec distributes its products worldwide."
UNIQ IJ Equity,Ulima Nitra Tbk PT,
SMA LN Equity,Roadside Real Estate PLC/UK,
SM/H CN Equity,Sendero Mining Corp,
605123 CH Equity,Wuxi Paike New Materials Technology Co Ltd,
1896778D CN Equity,Castle Resources Inc,
M79 AU Equity,Mammoth Minerals Ltd,Mammoth Minerals Ltd is an exploration company. The Company develops a portfolioof prospective battery minerals projects.
023000 KS Equity,Samwonsteel Co Ltd,
1821531D CN Equity,Ridgemont Iron Ore Corp,
SRFDF US Equity,Starfield Resources Inc,
ELE CN Equity,Elemental Altus Royalties Corp,
SNO/H CN Equity,Snowfield Development Corp,
CNP CN Equity,Cannon Point Resources Ltd,
