Ticker,LONG_COMP_NAME,CIE_DES_BULK
VAT VN Equity,Van Xuan Telecom JSC,
4153269Z US Equity,Cherokee Bridge & Road Ltd,
603909 CH Equity,C&D Holsin Engineering Consulting Co Ltd,
300778 CH Equity,Shenzhen New Land Tool Planning & Architectural Design Co Ltd,
4534006Z US Equity,Trucano Construction Co Inc,
300422 CH Equity,Guangxi Bossco Environmental Protection Technology Co Ltd,
4522447Z IM Equity,CO.MERI SpA,
603717 CH Equity,TianYu Bio-Technology Co Ltd,
301505 CH Equity,Suzhou Planning & Design Research Institute Co Ltd,
3991916Z IM Equity,Boscafin Costruzioni Generali Srl,
3995044Z IM Equity,Sandrini Costruzioni Srl,
4003788Z IM Equity,Area Costruzioni SpA,
603137 CH Equity,Jiangsu Hengshang Energy Conservation Technology Co Ltd,
4256813Z IM Equity,Gennaro Costruzioni Srl,
002775 CH Equity,Guangdong Wenke Green Technology Co Ltd,
300949 CH Equity,Shenzhen L&A Design Holding Ltd,
4766593Z PL Equity,Nelcivil-Construcoes Civis de Nelas Lda,
3996404Z IM Equity,Santarelli Costruzioni SpA,
AGIIL IN Equity,AGI Infra Ltd,
3994228Z IM Equity,Binario SpA,
3928 HK Equity,China Next-Gen Commerce and Supply Chain Ltd,
300649 CH Equity,Hangzhou Landscape Architecture Design Institute Co Ltd,
BITL IN Equity,Bronze Infra-Tech Ltd,
7848 TT Equity,Chi Yi Hsin Technology Co Ltd,
HGPTRA BK Equity,Hercegovinaputevi AD Trebinje,
603778 CH Equity,Guosheng Shian Technology Co Ltd,
6903 TT Equity,Jiu Han System Technology Co Ltd,
301027 CH Equity,Hualan Group Co Ltd,
3798988Z SM Equity,Selprats Sociedad Ltda,
836263 CH Equity,Beijing Zhtd Environmental Protection Technology Co Ltd,
HDGSR BT Equity,Hidrogradnja dd Sarajevo,
7059 JP Equity,Copro-Holdings Co Ltd,
4353541Z PL Equity,Eduardo Pinto Contreiras & Filhos Lda,
300635 CH Equity,SinoDaan Co Ltd,
300958 CH Equity,BCEG Environmental Remediation Co Ltd,
688156 CH Equity,Road Biology Environmental Protection Technology Co Ltd,
JDNSRA BK Equity,Jedinstvo GP AD Gradiska,
MBEL IN Equity,M&B Engineering Ltd,
7703 TT Equity,Rayzher Industrial Co Ltd,
4747593Z FP Equity,Entreprise Langain SASU,
208A JP Equity,KOZO KEIKAKU ENGINEERING HOLDINGS Inc,
4662633Z FP Equity,Roger Gosselin SAS,
002883 CH Equity,Jiangsu Zhongshe Group Co Ltd,
301167 CH Equity,Anhui Provincial Architectural Design & Research Institute Co Ltd,
EISA CI Equity,Echeverria Izquierdo SA,
688671 CH Equity,Bescient Technologies Co Ltd,
1535 TT Equity,China Ecotek Corp,
3793544Z PL Equity,Jaime Queiros Ribeiro SA,
2153 JP Equity,EJ Holdings Inc,
831370 CH Equity,Newange Environmental Sanitation Co Ltd,
3764676Z US Equity,Ronald Franks Construction Co LLC,
ABZS UZ Equity,Asfaltobetonnyy Zavod AB Stolychnyy OJSC,
240 HK Equity,Build King Holdings Ltd,
EGUH SP Equity,Ever Glory United Holdings Ltd,
4657833Z FP Equity,Equip'sols SASU,
5074 JP Equity,Tess Holdings Co Ltd,
2514 TT Equity,Long Bon International Co Ltd,
3942004Z US Equity,Kuersten Construction LLC,
PEH SK Equity,Pehaes AS,
GPT IN Equity,GPT Infraprojects Ltd,
053690 KS Equity,HanmiGlobal Co Ltd,
8115122Z IN Equity,EDAC Engineering Ltd,
CYP MK Equity,Cypark Resources Bhd,
ORON IT Equity,Oron Group Investments & Holdings Ltd,
1472 TT Equity,Triocean Industrial Corp Co Ltd,
4707497Z FP Equity,Bauland Travaux Publics SACA,
JBERGER NL Equity,Julius Berger Nigeria PLC,
4354325Z PL Equity,Canas Correia SA,
9639 HK Equity,Wing Lee Development Construction Holdings Ltd,
KCPC KK Equity,Kuwait Co for Process Plant Construction & Contracting SAK /The,
3778844Z US Equity,Isaacks Contracting Inc,
028100 KS Equity,Dong-Ah Geological Engineering Co Ltd,
2613 HK Equity,Contiocean Environment Tech Group Co Ltd,
9163 JP Equity,Nareru Group Inc,
4440913Z IM Equity,Boggeri SpA,
GFSECQ CH Equity,GF Securities Co Ltd - Set up for Fundamental Purposes,
4248613Z IM Equity,Berti Sisto & C Lavori Stradali SpA,
1283 HK Equity,Accel Group Holdings Ltd,
SESS RU Equity,Sibelektrosetstroy OAO,
1914 JP Equity,Japan Foundation Engineering Co Ltd,
KWG GR Equity,KHD Humboldt Wedag International AG,
3772936Z NA Equity,Brands Bouwontwikkeling BV,
2377 HK Equity,China Boqi Environmental Holding Co Ltd,
VLB MK Equity,Vestland Bhd,
TKC TB Equity,Turnkey Communication Service Co Ltd,
3756728Z US Equity,Tcb Construction Co Inc,
4642 JP Equity,Original Engineering Consultants Co Ltd,
VLGG RU Equity,Volgogaz AO,
ZTECH IN Equity,Z-Tech India Ltd,
4782489Z FP Equity,SEEI- Joly SAS,
3760772Z US Equity,Purgatoire Valley Construction Inc,
KENERGY MK Equity,KAWAN RENERGY BHD,
BCBN CN Equity,Base Carbon Inc,
1450 JP Equity,TANAKEN Inc,
4783161Z FP Equity,Egis Route-Scetauroute SAS,
MARE IM Equity,Mare Engineering Group SpA,
4241597Z IM Equity,Lanza Pierino SpA,
CMMI IN Equity,CMM Infraprojects Ltd,
610 HK Equity,Wai Kee Holdings Ltd,
ABO BB Equity,ABO Group Environment,
52245Q US Equity,Eloquent Inc,
HUAGL SP Equity,Huationg Global Ltd,
LEAF AB Equity,Leaf Global Environmental Services,
BLGO US Equity,BioLargo Inc,
4320629Z IM Equity,Costfer Srl,
7087 JP Equity,Willtec Co Ltd,
PINT MK Equity,Pintaras Jaya BHD,
4164905Z BB Equity,Genisol NV,
SUNLOGY MK Equity,ES Sunlogy Bhd,
043910 KS Equity,Nature & Environment Co Ltd,
4721361Z FP Equity,ENT Travaux Materiaux Soc Travaux Etudes,
4307397Z IM Equity,Impresa Ravelli Srl,
ACC VN Equity,ACC Binh Duong Investment and Construction JSC,
3766668Z US Equity,Ebert Construction Co Inc,
016250 KS Equity,SGC E&C Co Ltd,
FCH IM Equity,Franchetti S.P.A.,
4701593Z FP Equity,Fondeole SASU,
PTPW IJ Equity,Pratama Widya Tbk PT,
3754024Z SM Equity,Pilotajes Y Sondeos SA,
4658113Z FP Equity,Exeau T P SAS,
013700 KS Equity,Camus Engineering & Construction Inc,
4139141Z US Equity,Heyl Construction Inc,
3919556Z US Equity,Front Range Wireless Inc,
066980 KS Equity,Hansung Cleantech Co Ltd/New,
3752960Z SM Equity,Construccion Promociones E Instalaciones SA,
1757 HK Equity,Affluent Foundation Holdings Ltd,
3813572Z SM Equity,Gea 21 SA,
5075 JP Equity,UPCON CORP,
3770488Z SM Equity,Montealto Infraestructuras SL,
VGV VN Equity,Vietnam National Construction Consultant Corp JSC,
APJ GR Equity,API Invest & Finanz AG,
4740961Z FP Equity,Xardel Demolition Sarl,
3710291Z US Equity,Rons Construction Corp,
1446 JP Equity,Candeal Co Ltd,
VLCE IN Equity,Valecha Engineering Ltd,
023350 KS Equity,Korea Engineering Consultants Corp,
A2ZL IN Equity,A2Z Infra Engineering Ltd,
3915548Z US Equity,RL Coolsaet Construction Co,
PBB PW Equity,Prefabet - Biale Blota SA,
1707 HK Equity,Geotech Holdings Ltd,
STR MC Equity,STROC Industrie SA,
BNPTRA BK Equity,Bijeljina Put AD Bijeljina,
PRTA MK Equity,Protasco Bhd,
ENVIRO IN Equity,Envirotech Systems Ltd,
RENPL IN Equity,Rudrabhishek Enterprises Ltd,
4153213Z US Equity,STR Constructors Ltd,
SKDP CP Equity,SKODA PRAHA as,
1416 HK Equity,CTR Holdings Ltd,
3926012Z US Equity,Saulsbury Engineering & Construction Inc,
1987 HK Equity,Beng Soon Machinery Holdings Ltd,
4208025Z IM Equity,Impresa Costruzioni Tollot Srl,
4454505Z IM Equity,S Cons Tmv Forli' Arl,
SOLWERS FH Equity,Solwers Oyj,
4139573Z US Equity,Acosta Tractors Inc,
GOD NO Equity,Goodtech ASA,
3726506Z BB Equity,Staalbouw Weelde International SA,
VIVK US Equity,Vivakor Inc,
ENISR BT Equity,Energoinvest dd Sarajevo,
4154949Z US Equity,Harbor Pacific Contractors Inc,
3775744Z SM Equity,Construccions Deumal SA,
ECM CN Equity,Ecolomondo Corp,
4672961Z FP Equity,Dijonnaise De Voies Ferrees SASU,
BKC MK Equity,Bintai Kinden Corp Bhd,
ADGE SP Equity,Aedge Group Ltd,
CONCIV CB Equity,Construcciones Civiles SA,
7057 JP Equity,New Constructor's Network Co Ltd,
VBC AU Equity,Verbrec Ltd,"Verbrec Limited designs, builds, installs, and services electrical and controlsystems for major projects primarily for the resources, energy, and utilitiesindustries."
4028757Z IM Equity,Cam.Impianti Industriali,
ATV IN Equity,ATV Projects India Ltd,
6085 JP Equity,Architects Studio Japan Inc,
4320765Z IM Equity,Cogepa Costruzioni Generali Passarelli SpA,
CNN VN Equity,Consultant & Inspection JSC of Construction Technology and Equipment,
ASD VN Equity,Song Da Ha Noi JSC,
4182477Z IM Equity,Codelfa SpA,
ATEMK GA Equity,Atemke SA,
KMEB UZ Equity,Kyivmetrobud,
1413 HK Equity,FEG Holdings Corporation Ltd,
VTX CN Equity,Vertex Resource Group Ltd,
3939196Z US Equity,Coastal Gunite Construction Co,
3916812Z US Equity,Diamond Engineering Co/The,
BRAH IN Equity,Brahmaputra Infraproject Ltd,
UBA TB Equity,Utility Business Alliance PCL,
3918876Z US Equity,Rycars Construction LLC,
LIG VN Equity,Licogi 13 JSC,
1486 HK Equity,C Cheng Holdings Ltd,
589 HK Equity,Jianzhong Construction Development Ltd,
TECHKGRE IN Equity,Techknowgreen Solutions Ltd,
EBX PW Equity,Ekobox SA,
HEC VN Equity,Hydraulic Engineering Consultants Corp No II,
4667297Z FP Equity,Martoia TP SAS,
NAVANA BD Equity,Navana CNG Ltd,
2515 HK Equity,Tianjin Construction Development Group Co Ltd,
500806Z PL Equity,Brisa-Conservacao de Infraestruturas SA,
4163661Z BB Equity,Thomassen & Fils SPRL,
EIB MK Equity,Ecoscience International Bhd,
3925956Z US Equity,Taylor Construction Co Inc,
AISL IN Equity,ANI Integrated Services Ltd,
4266461Z IM Equity,Servizi Industriali Srl,
3933852Z US Equity,Posillico Materials LLC,
2193 HK Equity,Man King Holdings Ltd,
TTGP SP Equity,Tritech Group Ltd/Singapore,
BUC LN Equity,Built Cybernetics PLC,
OIO SP Equity,OIO Holdings Ltd,
AVD AU Equity,Avada Group Ltd,Avada Group Limited operates as an engineering firm. The Firm offers trafficmanagement and ancillary services to the civil infrastructure and maintenancesectors. Avada Group serves clients in Australia.
ADV SP Equity,Advanced Holdings Ltd,
1637 HK Equity,SH Group Holdings Ltd,
3953468Z LN Equity,C G Interiors Ltd,
8217 HK Equity,WMHW Holdings Ltd,
1343 HK Equity,Wei Yuan Holdings Ltd,
8039 HK Equity,China Come Ride New Energy Group Ltd,
DEVS US Equity,DevvStream Corp,
4208609Z IM Equity,Costruzioni Ed Impianti SpA Ceisa,
3707391Z US Equity,Adams & Smith Inc,
TPHQ IN Equity,Teamo Productions HQ Ltd,
8320 HK Equity,Allied Sustainability And Environmental Consultants Group Ltd,
3777812Z PL Equity,Higino Pinheiro & Irmao SA,
3990972Z PL Equity,Mota-Engil Global-Servicos Partilhados Administrativos e Tecnicos SA,
1429 HK Equity,Skymission Group Holdings Ltd,
DLM MC Equity,Delattre Levivier Maroc,
PROMAX IN Equity,Promax Power Ltd,
SOP AU Equity,Synertec Corp Ltd,"Synertec Corp Ltd provides engineering consultancy services. The Company offersfeasibility studies, commissioning, project management, scheduling,installation, building management, inspection, and maintenance services.Synertec serves oil and gas, pharmaceutical, and petrochemical sectorsworldwide."
SHARIKA IN Equity,Sharika Enterprises Ltd,
3752300Z SM Equity,Pas Infraestructuras y Servicios SL,
SEC FP Equity,Soditech Ingenierie SA,
8321 HK Equity,Tai Kam Holdings Ltd,
3916684Z US Equity,Rylie Equipment & Contracting Co,
PPS TB Equity,Project Planning Service PCL,
3914844Z US Equity,Kunz Construction Co Inc,
4411481Z IM Equity,Parolini Giannantonio SpA,
KOYO SP Equity,Koyo International Ltd,
BMETRICS IN Equity,Bombay Metrics Supply Chain Ltd,
TV3 VN Equity,Power Engineering Consulting JSC,
REKATECH MK Equity,Rekatech Capital Bhd,
145 HK Equity,CCIAM Future Energy Ltd,
4409345Z IM Equity,Treviglio Societa' Consortile A Responsabilita' Limitata,
4767841Z PL Equity,Scoprolumba-Sociedade de Construcces e Projectos SA,
4023300Z BB Equity,Hertsens Wegenwerken NV,
3754648Z US Equity,Case & Associates General Contractors Ltd,
IPHI RO Equity,Iprochim SA,
1931406Z LN Equity,D 20 Ltd,
456700 KS Equity,GILGYO E&C Co Ltd,
HDELRA CZ Equity,Hidroelektra Niskogradnja dd,
HEP VN Equity,Hue Urban Environment & Public Works JSC,
8373 HK Equity,Indigo Star Holdings Ltd,
8532 HK Equity,Polyfair Holdings Ltd,
4791149Z US Equity,Lewallen Construction Co Inc Missouri,
HEJ VN Equity,Vietnam Hydraulic Engineering Consultants Corporation-JSC,
4504171Z FP Equity,Charrier TP SAS,
AEGEK GA Equity,Aegek SA,
413300 KS Equity,TL Engineering Co Ltd,
8422 HK Equity,WT Group Holdings Ltd,
QNT VN Equity,Dien Ban Town Construction Consultancy Centre,
PLA VN Equity,Petroleum Logistic Service & Investment JSC,
ICI VN Equity,Industrial Construction and Investment JSC,
MTL VN Equity,Tu Liem Urban Environment Service JSC,
4136613Z US Equity,KE&G Construction Inc,
3922552Z US Equity,Dejean Construction Co Inc,
ROPTRA BK Equity,Romanijaputevi AD Sokolac,
TVG VN Equity,Transport Investment and Construction Consultant JSC,
3938348Z US Equity,West Brothers Construction Inc,
3785252Z SM Equity,Pamai SL,
SETU IN Equity,Setubandhan Infrastructure Ltd,
3942364Z US Equity,HCI Construction Co,
SDC VN Equity,Song Da Consulting JSC,
BGMN SG Equity,Beogradmontaza ad Beograd,
SICC EY Equity,Specialized Industries & Contracting Co,
TA6 VN Equity,Thanh An 665 Investment Installation & Construction JSC,
CDH VN Equity,Hai Phong Public Works & Tourism Services JSC,
4176965Z IM Equity,CNS International Srl,
L61 VN Equity,Lilama 69-1 JSC,
CIP VN Equity,Construction and Industrial Production JSC,
4448809Z LN Equity,Midas Retail Ltd,
PID VN Equity,Petroleum Interior Decoration JSC,
STP SK Equity,Stapring AS,
PZBNRA BK Equity,Poljoprivredni Zavod AD Bijeljina,
3940628Z US Equity,Standard Industrial Structures Corp,
VCT VN Equity,Vinaconex Construction Consultant JSC,
4780233Z IM Equity,DE-GA SpA,
4036645Z NA Equity,Aannemersbedrijf Bramer BV,
ATB VN Equity,An Thinh JSC,
LDTCF US Equity,LeddarTech Holdings Inc,
LCS VN Equity,Licogi 16.6 JSC,
V15 VN Equity,Vietnam Construction JSC No 15,
4211337Z IM Equity,Biffi SpA,
BOIN SG Equity,Borinzenjering ad Bor,
3766780Z US Equity,Dakota Redi-Mix Inc,
IPRJRA BK Equity,Industroprojekt AD Prijedor,
4223453Z IM Equity,Ala 97 SpA,
NOPR ME Equity,Novi Prvoborac AD Herceg Novi,
4168613Z LN Equity,Read Construction Group Ltd,
3913716Z US Equity,WE Stone Construction Inc,
4151513Z US Equity,Greenwood Metro Commission,
4283189Z SM Equity,Alvargonzalez Contratas SA,
3765892Z US Equity,RCS Construction Inc,
4638593Z FP Equity,La Ferroviaire de la Brie SAS,
4396721Z NO Equity,Aker Reinertsen AS,
3810300Z SM Equity,Concesiones Intercontinentales Sociedad Ltda,
DEMIB SS Equity,Delta Minerals AB,
MTB DC Equity,Monberg & Thorsen A/S,
4208457Z IM Equity,Farina Guido Srl,
4352109Z IM Equity,Bitux Srl,
2277058D LN Equity,Wren Extra Care Group PLC,
0646509D SM Equity,Sacyr Concesiones SL,
2971341Q US Equity,Rhapsody Acquisition Corp - Set up for Fundamental Purposes,
3750136Z SM Equity,Servicios Y Obras Del Norte SA,
GTP BU Equity,Green Town Projects EAD,
5BW GR Equity,Borawind AG,
USTX US Equity,USTMAN Technologies Inc,
GSE MK Equity,General Soil Engineering Holdings Bhd,
6EG BU Equity,Energoremont Holding AD,
8238631Z IN Equity,Gammon & Billimoria Ltd,
3930340Z US Equity,Silva Contracting Co Inc,
ANELT TI Equity,Anel Telekomunikasyon Elektronik Sistemleri Sanayi ve Ticaret AS,
3770560Z US Equity,SEDA Construction Co,
4706209Z FP Equity,Perrier SAS,
SRKB RU Equity,Saranskkabel,
AURFI IN Equity,ICSA India Ltd,
4758905Z PL Equity,Gas Energia Iberica SA-Sucursal em Portugal,
4380601Z SS Equity,ByggUt-Dahlstrom Byggutveckling AB,
4190257Z IM Equity,Agribeton SpA,
4014748Z SS Equity,AGB Invest AB,
UDRNRK2 BT Equity,Udarnik dd Breza,
3807248Z NA Equity,Gem Schuytgraaf Beheer BV,
4182269Z IM Equity,Consult Italiana SpA,
4703009Z FP Equity,Entreprise Tournaud,
KPRT UZ Equity,Kyivproject,
3788156Z US Equity,Miles Excavating Inc,
STPR SG Equity,Standardprojekt AD Subotica,
3712711Z US Equity,John Hyland Const Inc,
4783145Z FP Equity,Sacer Sud Est SASU,
3703927Z US Equity,RJ Zavoral & Sons Inc,
4517271Z FP Equity,Screg Sud Ouest SASU,
OSNV SG Equity,Osnova Projekt AD Beograd,
4667737Z FP Equity,Resirep SNC,
PRT9RA BK Equity,Projekt dd Brcko,
NIPR SG Equity,Nisprojekt AD NIS,
CRKM IN Equity,Cromakem Ltd,
CSDV KZ Equity,CS Development LLP,
4791109Z US Equity,Willocks Construction Corp,
CCL IN Equity,Corporate Courier and Cargo Ltd,
3795540Z SM Equity,Sociedad De Infraestructuras Y Equipamientos Penitenciarios Y De La Seguridad De,
4745961Z FP Equity,Societe Des Travaux Publics Abbevillois STPA SAS,
GSKTI UZ Equity,Holovnyi specializovanyi konstruktorsko-tekhnolohichnyi instytut PJSC,
IDJT RM Equity,Idjat PJSC,
GNV AU Equity,Green Invest Ltd,"Green Invest Ltd., through subsidiaries, offers environmental assessments forbusinesses, installs water and energy saving devices and solar hot watersystems, and brokers carbon credits and renewable energy certificates."
4688309Z FP Equity,Societe Generale Techniques Et Etudes,
4710649Z FP Equity,Etablissements Offroy,
3999732Z IM Equity,Immobiliare Imperia Srl,
4153637Z US Equity,Richard Drake Construction Co LP,
PAULQ HK Equity,Paul Y Engineering Group Ltd/Old,
4431569Z IM Equity,Daneco SpA,
4768201Z PL Equity,Ensul Meci-Gestao de Projectos de Engenharia SA,
CTG NZ Equity,Cabletalk Group Ltd,
KGHI US Equity,Kaiser Group Holdings Inc,
FEMZ UZ Equity,Theodosia Engineering Works JSC,
KTIP PZ Equity,King Tech International Ltd,
3807852Z LN Equity,Trant Estates Ltd,
CEE VN Equity,CII Engineering And Construction JSC,
4754473Z PL Equity,AGC-Minas de Portugal Unipessoal Lda,
4228781Z IM Equity,Soteca Societa' Di Ingegneria Geologia Architettura Territorio Srl,
MXC VN Equity,Mua Xuan Agriculture Center,
4396345Z NO Equity,Byggmester Sagen AS,
4517295Z FP Equity,Screg Est SA,
1266591Z LN Equity,Young Associates Gp Ltd,
4790053Z US Equity,S Lewis Lionberger Construction Co,
4322621Z IM Equity,Rcs SpA,
4316933Z IM Equity,Marx SpA,
BUGS US Equity,US Microbics Inc,
4203193Z IM Equity,Noy Ambiente SpA,
3785500Z US Equity,Argonaut Constructors,
VKSP IN Equity,VKS Projects Ltd,
PZPKR SG Equity,PZP Kragujevac AD Kragujevac,
1717543D US Equity,China Metro-Rural Holdings Ltd,
SIGAL GA Equity,S Sigalas SA,
DRBC SG Equity,Drina River Bridge Corp AD Beograd,
4252829Z IM Equity,EDILMAC DEI FRATELLI MACCABELLI Srl,
PPIP PZ Equity,Product Power International PLC,
4286293Z LN Equity,Henry Williams Group Ltd,
3751552Z US Equity,Thieneman Construction Inc,
4389297Z NO Equity,Norisol Norge AS,
3638727Z SM Equity,Proyectos y Servicios SA,
3701423Z US Equity,West Construction Inc,
GNRI SW Equity,Global Natural Resources Holding AG,
TFIL IN Equity,Terruzzi Fercalx India Ltd,
NWGN US Equity,NewGen Technologies Inc,
HEXG MK Equity,Hexagon Holdings BHD,
TECO NO Equity,TECO 2030 ASA,
4496091Z LN Equity,Swanke Hayden Connell International Ltd,
4787825Z BB Equity,Smet-Groundwater Technics,
3982900Z DC Equity,Le34 Gruppen Landinspektoraktieselskab,
6596684Z IN Equity,Simon India Ltd,
4707825Z FP Equity,Entreprise Marquet SAS,
COMF UZ Equity,Comfort Service,
3795024Z PL Equity,Oliveiras SA,
GIE/H CN Equity,GIE Environment Technologies Ltd,
4056701Z IM Equity,Zumaglini & Gallina SPA Societa' Benefit,
4669049Z FP Equity,Routiere des Pyrenees SAS,
SVST RU Equity,Trest Svyazstroi-5 OAO,
SGBHD MK Equity,Supergenics Bhd,
3934428Z US Equity,Architects Group Inc/The,
4653017Z FP Equity,Entreprise Michel Duhalde Sarl,
4154845Z US Equity,Pacific Construction Systems Inc,
CIRZ US Equity,CirTran Corp,
4312253Z IM Equity,PEC Srl Piping Engineering Constructions,
1413189D US Equity,Dynamic Enviro Inc,
4391369Z NO Equity,Nli AS,
DAR VN Equity,DiAn Train JSC,
4032429Z IM Equity,Eurogroup SpA/Monfalcone,
DNMZ UZ Equity,Dniprovsky Vfshinobudivny Zavod,
4632633Z PL Equity,Isolux Ingenieria SA/Portugal,
4353941Z PL Equity,Cipriano Pereira Carvalho & Filhos Lda,
3920980Z US Equity,Gladen Construction Inc,
COSTAIN NL Equity,Costain West Africa PLC,
3036863Z LN Equity,SPD Ltd,
4492115Z SM Equity,Gestion De Infraestructuras De Castilla-La Mancha SA,
4189657Z IM Equity,Tecnic Tecniche e Consulenze Nell'Ingegneria Civile Consulting Engineers SpA,
3755440Z US Equity,Tezak Heavy Equipment Co Inc,
4646377Z FP Equity,Belleme SAS,
3750208Z SM Equity,Construcciones Obras Y Viales SA,
PSLL IN Equity,PSL Ltd/India,
CVH VN Equity,Hai Phong Green Park JSC,
LOD LN Equity,Loades Ltd,
0866592D SM Equity,Autovia de Aragon-Tramo 1 SA,
HIZ VN Equity,Ho Nai Industrial Zone JSC,
3995812Z IM Equity,Nodavia Societa Consortile Per Azioni,
5385 TT Equity,Lite Vision Corp,
CYNT US Equity,Cyntech Technologies Inc,
NPS MK Equity,Nova Pharma Solutions Bhd,
SCH VN Equity,Song Chay 5 Hydropower JSC,
4732657Z FP Equity,Pigeon Tp SAS,
4214553Z IM Equity,Sudprogetti SpA,
4661761Z FP Equity,Chalons Energies,
3809148Z LN Equity,Gelder Ltd,
4417825Z IM Equity,Cengineering Srl,
INITSPLC NL Equity,Initiates Plc/The,
4318445Z IM Equity,CPF Costruzioni SpA,
TAP VN Equity,Tan An Public Services JSC,
4024252Z BB Equity,Trevi SA,
4404681Z IM Equity,APS SpA,
MVVB SS Equity,MVV Holding AB,
3800988Z ID Equity,Barina Construction Ltd,
3751752Z SM Equity,Centunion Espanola De Coordinacion Tecnica Y Financiera SA,
4169901Z BB Equity,SNC Lavalin SA,
1826289D SW Equity,Sia-Haus AG,
ZSGP RU Equity,Zapsibgazprom OAO,
4138261Z US Equity,BMS Communications Inc,
3754216Z SM Equity,Co Internacional De Construccion Y Diseno SA,
4296413Z IM Equity,Enrico Ravanelli SpA,
4144661Z US Equity,MIG Corp Inc,
4137621Z US Equity,Solex Contracting Inc,
4772145Z PL Equity,Embaleuropa - Comercio De Embalagens Da Europa SA,
4725409Z FP Equity,Lorban Robert et Cie,
4518639Z FP Equity,Bouygues Batiment Grand Ouest SASU,
2483642Z PW Equity,ELMO SA,
4367945Z SM Equity,Control Y Geologia SA,
3702291Z US Equity,Ceccanti Inc,
4143101Z US Equity,Grimm Construction Co Inc,
3917684Z US Equity,Art C Klein Construction Inc,
4749241Z FP Equity,Etude Pluridiscipli Habitat Travau Annex,
4355733Z PL Equity,Antonio Pimenta Construcoes Lda,
3790624Z US Equity,Enerpipe Ltd,
4783057Z FP Equity,Societes Reunies Bergeon Buret-Galland,
3710743Z US Equity,GSE Construction Co Inc,
4372209Z SM Equity,Miesa Montaje SL,
4224501Z IM Equity,Consorzio Toscano Cooperative Ctc SC,
HTU VN Equity,Ha Tinh Urban and Environment JSC,
BLMT3 BZ Equity,Belmonte Participacoes SA,
4437497Z IM Equity,General Construction SpA,
4140093Z US Equity,C&C Power Line Inc,
3808652Z SM Equity,Gestamp Tooling Services Agrupacion De Interes Economico,
4737393Z FP Equity,Societe Laonnoise De Travaux Publics SAS,
4486027Z US Equity,Dixie Crane Services Inc,
3774656Z PL Equity,Construtora Udra Lda,
WWE MK Equity,WWE Holdings Bhd,
2688795Z LN Equity,Squibb Demolition Ltd,
4385913Z IM Equity,Sitalfa SpA,
4489195Z NO Equity,WesternGeco AS/Norway,
3811768Z ID Equity,M&P Construction Ltd,
4482083Z US Equity,LPX Inc,
4060061Z IM Equity,Dolomiti Rocce Srl,
MNPR IT Equity,Minrav Projects Ltd,
SIC VN Equity,ANI JSC,
4447073Z NO Equity,West Industri Service AS,
3756192Z US Equity,Auburn Constructors Inc,
4738993Z FP Equity,Cie Francaise de Geothermie SAS,
4369721Z SM Equity,First Commissioning Services SA,
4723081Z FP Equity,ASS Topographe Geometre Technicien Etu,
STU VN Equity,Son Tay Urban Construction and Environment JSC,
4326417Z IM Equity,Flexider Srl,
8159390Z IN Equity,NCC Urban Infrastructure Ltd,
4741433Z FP Equity,Habitat Et Territoires Conseils SA,
EDRA GA Equity,Edrasis - C Psallidas Technicalco SA,
3810356Z SM Equity,FTC Obras Y Energia SA,
PZPP SG Equity,PZP Pozarevac ad Pozarevac,
3783692Z NA Equity,Siers Leiding-Montage Projekten Oldenzaal BV,
4391729Z NO Equity,Soebstad AS,
3633507Z IM Equity,Fata SpA,
4003092Z IM Equity,Assystembrime Italia SpA,
4512699Z IM Equity,Astral Italia SpA,
3755752Z SM Equity,Martin Casillas SL,
4369481Z SM Equity,Fulcrum Planificacion Analisis y Proyecto SA,
3981388Z DC Equity,Nrgi Netservice A/S,
SASH MK Equity,Saship Holdings BHD,
4652737Z FP Equity,Seca Ingenierie,
3946036Z US Equity,Standard Utility Construction Inc,
4646897Z FP Equity,Assistance-Technique-Entretien Sarl,
AGY1 GR Equity,AGO GmbH Energie & Anlagen,
4516263Z SM Equity,Drace Geocisa SA,
AFTK IN Equity,Aftek Ltd,
4784985Z GR Equity,Bauunternehmung Gloeckle SF-Bau GmbH,
KRNE IN Equity,Kalindee Rail Nirman Engineers Ltd,
4706265Z FP Equity,Urano Et Cie,
2177388Z LN Equity,Belmar Engineering Services Ltd,
4231693Z IM Equity,Co Ge Costruzioni Generali SpA,
3943996Z US Equity,Highland Engineering Inc,
BTS PW Equity,Beton Stal,
CSMY US Equity,CSM Environmental LLC,
3757416Z US Equity,Hal Hays Construction Inc,
1729048Z LN Equity,Butler & Young Ltd,
4146429Z US Equity,Riverside Contracting Inc,
4484755Z US Equity,Western States Reclamation Inc,
3971908Z DC Equity,Mogens Balslev Radgivende Ingeniorer A/S,
3706903Z US Equity,Musselman & Hall Contractors LLC,
4491227Z IM Equity,GE Water & Process Technologies Italy Srl,
ISYO MK Equity,Isyoda Corp Bhd,
359A JP Equity,Next Stage Co Ltd,
4189297Z IM Equity,C Lotti & Associati Soc di Ingegneria SpA,
4139285Z US Equity,Newfield Construction Inc,
4746073Z FP Equity,Gnat SA,
4426889Z IM Equity,Maier Project Srl,
4446641Z NO Equity,Gl Prosjektservice AS,
4223621Z IM Equity,Icea SCARL,
111610 KS Equity,Seunghwa Co Ltd,
4140293Z US Equity,Aquatic Vegetation Control Inc,
