ENO,name,status,commodity,owner,startDate,endDate,observationMethod,positionalAccuracy,source,status_uri,representativeCommodity_uri,specification_uri,LAT_GDA94,LONG_GDA94
569984,Hamersley Iron (Rio  Tinto),operating mine,"Iron ore, (Iron)",Rio Tinto Limited,,,"State or NT agency supplied location, method unknown",0 metres,http://www.riotinto.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,http://pid.geoscience.gov.au/id/feature/ga/er/mine/569984,-22.598301,117.220398
569998,1600N/Shocker,historic mine,Gold,Westgold Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.westgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/569998,-27.3356,117.6442
570002,Big Bell South,historic mine,Gold,Westgold Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.westgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570002,-27.3303,117.6477
570007,City of Sydney,historic mine,Gold,,,,"State or NT agency supplied location, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570007,-27.3568,117.7989
570009,Lady Rosie,historic mine,Gold,Westgold Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.westgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570009,-27.3942,117.801
570090,Browns Range,operating mine,"Rare earth oxides, (Yttrium, Yttrium oxide, Terbium(III,IV) Oxide, Dysprosium(III) oxide, Dysprosium, Uranium oxide, Thorium, Terbium)",Northern Minerals Limited,,,"State or NT agency supplied location, method unknown",5 metres,http://northernminerals.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570090,-18.859476,128.939813
570095,Invincible - St Ives,operating mine,Gold,Gold Fields Limited,,,"company supplied location, method unknown",500 metres,http://www.goldfields.co.za/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570095,-31.2951,121.6761
570102,Broads Dam Project,historic mine,Gold,Evolution Mining Limited,,,satellite image,999 metres,http://www.evolutionmining.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570102,-30.5588,121.101
570110,Zuleika North,historic mine,Gold,Evolution Mining Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.evolutionmining.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570110,-30.3066,120.7231
570113,Tuckanarra,historic mine,Gold,"Monument Mining Limited, Odyssey Gold Ltd",,,satellite image,999 metres,"http://www.monumentmining.com/s/home.asp, https://odysseygold.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570113,-27.0991,118.1025
