ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
334018,Pilbara,,WA,119.42,-21.4977,100,mineral deposit,"Sn, Ta, SnO2, Ta2O5",,"Tin, Tantalum, Tin oxide/cassiterite, Tantalum pentoxide",,,Pilbara Craton,,
335162,Yellow Mountain,,NSW,146.8224,-32.4581,250,mineral deposit,"Zn, Cu, Au, Ag, Pb",,"Zinc, Copper, Gold, Silver, Lead",,,"Lachlan Orogen, Cobar Basin",Paleozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Orogenic silver-lead-zinc-copper-antimony"
570027,Chandala HMS,,WA,115.968,-31.492,0,mineral deposit,"Mnsd, Ilm, Mnz, Leu, Zrn, Rt",,"Mineral sands, Ilmenite, Monazite, Leucoxene, Zircon, Rutile",,,,,
518250,Bull Terrier,,WA,121.9245,-29.4895,999,mineral deposit,Au,,Gold,,,Yilgarn Craton,,
334690,Jinka Plains,,NT,135.8846,-22.729,999,mineral deposit,"F, Fl",,"Fluorine, Fluorite",,,,,
452424,Bluebush Line,Kambalda,WA,121.7648,-31.5832,500,mineral deposit,"Cu, Pd, Co, Pt, Ni",,"Copper, Palladium, Cobalt, Platinum, Nickel",,,Yilgarn Craton,,
333407,Edna May,"Edna May West, Edna May West Extended, Willsburgh",QLD,139.8398,-20.8184,500,historic mine,Cu,,Copper,,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,
333355,Station Creek,,QLD,145.2247,-16.6077,250,historic mine,"SnO2, W, Sn",,"Tin oxide/cassiterite, Tungsten, Tin",,,Mossman Orogen,,"Environment: Erosional, Group: Placer, Type: Fluvial placer tin"
334874,Sikonos,,NT,131.3198,-13.3833,10,mineral deposit,Au,,Gold,,,Pine Creek Orogen,,
334964,Hematite Range,,QLD,139.6512,-19.8956,999,mineral deposit,"Fe, Mag",,"Iron, Magnetite",,,Mount Isa Orogen,,
334160,Toombon,,VIC,146.403,-37.7362,100,historic mine,Au,,Gold,,,Lachlan Orogen,Paleozoic,
333944,Smithfield,part of Jeebropilly,QLD,152.5977,-27.658,999,historic mine,Cbl,,Coal - black,,,Clarence-Moreton Basin,Mesozoic,
456497,Alec Mairs,,WA,120.5707,-27.6067,500,mineral deposit,Ni,,Nickel,,,Yilgarn Craton,,
531506,Wilson River A,,TAS,145.3793,-41.6845,500,mineral deposit,"Cr, Os, PGE, Au",,"Chromium, Osmium, Platinum group elements, Gold",,,Delamerian Orogen,,
333401,Lauriston Goldfield,"Drummond North, Taradale",VIC,144.366,-37.247,2000,historic mine,Au,,Gold,,,"Lachlan Orogen, Lachlan Orogen, Bendigo Zone",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333329,York and Durham,,VIC,144.2513,-36.7288,999,mineral deposit,Au,,Gold,,,Lachlan Orogen,,
333762,Iluka South West Province (Capel North),,WA,115.5857,-33.5204,999,mineral deposit,"Zrn, Rt, Leu, Ilm",,"Zircon, Rutile, Leucoxene, Ilmenite",,,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
455562,Muttabee,,SA,138.4043,-32.5021,999,historic mine,Mn,,Manganese,,,Delamerian Orogen,,
333692,Sebastopol-Junee Reefs,,NSW,147.5263,-34.5865,250,historic mine,Au,,Gold,,,"Lachlan Orogen, Lachlan Orogen, Adelong Gold Metallogenic Province",Paleozoic,
334791,"White Engine (Cadia, Old Cadia)",,NSW,148.9855,-33.4464,50,mineral deposit,"Cu, Au",,"Copper, Gold",,,Lachlan Orogen,,
334303,Yilgarn Star,Southern Cross Operations;,WA,119.6785,-31.5335,500,historic mine,Au,,Gold,"Shandong Tianye Real Estate, China Hanking Holdings Limited","http://www.sdtianye.com, http://www.hankingmining.com/?lang=en","Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334304,Chalice,Higginsville Gold Operations,WA,121.5148,-31.8159,500,mineral deposit,Au,,Gold,"Karora Resources Inc, Metals X Limited, RNC Minerals","http://www.metalsx.com.au/, http://www.rncminerals.com/, https://www.karoraresources.com/","Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Gold Metallogenic Province, Kalgoorlie Terrane",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334305,Jangardup,,WA,115.6287,-34.3596,100,historic mine,"Ilm, Zrn, Rt, Leu, Mnsd",,"Ilmenite, Zircon, Rutile, Leucoxene, Mineral sands",Cable Sands (WA) Pty Ltd,http://www.cablesands.com.au,Perth Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334306,Lake Innes,,NSW,152.8709,-31.4762,2000,mineral deposit,"Ni, Sc, Fe, Cr, Co, Tlc",,"Nickel, Scandium, Iron, Chromium, Cobalt, Talc",Jervois Mining Limited,http://www.jervoismining.com.au/,New England Orogen,Cenozoic,
334308,Omega,Gidgee Project,WA,119.3801,-26.855,500,historic mine,Au,,Gold,Horizon Gold Limited,http://www.horizongold.com.au,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",Archean,
334309,Wintinna,"Arckaringa, coal to methanol plant",SA,134.75,-27.9304,1000,mineral deposit,Cbl,,Coal - black,"Wintask Group Ltd, Altona Energy Plc, Sino-Aus Energy Group Ltd, Altona Mining Limited","http://www.altonaenergy.com/, http://www.altonamining.com/",Arckaringa Basin,,
334310,Magellan,"Paroo Station, Wiluna",WA,119.9419,-26.5179,1000,care and maintenance,Pb,,Lead,Ivernia Inc.,http://www.ivernia.com,Earaheedy Basin,Paleoproterozoic,"Environment: Basin hydrothermal, Group: Mississippi Valley-type (MVT), Type: MVT zinc-lead"
334311,Jurien,,WA,115.1788,-30.3435,100,historic mine,"Ilm, Zrn, Rt, Leu",,"Ilmenite, Zircon, Rutile, Leucoxene",Tronox Limited,http://www.tronox.com,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334313,Victory,"Cloncurry Project, Flagship",QLD,140.7818,-20.9322,999,mineral deposit,Cu,"Au, Co","Copper, (Gold, Cobalt)",Exco Resources Limited,http://www.excoresources.com.au/,Mount Isa Orogen,Proterozoic,
334316,Walsh North,Binduli Project,WA,121.3962,-30.8062,500,mineral deposit,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","http://www.zjky.cn, http://www.nortongoldfields.com.au/",Yilgarn Craton,Archean,
334317,Bremer View,"Bremer View East, Bremer View West",QLD,152.5777,-27.6675,999,mineral deposit,Cbl,,Coal - black,Energy Future Holdings,,Clarence-Moreton Basin,Mesozoic,
334323,Oberon,Tanami Project,NT,129.9944,-20.2862,500,mineral deposit,Au,,Gold,Newmont Mining Corporation,http://www.newmont.com/,Tanami Orogen,Paleoproterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334326,Eleanora,Hillgrove Proj,NSW,151.9009,-30.5745,999,mineral deposit,"As, Sb, Au",,"Arsenic, Antimony, Gold",Straits Resources Limited,http://www.straits.com.au/,New England Orogen,,
334333,West 45,,QLD,145.7538,-20.3303,500,mineral deposit,"Zn, Pb, Cu","Ag, Au","Zinc, Lead, Copper, (Silver, Gold)",Kagara Limited,http://www.kagara.com.au/,,Paleozoic,
334338,Mannering,"Wyee, Wyee State",NSW,151.5342,-33.2078,2000,care and maintenance,Cbl,,Coal - black,Banpu Public Company Limited,http://www.banpu.com/en_index.php,Sydney Basin,,
334339,Olive Downs,,QLD,148.363,-22.1524,999,mineral deposit,Cbl,,Coal - black,Peabody Energy Corp.,http://www.peabodyenergy.com/,Bowen Basin,,
334340,Collinsville,"McNaughton, Wollombi",QLD,147.7686,-20.5676,10,operating mine,Cbl,,Coal - black,"Glencore Plc, Itochu Corporation","http://www.glencore.com/, http://www.itochu.co.jp/main/index_e.html",Bowen Basin,,
334341,Golden Orb,Marda Project,WA,119.1823,-30.2856,500,mineral deposit,Au,,Gold,Ramelius Resources Limited,http://www.rameliusresources.com.au/,Yilgarn Craton,Archean,
334343,Melville,,WA,116.7554,-28.1875,250,mineral deposit,Au,,Gold,Spartan Resources Ltd,https://spartanresources.com.au/,"Yilgarn Craton, Murchison Province",Archean,
334344,Widgie Townsite,,WA,121.5748,-31.5029,999,feasibility,"Ni, Cu","Co, Fe","Nickel, (Cobalt, Copper, Iron)",Widgie Nickel Ltd,https://www.widgienickel.com.au/site/content/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
334350,Sedan,,SA,139.318,-34.3623,999,mineral deposit,Cbr,,Coal - brown,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Murray Basin,,
334351,Spargoville - Location 3,Spargoville 5D,WA,121.5,-31.3547,100,historic mine,Ni,,Nickel,Estrella Resources,https://www.estrellaresources.com.au/,"Yilgarn Craton, Kambalda Nickel Metallogenic Province",,
334353,Bells,Barnicoat Project,WA,122.496,-28.6597,500,mineral deposit,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
334358,Maranui,Yaloginda Project,WA,118.4427,-26.6838,999,historic mine,Au,,Gold,Reed Resources Limited,http://www.reedresources.com/,Yilgarn Craton,Archean,
334367,Bayleys,"Bayleys Reward, Lindsays-Bayleys Project",WA,121.1813,-30.9467,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,"Environment: unknown, Group: unknown, Type: unknown"
334368,Canbelego,Mt Boppy,NSW,146.3082,-31.6229,2000,feasibility,"Au, Cu",,"Gold, Copper",Helix Resources Limited,http://www.helix.net.au/,"Lachlan Orogen, Lachlan Orogen, Girilambone Base Metal Metallogenic Province, Mineral Hill Metallogenic Province",,
334371,Lucky Draw,Burraga,NSW,149.5724,-33.9158,50,historic mine,Au,"Ag, Fe","Gold, (Silver, Iron)","Meridien Resources Limited, Republic Gold Ltd.","http://www.meridienresources.com.au/, http://www.republicgold.com.au","Lachlan Orogen, Lachlan Orogen, Lucky Draw, Macquarie Igneous Province, Molong - Sofala Igneous Subprovince",,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn gold ± copper ± tungsten"
334372,Molyhil,,NT,135.7515,-22.7575,2000,under development,"Mo, MoS2, W, WO3","Cu, Fe","Molybdenum, (Copper, Molybdenite, Tungsten, Tungsten trioxide (wolframite), Iron)","Thor Mining PLC, Investigator Resources Limited","http://www.thormining.com/, http://www.investres.com.au/","Arunta Orogen, Aileron Province",Proterozoic,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn tungsten ± Mo"
334373,Morning Star,Mt Magnet Project,WA,117.8247,-28.0442,500,mineral deposit,Au,,Gold,Ramelius Resources Limited,http://www.rameliusresources.com.au/,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Murchison Domain",Archean,
334374,New Cobar,"Fort Bourke, Peak Mines Project",NSW,145.8551,-31.5161,500,operating mine,"Cu, Au",,"Copper, Gold",New Gold Incorporated,http://www.newgold.com/,"Lachlan Orogen, Lachlan Orogen, Cobar Basin",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Orogenic copper ± gold"
334375,Rhodes Ridge JV,,WA,119.3772,-23.094,100,mineral deposit,FeOre,"Fe, Hem","Iron ore, (Iron, Hematite)","Rio Tinto Limited, Wright Prospecting Pty Ltd",http://www.riotinto.com.au/,Hamersley Basin,Archean,
334378,Wingellina (NICO Resources),Central Musgrave,WA,128.9406,-26.0382,2000,mineral deposit,"Ni, Co, Fe","Pt, Pd","Nickel, Cobalt, (Platinum, Iron, Palladium)",NICO Resources Ltd,https://nicoresources.com.au/,"Musgrave Province, Nebo-Babel Nickel Metallogenic Province, Wingellina",Cenozoic,
334379,Henty,,TAS,145.5574,-41.8664,999,operating mine,Au,Ag,"Gold, (Silver)",Catalyst Metals Ltd,https://catalystmetals.com.au/,"Delamerian Orogen, Dundas Trough, Mount Lyell Copper-Gold Metallogenic Province, Mount Read Igneous Province",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal felsic VMS"
334380,Andersons Lode,Counter,QLD,139.6122,-20.6614,10,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)","Paladin Energy Limited, Summit Resources Limited","http://www.paladinenergy.com.au/, http://www.summitresources.com.au/","Mount Isa Orogen, Leichhardt River Fault Trough",Proterozoic,"Environment: Regional metasomatic, Group: Alkali-calcic, Type: Albitite-hosted uranium"
334386,Callion,Davyhurst Project,WA,120.5829,-30.1169,500,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited","http://www.orabandamining.com.au, http://www.swangoldmining.com.au/","Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,
334388,Woodie Woodie,"Bells Leases, Mike, consists of over 30 deposits",WA,121.2355,-21.6388,100,operating mine,"MnOre, Fe, V2O5",Mn,"Manganese ore, Iron, Vanadium pentoxide, (Manganese)","Consolidated Minerals Limited, Mineral Resources","http://www.consminerals.com.au/, http://www.mineralresources.com.au/mrl-mining/lithium.html",Oakover Paleovalley,Archean,"Environment: Supergene, Group: Supergene, Type: Supergene manganese"
334389,Whundo,"Ayshia, West Whundo, Yannery",WA,116.9275,-21.0788,100,mineral deposit,"Cu, Zn",Ag,"Copper, Zinc, (Silver)",GreenTech Metals Ltd,https://greentechmetals.com/,"Pilbara Craton, Whundo Base Metal Metallogenic Province",Archean,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS)"
334393,Mighty Atom,Mighty Atom South,QLD,139.989,-19.943,2000,mineral deposit,"Cu, Au",,"Copper, Gold",Matrix metals,http://www.matrixmetals.com.au,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,
334397,Cape Horn,Mt Lyell Project,TAS,145.5786,-42.0441,500,historic mine,"Ag, Cu, Au",,"Silver, Copper, Gold",Vedanta Resources PLC,http://www.vedantaresources.com/,"Dundas Trough, Mount Lyell Copper-Gold Metallogenic Province",,
334400,Mount Colin,,QLD,140.0445,-20.7759,500,operating mine,Cu,Au,"Copper, (Gold)",Aeris Resources Limited,,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,"Environment: Regional metasomatic, Group: Metasomatic iron, Type: Iron sulfide polymetallic"
334401,Nim 6,"Jundee Gold Project, Nimary Six",WA,120.5889,-26.3674,500,mineral deposit,Au,,Gold,Northern Star Resources Limited,http://www.nsrltd.com/,"Yilgarn Craton, Eastern Goldfields Province",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334402,Crinum,,QLD,148.371,-23.2101,50,care and maintenance,Cbl,,Coal - black,Sojitz Corporation,http://www.sojitz.com/en,Bowen Basin,,
334403,Peculiar Knob,,SA,135.3826,-29.5868,10,operating mine,FeOre,Fe,"Iron ore, (Iron)",Peak Iron Mines Pty Ltd,https://www.peakiron.com,"Gawler Craton, Olympic Copper Gold Metallogenic Province",Paleoproterozoic,"Environment: Basin chemical, Group: Iron formation, Type: Superior-type banded iron formation"
334407,Nowa Nowa,,VIC,148.117,-37.6609,100,feasibility,Fe,,Iron,"Eastern Iron Ltd, Gulf Mines Ltd","http://www.easterniron.com.au/, http://www.gulfmines.com.au",Lachlan Orogen,,
334409,Enterprise - Ora Banda,Ora Banda Project,WA,121.089,-30.3719,500,operating mine,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","http://www.zjky.cn, http://www.nortongoldfields.com.au/",Yilgarn Craton,Archean,"Environment: unknown, Group: unknown, Type: unknown"
334410,Acra,,WA,122.085,-30.5322,100,mineral deposit,"Co, Ni",,"Cobalt, Nickel",Heron Resources Limited,https://www.heronresources.com.au/,Yilgarn Craton,,
334411,Berrima,Medway Colliery,NSW,150.2657,-34.4652,999,closed,Cbl,,Coal - black,"Boral Ltd, DeltaSBD, Illawarra Coal","http://www.boral.com.au/, http://www.deltasbd.com.au, http://www.illawarracoal.com",Sydney Basin,,
334414,Ladybird,,WA,119.4539,-28.1167,100,mineral deposit,Au,,Gold,Aurumin Limited,https://aurumin.com.au/,Yilgarn Craton,,
334365,Cams,Miranda JV,WA,120.5412,-27.731,500,historic mine,Au,,Gold,Gold Fields Limited,http://www.goldfields.co.za/,Yilgarn Craton,Archean,
334416,Orazabah,,QLD,149.8844,-25.8369,250,mineral deposit,Cbl,,Coal - black,Glencore Plc,http://www.glencore.com/,Surat Basin,Mesozoic,
334417,Wim 050,,VIC,141.8897,-37.0695,100,mineral deposit,"Ilm, Rt, Zrn, Xen, Leu",Mnz,"Ilmenite, Rutile, Zircon, Xenotime, Leucoxene, (Monazite)",Iluka Resources Limited,http://www.iluka.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334423,Stratford,Bowens Road North,NSW,151.9747,-32.1161,999,closed,Cbl,,Coal - black,Yancoal Australia Limited,http://www.yancoal.com.au/,Gloucester Basin,,
334425,Lizard (Carnegie),Lady Ida Area Project,WA,120.6933,-30.5543,500,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited","http://www.orabandamining.com.au, http://www.swangoldmining.com.au/","Yilgarn Craton, Eastern Goldfields Province",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334426,Yaamba,,QLD,150.301,-23.0786,250,mineral deposit,"MgO, Mgs",,"Magnesia (magnesium oxide), Magnesite",QMAG Pty Ltd,https://www.qmag.com.au/,,,
334429,Pinnacles,,QLD,145.1711,-17.7021,999,mineral deposit,"Sn, Fe, F, Ag, Zn","Fl, Pb","Tin, (Fluorite, Iron, Fluorine, Silver, Zinc, Lead)",DevEx Resources Ltd,https://www.devexresources.com.au/,"Mossman Orogen, Hodgkinson Province",,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Siliciclastic-mafic zinc-lead"
334430,Kayuga,Dartbrook,NSW,150.8386,-32.2008,999,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Sydney Basin,,
334432,Highway (also known as Menzies),Menzies,WA,121.0775,-29.833,100,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Menzies project,http://www.goldenstate.com.au,Yilgarn Craton,,
334433,Swift - Mount Martin,South Kalgoorlie Operations,WA,121.6786,-31.0187,500,mineral deposit,Au,,Gold,"Alacer Gold Corporation, Northern Star Resources Limited","http://www.alacergold.com/, http://www.nsrltd.com/",Yilgarn Craton,Archean,
334434,Siberia Tank,,WA,120.9706,-30.255,100,mineral deposit,"Ni, Co",,"Nickel, Cobalt","Heron Resources Limited, Impress Energy  Limited","http://www.iel.com.au/, https://www.heronresources.com.au/",Yilgarn Craton,,
334437,Ginkgo,,NSW,142.226,-33.3644,1000,closed,"Zrn, Rt, Ilm, Ti","Leu, HM","Zircon, Rutile, Ilmenite, (Leucoxene, Titanium, Heavy minerals)",Tronox Limited,http://www.tronox.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334438,Tasman,O'Donnell,NSW,151.54,-32.8868,500,care and maintenance,Cbl,,Coal - black,"Ellemby Resources, Yancoal Australia Limited","http://www.ellemby.com, http://www.yancoal.com.au/",Sydney Basin,,
334439,Crayfish,,NSW,142.347,-33.4084,250,operating mine,"Rt, Zrn, Ilm, Leu",,"Rutile, Zircon, Ilmenite, Leucoxene",Tronox Limited,http://www.tronox.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334441,Mount Thorley,,NSW,151.1086,-32.6374,2000,operating mine,Cbl,,Coal - black,"POSCO, Yancoal Australia Limited, Rio Tinto Limited","http://www.posco.com/homepage/docs/eng5/jsp/s91a0000001i.jsp, http://www.yancoal.com.au/, http://www.riotinto.com.au/",Sydney Basin,,
334442,Waihi (Carnegie),Davyhurst Project,WA,120.6351,-30.0394,500,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited","http://www.orabandamining.com.au, http://www.swangoldmining.com.au/",Yilgarn Craton,Archean,
334444,Kerrigan,,WA,118.8314,-32.6606,250,mineral deposit,Kln,,Kaolin,Altech Chemicals Ltd,http://www.altechchemicals.com,Yilgarn Craton,,
334445,Blair,Golden Ridge,WA,121.7167,-30.9106,250,historic mine,"Ni, PGE","Co, Cu","Nickel, (Cobalt, Platinum group elements, Copper)","Develop Global Ltd, Private Interest",https://develop.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
334448,Second Fortune,Linden Project,WA,122.4358,-29.3761,500,historic mine,Au,,Gold,Brightstar Resources Ltd,https://www.brightstarresources.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
334449,Sandalwood North,,WA,115.8625,-33.1874,999,historic mine,"Ilm, Zrn, Leu, Rt",,"Ilmenite, Zircon, Leucoxene, Rutile",Cable Sands (WA) Pty Ltd,http://www.cablesands.com.au,,,
334450,Flynn 2,,VIC,146.61,-38.22,999,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,http://www.dpi.vic.gov.au,Gippsland Basin,Cenozoic,
334451,North Dandalup (MZI),,WA,115.9489,-32.5833,100,mineral deposit,"Ilm, Zrn, Rt, Leu",,"Ilmenite, Zircon, Rutile, Leucoxene",Olympia Resources Limited,http://www.olympiaresources.com,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334457,Toweranna,,WA,117.8791,-20.9775,999,mineral deposit,Au,,Gold,"De Grey Mining Limited, Range River Gold Limited","http://www.degreymining.com.au/, http://www.rangerivergold.com.au/",Pilbara Craton,Archean,
334460,Argyle,AK1,WA,128.3839,-16.7116,100,closed,Dmd,,Diamond - undifferentiated,Rio Tinto Limited,http://www.riotinto.com.au/,"Halls Creek Orogen, Carr Boyd Basin",Mesoproterozoic,"Environment: Magmatic, Group: Kimberlite, Type: Kimberlite diamond"
334461,Sandstone North,Sandstone Project,WA,119.3031,-27.9287,500,historic mine,Au,,Gold,Aurumin Limited,https://aurumin.com.au/,"Yilgarn Craton, Southern Cross Province",Archean,
334464,Mount Windarra (Poseidon),Windarra,WA,122.233,-28.4852,50,care and maintenance,"Ni, PGE, Pd, Pt","Cu, Co","Nickel, Platinum group elements, Palladium, Platinum, (Copper, Cobalt)",Poseidon Nickel Limited,http://www.poseidon-nickel.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Windarra Nickel Metallogenic Province",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
334468,Eastern Range (Rio),Paraburdoo Eastern Range,WA,117.6572,-23.241,100,operating mine,"Fe, FeOre",,"Iron, Iron ore","Rio Tinto Limited, HIsmelt","http://www.riotinto.com.au/, http://www.hismelt.com.au",Hamersley Basin,Archean,
334469,Andover,"Carlow Castle, Mt Hall",WA,117.0806,-20.8501,100,mineral deposit,"Ti, V",,"Titanium, Vanadium",Australasian Resources Ltd,http://www.austresources.com.au,"Pilbara Craton, Andover Nickel Province",Archean,"Environment: Magmatic, Group: Ultramafic and (or) mafic-layered intrusion, Type: U-M layered intrusion nickel-copper-PGE"
334470,Tallering Peak (Mount Gibson),"T1, T3, T4, T5, T6",WA,115.622,-28.1113,100,closed,FeOre,Fe,"Iron ore, (Iron)",Mt Gibson Ltd,http://www.mtgibsoniron.com.au/,"Yilgarn Craton, Murchison Domain",Archean,
334471,Great Pyramid,,TAS,148.1921,-41.421,100,historic mine,Sn,,Tin,TinOne Resources Ltd,,Lachlan Orogen,,"Environment: Magmatic hydrothermal, Group: Vein, Type: Vein tin polymetallic"
334472,Wodgina,"Mt Cassiterite, Mt Francisco, Strelley",WA,118.6764,-21.1746,100,operating mine,"Li2O, Ta2O5, SnO2, Nb, GS, Ta, Li, Sn",,"Lithium oxide, Tantalum pentoxide, Tin oxide/cassiterite, Niobium, Gemstones, Tantalum, Lithium, Tin","Mineral Resources, Albemarle Corporation","http://www.mineralresources.com.au/mrl-mining/lithium.html, http://www.albemarle.com/",Pilbara Craton,Archean,"Environment: Magmatic, Group: Pegmatite, Type: LCT pegmatite"
334476,The Granites,"Bullakitchie, Bunkers Hill, Ivy, Quorn, Shoe, Tanami Project",NT,130.31,-20.5372,500,mineral deposit,Au,,Gold,Newmont Mining Corporation,http://www.newmont.com/,"Tanami Orogen, Callie, The Granites-Tanami Block",Paleoproterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Hypozonal orogenic gold"
334478,Silver Spur,Twin Hills Project,QLD,151.2735,-28.8637,999,historic mine,"Zn, Ag, Au, Cu, Pb",,"Zinc, Silver, Gold, Copper, Lead","Alcyone Resources Limited, Thomson Resources Ltd","http://www.alcyone.com.au/, http://www.thomsonresources.com.au","New England Orogen, Woolomin Province",,"Environment: Magmatic hydrothermal, Group: Epithermal, Type: Low-sulfidation (LS) epithermal gold-silver"
334482,Tallebung,Mt Tallebung,NSW,146.5807,-32.7381,250,historic mine,"Sn, WO3",,"Tin, Tungsten trioxide (wolframite)",Sky Metals Ltd,https://www.skymetals.com.au,"Lachlan Orogen, Lachlan Orogen",Cenozoic,"Environment: Magmatic hydrothermal, Group: Vein, Type: Vein tin polymetallic"
334483,Ardmore,,QLD,139.17,-21.647,2000,operating mine,Phos,"P2O5, P","Phosphate, (Phosphorus oxide, Phosphorus)",Centrex Metals Limited,http://centrexmetals.com.au/,Georgina Basin,,"Environment: Basin chemical, Group: Phosphorite, Type: Phosphorite"
334492,East Wintinna,,SA,135.1,-27.8304,1000,mineral deposit,Cbl,,Coal - black,"Altona Energy Plc, SAPEX Ltd","http://www.altonaenergy.com/, http://www.sapex.com.au",Arckaringa Basin,,
334493,Silver Swan (Poseidon Nickel),includes Cygnet,WA,121.643,-30.3907,1000,historic mine,Ni,,Nickel,"Norilsk Nickel, Poseidon Nickel Limited","http://www.nornik.com.au/, http://www.poseidon-nickel.com.au/","Yilgarn Craton, Kambalda Nickel Metallogenic Province",Archean,
334495,Erlistoun,Duketon Gold Project,WA,122.339,-27.9704,500,operating mine,Au,,Gold,Regis Resources Limited,http://www.regisresources.com/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
334498,Yam Creek,,NT,131.5493,-13.4937,999,mineral deposit,Au,,Gold,Northern Gold,http://www.northerngold.com.au,Pine Creek Orogen,,
334499,Starlight - Fortnum,Grosvenor Gold Project,WA,118.3585,-25.3219,500,operating mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL","http://www.westgold.com.au/, http://rninl.com.au/",Yilgarn Craton,Archean,
334501,Vulcan,,QLD,140.5488,-21.0491,999,mineral deposit,"Cu, Co",,"Copper, Cobalt",Fetch Metals,,Mount Isa Orogen,Proterozoic,
334504,Kapok,,WA,126.0073,-18.7291,10,historic mine,"Zn, Pb",,"Zinc, Lead","Meridian Minerals Ltd, Teck Cominco Ltd","http://www.meridianminerals.com.au/, http://www.teckcominco.com",Lennard Shelf,Paleozoic,"Environment: Basin hydrothermal, Group: Mississippi Valley-type (MVT), Type: MVT zinc-lead"
334505,Curragh,includes Curragh West,QLD,148.8541,-23.4662,50,operating mine,Cbl,,Coal - black,Coronado Global Resources,https://coronadoglobal.com.au/,Bowen Basin,,
