ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
335010,White Devil,Eldorado,NT,133.9023,-19.486,2000,historic mine,"Au, Se, Bi, Cu",,"Gold, Selenium, Bismuth, Copper",Emmerson Resources Limited,http://www.emmersonresources.com.au/,"Tennant Creek Block, Warramunga Province",Paleoproterozoic,"Environment: Regional metasomatic, Group: IOCG, Type: Magnetite-dominant IOCG"
335014,Kapunda,,SA,138.9183,-34.3515,100,historic mine,Cu,,Copper,Terramin Australia Limited,http://www.terramin.com.au/,Delamerian Orogen,Proterozoic,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Sediment-hosted copper ± Co"
335016,Morning Star - Woods Point,Woods Point Gold Project,VIC,146.2456,-37.5686,500,operating mine,Au,,Gold,Morning Star Gold NL,http://www.msgold.com.au/,"Lachlan Orogen, Lachlan Orogen, Bendigo Zone, Walhalla-Wood's Point Gold Metallogenic Province",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335017,Fosterville,Fosterville Project,VIC,144.5036,-36.7163,999,operating mine,Au,,Gold,Agnico Eagle Mines Ltd,https://www.agnicoeagle.com/Home/default.aspx,"Lachlan Orogen, Lachlan Orogen, Bendigo Gold Metallogenic Province, Bendigo Zone",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335018,Manindi,"Freddie Well, Pincher Well",WA,118.6788,-28.7471,250,mineral deposit,"Zn, Cu, Au",Ag,"Zinc, Copper, Gold, (Silver)","Metals Australia Ltd, Pan Pacific Petroleum NL","http://www.metalsaustralia.com.au, http://www.panpacpetroleum.com.au","Yilgarn Craton, Freddie Well, Southern Cross Province, Murchison Domain (Youanmi Terrane)",Archean,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal-mafic VMS"
335020,Mount Rove,,WA,120.7985,-22.0404,100,mineral deposit,Fe,,Iron,Fortescue Metals Group Limited,http://www.fmgl.com.au/,Hamersley Basin,Archean,
335024,Yeoval,Goodrich,NSW,148.642,-32.7299,999,historic mine,"Cu, Ag, Mo, Au",,"Copper, Silver, Molybdenum, Gold",Godolphin Resources Ltd,https://godolphinresources.com.au/,"Lachlan Orogen, Lachlan Orogen, Cadia Porphyry Copper Gold Metallogenic Province",,"Environment: Magmatic hydrothermal, Group: Porphyry, Type: Porphyry copper ± gold"
335025,Bulga,"Beltana, Saxonvale, South Bulga",NSW,151.11,-32.6868,500,operating mine,Cbl,,Coal - black,Glencore Plc,http://www.glencore.com/,Sydney Basin,,
335026,Nepean,,WA,121.0857,-31.1637,100,historic mine,"Ni, Co, PGE, Cu",,"Nickel, Cobalt, Platinum group elements, Copper",Rocktivity Pty Ltd,https://rocktivity.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
335028,Nil Desperandum,"Greater Duchess Project, Nil Desperamdum 2, Nil Desperandum 3",QLD,139.779,-21.28,2000,mineral deposit,"Au, Cu",,"Gold, Copper","Latitude 66 Ltd, Carnaby Resources Ltd","https://lat66.com/, https://carnabyresources.com.au/","Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,
335030,Leigh Creek,"Copley Basin (Lobe A&E), North Field (Lobe C&D), Telford Basin (Lobe B)",SA,138.4166,-30.4804,2000,historic mine,Cbl,,Coal - black,Leigh Creek Energy Ltd,http://www.lcke.com.au/,Leigh Creek Basin,,
335032,Kaiser Bill,,QLD,144.0354,-18.5282,500,mineral deposit,Cu,"Ag, Au","Copper, (Silver, Gold)",Copper Strike Limited,http://www.copperstrike.com.au,"Etheridge Province, Georgetown Block",Proterozoic,"Environment: Regional metasomatic, Group: IOCG, Type: Magnetite-dominant IOCG"
335033,Mount McClure Group,Bronzewing Gold Project,WA,120.9666,-27.5678,2000,operating mine,Au,,Gold,Yandal Resources Limited,https://www.yandalresources.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Terrane",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335034,Hazelwood Mine,"Morwell, South East Field, West Field",VIC,146.391,-38.269,2000,historic mine,Cbr,,Coal - brown,"Energy Brix Australia Corporation, Hazelwood Power Corporation","http://www.ebac.com.au, http://www.hazelwoodpower.com.au",Gippsland Basin,Cenozoic,
335035,Cornishman,"Southern Cross Operations; Double 'O', Triple 'O'",WA,119.3613,-31.2785,500,closed,Au,,Gold,"Shandong Tianye Real Estate, China Hanking Holdings Limited","http://www.sdtianye.com, http://www.hankingmining.com/?lang=en","Yilgarn Craton, Bounty Gold Metallogenic Province, Eastern Goldfields Province, Southern Cross Province",Archean,
335036,Birthday Gift,Twelve Mile,NSW,142.9037,-33.4838,1000,mineral deposit,"Zrn, Rt, Ilm","Mnsd, Leu","Zircon, Rutile, Ilmenite, (Mineral sands, Leucoxene)",Tronox Limited,http://www.tronox.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
335037,Giffen Well,,SA,134.7611,-30.3056,1000,mineral deposit,Fe,,Iron,Maosen Australia Pty Ltd,,Gawler Craton,Paleoproterozoic,"Environment: Basin chemical, Group: Iron formation, Type: Superior-type banded iron formation"
335039,Bootu Creek,"Chugga, Gogo, Shekuma, Tourag, Xhosa",NT,134.1258,-18.6998,100,care and maintenance,MnOre,Mn,"Manganese ore, (Manganese)",OM Holdings Limited,http://www.omholdingsltd.com/,Tomkinson Province,,"Environment: Basin chemical, Group: Manganese, Type: Sedimentary manganese"
335041,Eclipse - Garden Well,Chatterbox Shear Project,WA,122.3261,-28.64,500,mineral deposit,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
335042,Koonenberry,"Grasmere, Peveril",NSW,142.7139,-31.2998,999,mineral deposit,"Cu, Au","Zn, Ag","Copper, (Zinc, Gold, Silver)","Ausmon Resources Limited, Black Range Minerals Ltd","http://www.ausmonresources.com.au/, http://www.blackrangeminerals.com/",Delamerian Orogen,Proterozoic,
335043,Beyondie,,WA,120.5527,-23.1174,999,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",Element 25 Limited,https://www.element25.com.au,,,
335047,Elimatta,,QLD,149.6094,-26.0453,250,mineral deposit,Cbl,,Coal - black,New Hope Coal,http://www.newhopegroup.com.au/,Surat Basin,Mesozoic,
335048,White Hope,South Kalgoorlie Operations,WA,121.6406,-31.0834,500,mineral deposit,Au,,Gold,"Alacer Gold Corporation, Metals X Limited, Northern Star Resources Limited","http://www.alacergold.com/, http://www.metalsx.com.au/, http://www.nsrltd.com/",Yilgarn Craton,Archean,
335049,Royal Arthur Bore,Leonora Operations,WA,121.1139,-28.4353,500,mineral deposit,Au,,Gold,St Barbara Limited,http://www.stbarbara.com.au/,Yilgarn Craton,Archean,
335050,Dubbo Project,"DZP, Dubbo, Dubbo Zirconia, Toongi",NSW,148.6246,-32.4627,1000,under development,"REO, Zrn, Y2O3, ZrO2, Ta2O5, Nb2O5, HfO2, Hf, U3O8, Nb, Ta","U, Y","Rare earth oxides, Zircon, (Uranium, Yttrium oxide, Zirconia, Tantalum pentoxide, Niobium pentoxide, Hafnium oxide, Hafnium, Uranium oxide, Niobium, Tantalum, Yttrium)",Australian Strategic Materials Ltd,https://asm-au.com/,"Lachlan Orogen, Dubbo alkaline province",Paleozoic,"Environment: Magmatic, Group: Peralkaline igneous, Type: Peralkaline igneous HFSE-REE"
335052,Pony Plains,,QLD,149.2711,-26.0786,250,mineral deposit,Cbl,,Coal - black,Glencore Plc,http://www.glencore.com/,Surat Basin,Mesozoic,
335054,Moonlight - Wiluna,Wiluna Project,WA,120.2381,-26.6112,500,historic mine,Au,,Gold,"Apex Minerals NL, Blackham Resources Limited","http://apexminerals.com.au/, http://www.blackhamresources.com.au/",Yilgarn Craton,Archean,
335055,Wim 200 (Jackson EL4432),Jackson,VIC,142.6462,-36.6679,100,mineral deposit,"Ilm, Rt, Zrn",,"Ilmenite, Rutile, Zircon",Astron Corporation Limited,https://www.astronlimited.com.au/,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
335057,Duralie,"Gloucester, Wards River",NSW,151.9491,-32.2914,999,closed,Cbl,,Coal - black,Yancoal Australia Limited,http://www.yancoal.com.au/,Gloucester Basin,,
335059,Great Britain,,QLD,146.2312,-20.0571,100,mineral deposit,Au,,Gold,Maroon Gold Pty Ltd,,,Paleozoic,
335060,Mls119-133,"Central Tanami Project, Tanami Mine JV",NT,129.7088,-19.9725,999,historic mine,Au,,Gold,"Acacia Resources Limited, Otter Gold Mines Limited",,,Paleoproterozoic,
335064,Ridges,"Argyle, Matsu, Pompeys Pillar, Sam, Tony",WA,128.2624,-16.6304,100,operating mine,FeOre,Fe,"Iron ore, (Iron)",Kimberley Metals Group,http://www.kmetgroup.com,,,
335066,Mount Olympus,Ashburton Gold Project,WA,117.9,-23.432,500,historic mine,"Au, Cu",,"Gold, Copper","Northern Star Resources Limited, Sipa Resources Ltd","http://www.nsrltd.com/, http://www.sipa.com.au",Ashburton Basin,Paleoproterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335069,MLS153,"Bouncer, Bumper, Central Tanami Project, Hurricane, Miracle, Repulse",NT,129.7166,-19.9613,500,mineral deposit,Au,,Gold,Tanami Gold NL,http://www.tanami.com.au/,Tanami Orogen,Proterozoic,"Environment: unknown, Group: unknown, Type: unknown"
335071,Lindsays - Coolgardie,Lindsays-Bayleys Project,WA,121.1716,-30.9425,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,Yilgarn Craton,Archean,
335075,Springvale,Lamberts Gully,NSW,150.1056,-33.4006,500,operating mine,Cbl,,Coal - black,Banpu Public Company Limited,http://www.banpu.com/en_index.php,Sydney Basin,,
335077,Barambah,,QLD,151.7773,-25.7484,500,mineral deposit,"Ag, Au",,"Silver, Gold",ActivEX Limited,http://www.activex.com.au/asx-2015.php,,,
335079,Oroya,,WA,119.3111,-27.9878,100,mineral deposit,Au,,Gold,Aurumin Limited,https://aurumin.com.au/,Yilgarn Craton,Archean,
335081,Mount Paynter,,NSW,147.6301,-35.9004,1000,mineral deposit,"Sn, Au, As, W",,"Tin, Gold, Arsenic, Tungsten","Silver Metal Group, Private Interest",,Lachlan Orogen,,
335082,Cockatoo Island Iron Ore,,WA,123.6071,-16.095,999,care and maintenance,"FeOre, Fe",,"Iron ore, Iron","Cockatoo Island Mining Pty Ltd, Cliffs Natural Resources, Cockatoo Iron NL, Pluton Resources","http://www.cliffsnaturalresources.com, http://www.plutonresources.com",Kimberley Basin,Proterozoic,
335083,Titan,,VIC,142.4132,-34.969,999,mineral deposit,"Rt, Zrn, Ilm",Leu,"Rutile, Zircon, Ilmenite, (Leucoxene)",Tronox Limited,http://www.tronox.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
335086,Yan Yan Gurt,,VIC,143.9,-38.35,999,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,http://www.dpi.vic.gov.au,Otway Basin,Cenozoic,
335087,Maureen,Georgetown,QLD,143.427,-18.003,2000,mineral deposit,"U, Mo, F, Fl, U3O8",,"Uranium, Molybdenum, Fluorine, Fluorite, Uranium oxide",Mega Uranium Limited,http://www.megauranium.com/,"Etheridge Province, Georgetown Block",,"Environment: Magmatic hydrothermal, Group: Epithermal, Type: Epithermal uranium"
335089,Lake Vermont,Vermont,QLD,148.4152,-22.4556,2000,operating mine,Cbl,,Coal - black,"AMCI Inc, Sojitz Corporation, Anglo American Plc, Zashvin Pty. Ltd., Marubeni Corporation, Jellinbah Group Pty Ltd, Lake Vermont Coal","http://amcigroup.com/, http://www.sojitz.com/en, http://australia.angloamerican.com/, http://www.marubeni.com, http://www.jellinbah.com.au/, http://www.lakevermontcoal.com.au",Bowen Basin,,
335091,Apollo - Whisper,Chatterbox Shear Project,WA,122.3196,-28.6512,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
335092,Morambah,see Poitrel,QLD,148.1705,-21.9454,999,mineral deposit,Cbl,,Coal - black,BMA,http://www.bmacoal.com,Bowen Basin,,
335093,Norris - Coolgardie,Norris Project,WA,121.052,-31.0582,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
335095,Foxleigh South,,QLD,148.82,-23.01,999,mineral deposit,Cbl,,Coal - black,Anglo American Plc,http://australia.angloamerican.com/,Bowen Basin,,
335096,Toms and Sams - Fortnum,Grosvenor Gold Project,WA,118.3643,-25.3283,500,historic mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL","http://www.westgold.com.au/, http://rninl.com.au/",Yilgarn Craton,Proterozoic,
