ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
333934,Emily Ann,,WA,120.4823,-32.1997,historic mine,"Ni, Co",,"Nickel, Cobalt","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited","Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,,,West Australian Element
333935,M1,South Murchison,WA,116.937,-28.8276,historic mine,"Au, Ag",,"Gold, Silver","Minjar Gold Pty Ltd, Warriedar Resources",Yilgarn Craton,,,,,,,West Australian Element
333940,Peyes Farm Dam (Jacques - Peyes),Binduli North Project,WA,121.3858,-30.6971,mineral deposit,Au,,Gold,Horizon Minerals Ltd.,Yilgarn Craton,Archean,,,,,,West Australian Element
333942,Windermere,,QLD,145.3128,-17.5644,historic mine,Sn,Fe,"Tin, (Iron)",Consolidated Tin Mines,"Mossman Orogen, Hodgkinson Province",,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,,,Mossman Orogen
333947,Farleys Deposit,Fosterville Project,VIC,144.5113,-36.673,historic mine,Au,,Gold,"Newmarket Gold Inc, AuRico Gold Corporporation, Crocodile Gold Corporation",Lachlan Orogen,,,,,,,Bendigo Zone
333948,Ben Hur Panel 3,Binduli Project,WA,121.4138,-30.8593,historic mine,Au,,Gold,Norton Gold Fields Limited,Yilgarn Craton,Archean,,,,,Roe Paleovalley,West Australian Element
333950,Ivanhoe North,Ivanhoe No2,NSW,150.01,-33.3569,historic mine,Cbl,,Coal - black,"Banpu Public Company Limited, Centennial Coal Co Ltd",Sydney Basin,,,,,,Sydney Basin,Eastern Province
333951,Howley Ridge,Burnside Project,NT,131.3209,-13.4659,mineral deposit,Au,,Gold,Crocodile Gold Corporation,Pine Creek Orogen,Paleoproterozoic,,,,,,Pine Creek Orogen
333953,Lake Lindsay,Girrah,QLD,148.7596,-23.044,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,Bowen Basin,,,,,,Bowen Basin,Anakie Province
333954,South Emu Feather,Gidgee Project,WA,119.4177,-27.2506,historic mine,Au,,Gold,Panoramic Resources Limited,Yilgarn Craton,Archean,,,,,Raeside Paleovalley,West Australian Element
