ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
455560,Stone Hut Well,,SA,138.3644,-30.487,historic mine,Mn,,Manganese,,Delamerian Orogen,,,,,,,South Australian Element
334688,Lee Creek,,QLD,145.3011,-15.2285,historic mine,"Sn, SnO2",,"Tin, Tin oxide/cassiterite",,Mossman Orogen,,,,,,,Mossman Orogen
333669,Inverell-Glen Innes,"Copes Creek, Frazers Creek, Horses Gully, Kings Plains Creek, Reddestone Creek",NSW,151.7277,-29.6104,operating mine,Cors,,Corundum - sapphire,,New England Orogen,Cenozoic,,,,,,New England Orogen
335223,King Solomon 1,"King Solomon 2, King Solomon 3, King Solomon North, King Solomon South",QLD,139.8112,-20.6956,historic mine,Cu,,Copper,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
334826,Echunga,Old Echunga,SA,138.7745,-35.0794,historic mine,Au,,Gold,,"Delamerian Orogen, Waukaringa",Cenozoic,Metamorphic hydrothermal,Orogenic,,,,South Australian Element
333597,Brolga,Yabulu,QLD,150.3,-23.0302,historic mine,"Ni, Fe, Co",,"Nickel, Iron, Cobalt",,New England Orogen,Cenozoic,,,,,,New England Orogen
333395,Mount Cobalt,,QLD,140.491,-21.736,historic mine,"Co, Ni",,"Cobalt, Nickel",,"Mount Isa Orogen, Cloncurry-Selwyn Zone",Proterozoic,Regional metasomatic,Metasomatic iron,Iron sulfide polymetallic,,,Kuridala-Selwyn Domain
334330,Ballarat East - Tower Hill,,VIC,143.8575,-37.6137,historic mine,Au,,Gold,,Lachlan Orogen,,,,,,,Bendigo Zone
334864,Michelago,,NSW,149.2095,-35.6773,mineral deposit,Fe,,Iron,,Lachlan Orogen,,,,,,,Eastern Province
334879,Hakes Find,,WA,119.3595,-31.317,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,Deborah Paleovalley,West Australian Element
920588,Cashman's Find,,,118.6194,-25.9673,historic mine,Au,,Gold,,,,,,,Warakurna Large Igneous Province,Bryah Basin,West Australian Element
334752,Woolondonga,Wollondonga,QLD,140.0532,-20.6846,historic mine,"Au, Cu",,"Gold, Copper",,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,,,,,,Mary Kathleen Domain
335080,Cape York,,QLD,142.4524,-10.7536,historic mine,Sn,,Tin,,,,,,,,,Cape York - Oriomo Province
364445,Tripitaka,,SA,132.8047,-31.5451,mineral deposit,"Leu, Ilm, Rt, Zrn",,"Leucoxene, Ilmenite, Rutile, Zircon",,,,,,,,Eucla Basin,South Australian Element
335303,Australian Margaret,,QLD,140.5262,-20.6316,historic mine,Cu,,Copper,,"Mount Isa Orogen, Quamby-Malbon Zone",Proterozoic,,,,,,Canobie Domain
440177,Carnage,,WA,120.9364,-30.3807,historic mine,Au,,Gold,,Yilgarn Craton,,,,,,Roe Paleovalley,West Australian Element
335927,Ban Ban,,QLD,151.9711,-25.7784,mineral deposit,"Zn, Cu, Pb, Ag, Au",,"Zinc, Copper, Lead, Silver, Gold",,"New England Orogen, Gympie Province",,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,,,New England Orogen
335365,Corkwood,,WA,128.1877,-17.295,mineral deposit,"Ni, Co, Cu",,"Nickel, Cobalt, Copper",,,Proterozoic,Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion iron-titanium-vanadium,Kalkarindji Igneous Province,,Halls Creek Orogen
335867,Mirboo North,,VIC,146.1513,-38.3955,mineral deposit,Fe,,Iron,,Lachlan Orogen,,,,,,Selwyn Province,Melbourne-Mathinna Zone
334735,Catherine,Catherine Reef United,VIC,147.5239,-36.8375,historic mine,Au,,Gold,,"Lachlan Orogen, Lachlan Orogen, Bendigo Gold Metallogenic Province",,,,,,,Central NSW - Omeo Province
333508,Queen Elizabeth,Patsy Lorraine,QLD,139.8362,-20.2196,historic mine,Cu,,Copper,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Kalkadoon-Leichhardt Domain
533403,Jungle Well,,WA,120.999,-28.4085,historic mine,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
334046,Waterhouse Range,,NT,130.9679,-13.1624,mineral deposit,Fe,,Iron,,,,,,,,,Pine Creek Orogen
333465,White Dam - Katanning,Katanning Project,WA,117.9037,-33.5418,mineral deposit,Au,,Gold,,Yilgarn Craton,Archean,,,,,,West Australian Element
333361,Manchester Reef,,VIC,142.7693,-37.0485,mineral deposit,Au,,Gold,,Lachlan Orogen,,,,,,,Stawell Zone
334229,Fingerpost Hill,,SA,133.5066,-30.2868,mineral deposit,Fe,,Iron,,Gawler Craton,,,,,,,Christie Domain
449175,Yerilla King,,WA,121.8234,-29.4803,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
455548,Ketchowla Well,,SA,139.1955,-33.3073,historic mine,Mn,,Manganese,,Delamerian Orogen,,,,,,,South Australian Element
334465,Narlarla,,WA,124.7305,-17.257,historic mine,"Pb, Ag, Zn",,"Lead, Silver, Zinc",,"Canning Basin, Lennard Shelf",Paleozoic,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,Kalkarindji Igneous Province,Canning Basin,King Leopold Orogen
599434,Gippsland Deep,East Gippsland,VIC,147.0598,-38.3111,mineral deposit,Cbr,,Coal - brown,,Gippsland Basin,,,,,,Gippsland Basin,Melbourne-Mathinna Zone
449185,Bernards,,WA,122.1674,-29.1765,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
878147,Kingsley,,,117.7608,-25.5799,mineral deposit,Au,,Gold,,,,,,,Warakurna Large Igneous Province,Bryah Basin,West Australian Element
335724,Mount Perry (Fe),,QLD,151.631,-25.1653,mineral deposit,Fe,,Iron,,New England Orogen,,,,,,,New England Orogen
550645,Yandicoogina South,,WA,119.2087,-22.812,mineral deposit,"FeOre, Fe",,"Iron ore, Iron",,Pilbara Craton,,,,,Warakurna Large Igneous Province,Yandicoogina Paleovalley,Pilbara Craton
334872,Fieldings Gully,,WA,119.7622,-21.3024,mineral deposit,Au,,Gold,,Pilbara Craton,,,,,Warakurna Large Igneous Province,,Pilbara Craton
335773,Wallaroo,,QLD,139.9482,-20.9186,historic mine,"Au, Cu",,"Gold, Copper",,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
335273,Woodlands,Ensor prospect,WA,115.0081,-33.7891,mineral deposit,"Zrn, Rt, Mnz, Leu, Ilm",,"Zircon, Rutile, Monazite, Leucoxene, Ilmenite",,,,,,,,,Leeuwin Province
334807,Mariners,,VIC,143.6156,-36.4563,historic mine,Au,,Gold,,Lachlan Orogen,Paleozoic,,,,,,Bendigo Zone
335705,Kangaroo Creek,,QLD,144.0336,-17.5177,historic mine,"Sn, SnO2",,"Tin, Tin oxide/cassiterite",,,,,,,,Etheridge Province,North Australian Element
335247,Wallarah,,NSW,151.6122,-33.1355,closed,Cbl,,Coal - black,,Sydney Basin,,,,,,Sydney Basin,Eastern Province
334083,Elgalla,,QLD,150.7198,-23.3533,historic mine,Cr,,Chromium,,New England Orogen,,,,,,,New England Orogen
334742,Giles,Giles Mini,WA,119.1928,-23.2796,mineral deposit,Fe,,Iron,,Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Fortescue Basin,Pilbara Craton
335939,Glassford Creek,,QLD,151.3402,-24.4817,historic mine,"Cu, Ag, Au",,"Copper, Silver, Gold",,New England Orogen,,,,,,,Yarrol Province
335088,Tuena,,NSW,149.329,-34.0679,historic mine,"Pb, Zn, Au, Cu, Ag",,"Lead, Zinc, Gold, Copper, Silver",,"Lachlan Orogen, Hill End, Hill End Trough",,Metamorphic hydrothermal,Orogenic,,,,Eastern Province
333835,Hermidale,,NSW,146.7013,-31.4284,mineral deposit,Cu,,Copper,,Lachlan Orogen,Paleozoic,,,,,,Central NSW - Omeo Province
334822,Parallel Ridge,,WA,118.6828,-23.0082,mineral deposit,Fe,,Iron,,Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
334415,Moolyella,,WA,119.9228,-21.1671,mineral deposit,"Sn, Ta2O5, Ta",,"Tin, Tantalum pentoxide, Tantalum",,Pilbara Craton,,Magmatic,Pegmatite,LCT pegmatite,,,Pilbara Craton
531529,Bills Find,,WA,120.9443,-26.9359,historic mine,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
636113,Duck Hill,,WA,122.2769,-29.5152,mineral deposit,Mgs,,Magnesite,,,,,,,,Raeside Paleovalley,West Australian Element
364306,Greenmount,,WA,119.3148,-31.2896,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
333695,Paynes Find,Goodingnow,WA,117.6918,-29.2537,historic mine,Au,,Gold,,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Southern Cross Province",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
334835,Howick,,NSW,150.9597,-32.4205,closed,Cbl,,Coal - black,,Sydney Basin,,,,,,Sydney Basin,Eastern Province
364303,Triad,,WA,119.4453,-31.3643,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
455561,Larrads Hill,,QLD,143.1883,-12.4964,mineral deposit,Mn,,Manganese,,,,,,,,,Iron Range Province
334328,Brookes Bore,,SA,140.9176,-32.9875,mineral deposit,"Ilm, Rt, Zrn, Xen",,"Ilmenite, Rutile, Zircon, Xenotime",,Murray Basin,,Erosional,Placer,Heavy mineral sands,,Murray Basin,Delamerian Orogen
333650,Ironclad,,QLD,145.3292,-17.3799,mineral deposit,"Sn, Cu, Ag",,"Tin, Copper, Silver",,Mossman Orogen,,,,,,,Mossman Orogen
336289,South Clunes,,VIC,143.7798,-37.2973,historic mine,Au,,Gold,,Lachlan Orogen,Paleozoic,,,,,,Bendigo Zone
334594,Crusade,,NT,130.0747,-19.0747,mineral deposit,Au,,Gold,,Tanami Orogen,,,,,Kalkarindji Igneous Province,,Tanami Orogen
333887,Mount Molloy,,QLD,145.3343,-16.7009,historic mine,Cu,,Copper,,Hodgkinson Province,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,,,Mossman Orogen
333350,New Dam North,,NSW,141.1791,-33.0318,mineral deposit,"Zrn, Rt","Ilm, Leu","Zircon, (Ilmenite, Rutile, Leucoxene)",,Murray Basin,,,,,,Murray Basin,Delamerian Orogen
333535,Running Creek,,QLD,145.9681,-19.2784,historic mine,"Sn, SnO2",,"Tin, Tin oxide/cassiterite",,,,,,,,,Charters Towers Province
335979,Mount Garnet Area,,QLD,145.4538,-17.6944,historic mine,"Sn, W",,"Tin, Tungsten",,Mossman Orogen,,,,,,,Mossman Orogen
599889,Monty,SPRINGFIELD,WA,119.4344,-25.5595,care and maintenance,"Cu, Au",,"Copper, Gold",,,,,,,Warakurna Large Igneous Province,Yerrida Basin,West Australian Element
334517,Murrin Murrin East,,WA,121.867,-28.7793,mineral deposit,"Ni, Co",,"Nickel, Cobalt",,Yilgarn Craton,,,,,,,West Australian Element
334927,Leadville,,NSW,149.5371,-32.0169,historic mine,"Pb, Cu, Ag, Zn",,"Lead, Copper, Silver, Zinc",,"Lachlan Orogen, Lachlan Orogen, Hill End Trough",,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,,,Eastern Province
454424,Leichhardt Creek,,QLD,145.2309,-16.5907,mineral deposit,"Sn, SnO2",,"Tin, Tin oxide/cassiterite",,Mossman Orogen,,,,,,,Mossman Orogen
452734,3KEL,,NSW,146.422,-30.287,mineral deposit,Sn,,Tin,,Lachlan Orogen,,,,,,,Central NSW - Omeo Province
599490,Brother,,QLD,150.1494,-24.3212,mineral deposit,"Ag, Au",,"Silver, Gold",,,,,,,,Bowen Basin,Connors-Auburn Province
333893,IXL,,QLD,139.8872,-20.5966,historic mine,Cu,,Copper,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
333431,Lost World,,QLD,143.3892,-19.7763,mineral deposit,Au,U,"Gold, (Uranium)",,"Etheridge Province, Woolgar Metallogenic Province",Paleozoic,Magmatic hydrothermal,Epithermal,Low-sulfidation (LS) epithermal gold-silver,,Etheridge Province,North Australian Element
335685,Mount Norna,,QLD,140.5012,-20.6956,mineral deposit,"Ag, Cu",,"Silver, Copper",,Mount Isa Orogen,,,,,,,Canobie Domain
333711,Mount Olive,Mt Olive 3,QLD,139.8302,-20.4416,historic mine,"Au, Cu",,"Gold, Copper",,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
335928,Coramba-Orara,"Nana Creek, Orara",NSW,153.0395,-30.2064,historic mine,Au,,Gold,,"New England Orogen, Hillgrove Gold Metallogenic Province",,,,,,,New England Orogen
569366,Charley Creek (REO),,NT,132.9808,-23.4969,mineral deposit,"REO, Zrn","Xen, Mnz","Rare earth oxides, Zircon, (Xenotime, Monazite)",,Georgina Basin,,Erosional,Placer,Fluvial placer REE,Warakurna Large Igneous Province,,Aileron Province
361294,Lalla Rookh,,WA,119.2747,-21.0514,historic mine,Au,,Gold,,Pilbara Craton,,,,,,,Pilbara Craton
334847,Melba,,QLD,139.9172,-20.8476,historic mine,Cu,,Copper,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
861606,Wren,,,119.9523,-26.7227,mineral deposit,Au,,Gold,,,,,,,,,West Australian Element
435546,Frost,,WA,121.64,-30.0584,mineral deposit,"Ni, Co, Cu",,"Nickel, Cobalt, Copper",,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
334905,Cape River,,QLD,145.23,-20.347,historic mine,Au,,Gold,,"Charters Towers Gold Metallogenic Province, Lolworth-Ravenswood Block",,,,,,,Charters Towers Province
335178,Mount Chester,,WA,120.1448,-33.6054,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",,Southern Cross Province,,,,,,,Northern Foreland
334932,Timbarra-Poverty Point,"Poverty Point, Rocky River, Timbarra River",NSW,152.315,-29.1279,historic mine,Au,,Gold,,"New England Orogen, Timbarra",,Magmatic hydrothermal,Intrusion-related,Oxidized intrusion-related gold,,,New England Orogen
449203,Yandoo,,WA,122.1763,-29.1134,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
333987,Commonwealth,,NSW,149.0488,-32.5833,historic mine,"Pb, Ag, Cu, Au, Zn",,"Lead, Silver, Copper, Gold, Zinc",,"Lachlan Orogen, Lachlan Orogen, Woodlawn Base Metal Metallogenic Province, Hill End Trough",,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,,,Eastern Province
333885,Daintree,Carpenteria,QLD,144.4036,-18.9733,historic mine,"Cu, Ag, Au",,"Copper, Silver, Gold",,Georgetown Block,Mesoproterozoic,,,,,Etheridge Province,Tasman Element
333353,Youangarra,,WA,118.8068,-28.8354,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
627211,Farquhar,,WA,116.9131,-22.2679,mineral deposit,"FeOre, Fe",,"Iron ore, Iron",,,,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
336193,Minervah,,NSW,142.12,-33.39,mineral deposit,"Ilm, Rt, Zrn, Leu",,"Ilmenite, Rutile, Zircon, Leucoxene",,Murray Basin,,Erosional,Placer,Heavy mineral sands,,Berri Basin,Delamerian Orogen
336120,St Arnaud Goldfield,Saint Arnaud,VIC,143.2833,-36.6136,historic mine,Au,,Gold,,"Lachlan Orogen, Lachlan Orogen, Bendigo Gold Metallogenic Province",,,,,,,Stawell Zone
333725,Mount Coffin,,SA,138.5179,-30.5123,mineral deposit,Cu,,Copper,,Delamerian Orogen,Proterozoic,Basin hydrothermal,Sediment-hosted,Sediment-hosted copper ± Co,,,South Australian Element
334910,Overhang,,QLD,140.3904,-20.9855,historic mine,"Mn, Ni, Co",,"Manganese, Nickel, Cobalt",,"Mount Isa Orogen, Quamby-Malbon Zone",Proterozoic,,,,,,Marimo-Staveley Domain
334645,Big Stubby,,WA,119.7532,-21.2165,mineral deposit,"Pb, Cu, Ag, Zn",,"Lead, Copper, Silver, Zinc",,"Pilbara Craton, Lennons Find Base Metal Metallogenic Province",Archean,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,,,Pilbara Craton
335098,Meering West,,VIC,143.6667,-35.9167,mineral deposit,"Rt, Ilm, Zrn, Leu",,"Rutile, Ilmenite, Zircon, Leucoxene",,Murray Basin,,,,,,Murray Basin,Bendigo Zone
335511,North Reward,,QLD,146.1711,-20.3654,mineral deposit,"Au, Cu",,"Gold, Copper",,,Paleozoic,,,,,,Charters Towers Province
334511,Gulf,,NSW,151.4681,-29.2623,historic mine,"Sn, SnO2",,"Tin, Tin oxide/cassiterite",,New England Orogen,,unknown,unknown,unknown,,,New England Orogen
335099,Nimingarra,,WA,120.0158,-20.3954,historic mine,FeOre,Fe,"Iron ore, (Iron)",,Pilbara Craton,Archean,,,,,,Pilbara Craton
333797,Two Macs,,QLD,139.9892,-19.9156,historic mine,Cu,,Copper,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,,,,,,Mary Kathleen Domain
333867,Greenvale,Three Rivers,QLD,144.9338,-18.9612,historic mine,"Co, Ni",,"Cobalt, Nickel",,"Broken River Basin, Forsayth Subprovince",Cenozoic,,,,,,Thomson Orogen
335799,Rhodes,,NT,131.341,-13.3483,mineral deposit,Au,,Gold,,Pine Creek Orogen,,,,,,,Pine Creek Orogen
333694,Yoganup Group/Iluka,"Yoganup, Yoganup Extended, Yoganup North",WA,115.6201,-33.6419,mineral deposit,"Ilm, Zrn, Leu, Mnsd",,"Ilmenite, Zircon, Leucoxene, Mineral sands",,Perth Basin,,Erosional,Placer,Paleoplacer heavy mineral sands,,Bunbury Trough,Pinjarra Orogen
335788,Whitwarta,,SA,138.368,-34.079,mineral deposit,Cbr,,Coal - brown,,St Vincent Basin,,,,,,,South Australian Element
334337,Rutherfords Reward,,WA,118.7696,-31.3334,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
333864,Bardoc,,WA,121.2864,-30.3363,historic mine,Au,,Gold,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
334670,Pigeon Rocks,,WA,119.2681,-29.9129,mineral deposit,Fe,,Iron,,"Yilgarn Craton, Southern Cross Province",,,,,,,West Australian Element
335319,Naendip,,WA,119.6277,-34.0545,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",,,,,,,,,Northern Foreland
860629,Danluce,,,121.3722,-29.2023,mineral deposit,Au,,Gold,,,,,,,,,West Australian Element
334022,New Star,,QLD,146.2494,-19.356,mineral deposit,Au,,Gold,,,Paleozoic,,,,,,Charters Towers Province
449195,Horseshoe - Yundamindra,,WA,122.1741,-29.1848,mineral deposit,Au,,Gold,,Yilgarn Craton,Archean,,,,,,West Australian Element
408596,Hodgkinson,,SA,139.41,-30.19,mineral deposit,"U, U3O8",,"Uranium, Uranium oxide",,Curnamona Province,Paleozoic,,,,,,Curnamona Province
334466,South Windarra,,WA,122.2411,-28.61,historic mine,Ni,,Nickel,,"Yilgarn Craton, Eastern Goldfields Province, Windarra Nickel Metallogenic Province",Archean,,,,,Carey Paleovalley,West Australian Element
333674,North Flinders,,SA,138.6666,-31.0804,mineral deposit,Pb,"Zn, Brt","Lead, (Zinc, Barite)",,Delamerian Orogen,Paleozoic,,,,,,South Australian Element
334484,Belgium,,QLD,140.4532,-21.5905,historic mine,Cu,,Copper,,"Mount Isa Orogen, Quamby-Malbon Zone",Proterozoic,,,,,,Marimo-Staveley Domain
336059,Mount Holland,,WA,119.689,-32.4227,mineral deposit,Au,,Gold,,Yilgarn Craton,,,,,,,West Australian Element
557742,North Capel Extended (M70/01117),,WA,115.5811,-33.5159,mineral deposit,"Ilm, Zrn, Rt, Leu",,"Ilmenite, Zircon, Rutile, Leucoxene",,,,,,,,Bunbury Trough,Pinjarra Orogen
334084,Pernatty,Pernatty Lagoons,SA,137.211,-31.5981,historic mine,"Ag, Cu",,"Silver, Copper",,Stuart Shelf,Proterozoic,,,,,Cariewerloo Basin,South Australian Element
336282,Won Wron,South Gippsland,VIC,146.66,-38.43,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,Gippsland Basin,Cenozoic,,,,,Selwyn Province,Melbourne-Mathinna Zone
336283,Bombay - Costerfield,Costerfield Project,VIC,144.7945,-36.8786,historic mine,"Sb, Au",,"Antimony, Gold",Mandalay Resources Corporation,"Lachlan Orogen, Lachlan Orogen",,,,,,Selwyn Province,Melbourne-Mathinna Zone
336284,Higgs,,TAS,146.1086,-41.4866,mineral deposit,"Au, Ag, Zn, Pb",,"Gold, Silver, Zinc, Lead",Frontier Resources Limited,Delamerian Orogen,Paleozoic,,,,,Thylacine Province,Delamerian Orogen
336285,Bell Creek,"Gunnawarra, Nornico",QLD,145.1635,-17.9703,mineral deposit,"Ni, Co, Sc",,"Nickel, Cobalt, Scandium",Australian Mines Ltd,,Cenozoic,,,,,,Thomson Orogen
336286,Two Boys - Higginsville,,WA,121.725,-31.7404,historic mine,Au,,Gold,"Alacer Gold Corporation, Karora Resources Inc, Metals X Limited, RNC Minerals","Yilgarn Craton, Eastern Goldfields Province, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
336288,McPhee Creek,,WA,120.1415,-21.5843,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",Atlas Iron Ltd,Pilbara Craton,,Basin chemical,Iron formation,Superior-type banded iron formation,Warakurna Large Igneous Province,,Pilbara Craton
336291,Turpentine,"Boomara, Hazel Creek",QLD,140.252,-19.7055,mineral deposit,Cu,Au,"Copper, (Gold)",Exco Resources Limited,"Mount Isa Inlier, Mount Isa Orogen",Proterozoic,,,,,,Mary Kathleen Domain
349857,Prospero,,WA,120.5801,-27.6331,mineral deposit,Ni,,Nickel,"Glencore Xstrata plc, Xstrata plc","Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,Carey Paleovalley,West Australian Element
351641,Kalkaroo,,SA,140.525,-31.729,mineral deposit,"Cu, Au, Mo, Co",,"Copper, Gold, Molybdenum, Cobalt",Havilah Resources NL,Curnamona Province,Proterozoic,Basin hydrothermal,Sediment-hosted,Sediment-hosted copper ± Co,,,Curnamona Province
354850,McLeay,"Victor, Victor South",WA,121.6785,-31.1957,care and maintenance,"Ni, Co",,"Nickel, Cobalt",Independence Group NL,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
354861,Cooke,Mt Edwards 166N,WA,121.5346,-31.4443,mineral deposit,Ni,,Nickel,Widgie Nickel Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,,,West Australian Element
355318,Norton,,QLD,151.3724,-24.3218,care and maintenance,Au,,Gold,"Norton Gold Fields Limited, OceanaGold Ltd.",Mossman Orogen,Paleozoic,,,,,,New England Orogen
355322,Bonshaw,"Ashford, Aurthurs Seat, Brunt",NSW,151.107,-29.223,mineral deposit,Cbl,,Coal - black,Whitehaven Coal Limited,Ashford Basin,,,,,,,New England Orogen
355324,Iron Monarch,,WA,119.9051,-26.7909,mineral deposit,Au,,Gold,Golden West Resources Ltd,Yilgarn Craton,,,,,,,West Australian Element
355326,Hawk,,WA,119.9516,-26.8051,mineral deposit,Au,,Gold,Tanami Gold NL,Yilgarn Craton,,,,,,,West Australian Element
355333,Cape Lambert Magnetite (MCC),,WA,117.0778,-20.7095,mineral deposit,FeOre,"Fe, Hem","Iron ore, (Iron, Hematite)",China Metallurgical Group Corporation,Pilbara Craton,,Volcanic basin hydrothermal,Volcanogenic,Algoma-type banded iron formation,Warakurna Large Igneous Province,,Pilbara Craton
356576,Kohinoor,Pine Creek Project,NT,131.8399,-13.833,mineral deposit,Au,,Gold,Crocodile Gold Corporation,Pine Creek Orogen,Proterozoic,,,,,,Pine Creek Orogen
357585,Tarrawonga,East Boggabri,NSW,150.163,-30.638,operating mine,Cbl,,Coal - black,Whitehaven Coal Limited,Gunnedah Basin,,,,,,Gunnedah Basin,Eastern Province
357601,Werris Creek,,NSW,150.6395,-31.407,care and maintenance,Cbl,,Coal - black,Whitehaven Coal Limited,Gunnedah Basin,,,,,,Gunnedah Basin,New England Orogen
358262,Ricks - Fortnum,Grosvenor Gold Project,WA,118.3589,-25.3248,mineral deposit,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL",Yilgarn Craton,Proterozoic,,,,Warakurna Large Igneous Province,Bryah Basin,West Australian Element
358428,Burbanks,Birthday Gift,WA,121.1375,-31.0279,operating mine,Au,,Gold,Horizon Minerals Ltd.,"Yilgarn Craton, Eastern Goldfields Province, Kalgoorlie Gold Metallogenic Province",Archean,,,,,,West Australian Element
358430,Czarina,Pine Creek Project,NT,131.8278,-13.822,historic mine,Au,,Gold,Crocodile Gold Corporation,Pine Creek Orogen,Proterozoic,,,,,,Pine Creek Orogen
358432,Esmeralda,Union Reefs Project,NT,131.8299,-13.756,historic mine,Au,,Gold,"Crocodile Gold Corporation, Newmarket Gold Inc",Pine Creek Orogen,Paleoproterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,Pine Creek Orogen
358434,International,Pine Creek Project,NT,131.8218,-13.8166,mineral deposit,Au,,Gold,Crocodile Gold Corporation,Pine Creek Orogen,Proterozoic,,,,,,Pine Creek Orogen
528015,Vickery South,,NSW,150.194,-30.794,mineral deposit,Cbl,,Coal - black,Coalworks Ltd,Gunnedah Basin,,,,,,Gunnedah Basin,Eastern Province
528089,Kingaroy (Moreton Resources),,QLD,151.82,-26.62,mineral deposit,Cbl,,Coal - black,Moreton Resources Limited,Tarong Basin,,,,,,,New England Orogen
528092,Hill 800,,VIC,146.3767,-37.327,mineral deposit,Au,,Gold,Goldsearch Limited,Melbourne-Mathinna Zone,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,,Selwyn Province,Tasman Element
528094,Warrawanda (Atlas),Wishbone,WA,120.039,-23.707,mineral deposit,Fe,FeOre,"Iron, (Iron ore)",Atlas Iron Ltd,Pilbara Craton,,,,,Warakurna Large Igneous Province,,Sylvania Dome
528109,Yerecoin Iron,,WA,116.369,-30.9505,mineral deposit,"FeOre, Fe",,"Iron ore, Iron","Burley Minerals Ltd, Cliffs Natural Resources, Radar Iron Ltd",Yilgarn Craton,,,,,,,West Australian Element
528301,Western Creek (Atlas),,WA,119.3947,-23.3679,mineral deposit,"FeOre, Fe",,"Iron ore, Iron",Atlas Iron Ltd,Pilbara Craton,,,,,Warakurna Large Igneous Province,Fortescue Basin,Pilbara Craton
529194,Crush Creek,,QLD,147.8111,-20.4395,mineral deposit,"Au, Ag",,"Gold, Silver",Navarre Minerals Limited,New England Orogen,,,,,,,Connors-Auburn Province
529220,Budgery,,NSW,146.6862,-31.5303,under development,Cu,"Au, Ag","Copper, (Gold, Silver)",Aeris Resources Limited,"Lachlan Orogen, Girilambone Zone",,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,,,Central NSW - Omeo Province
