Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
GSM AU Equity,GOLDEN STATE MINING LTD,5128059.45,99501,1937047,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Golden State Mining Limited provides mining services. The Company explores,develops, and mines gold, lithium, and nickel deposits. Golden State Miningoperates in Australia."
GWF AU Equity,GOLDEN WEST REFINING CORP,,1195113037,18373000,,Common Stock,Materials,Materials,Metals & Mining,Mining Services, , ,"Golden West Refining Corporation Limited is an international precious metalsrefiner and producer. The Company is involved in precious metal extraction, re-covery and recycling and electrolytic refining of silver. The Company's facili-ties are located in Australia, New Zealand, North America and Papua New Guineaand serves a variety of sectors including mining, manufacturing and banking."
G79 AU Equity,GOLDOZ LTD,,0,553752,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,GoldOz Limited operates as a junior mining resource company. The Company focuseson gold and gold antimony deposits. GoldOz serves customers worldwide.
8189761Q AU Equity,GOLDRIM MINING AUSTRALIA LTD,,,7864000,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Goldrim Mining Australia Limited explores for and mines for tantalium throughjoint-ventures in Western Australian tenements and in New South Wales.  The Com-pany's exploration projects include Yandeyarra, Caloola, Lolworth and PineRidge."
1848254D AU Equity,GONDWANA RESOURCES LTD,,0,444602,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Gondwana Resources Limited acquires, explores for and produces gold and mineralsin Western Australia."
GG8 AU Equity,GORILLA GOLD MINES LTD,258490434.4,0,25207264,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Gorilla Gold Mines Ltd provides exploration and mining services. The Companyexplores and develops gold, nickel, and cobalt projects in Western Australiaand Canada. Gorilla Gold Mines serves customers worldwide."
GOS AU Equity,GOSSAN HILL GOLD LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Gossan Hill Gold Ltd. is a gold exploration company. The Company is focused ongold exploration in Australia with a focus on Mt Adrah, Bauloora, Peel Fault,and Weabonga in New South Wales."
GRR AU Equity,GRANGE RESOURCES LTD,231467739.6,520805000,1301319936,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,Grange Resources Limited is a mining and exploration company. The Companyexplores for iron ore and pellets. Grange Resources serves customers inAustralia and Asia.
GRN AU Equity,GRAVITY DIAMONDS LTD,,970766.0079,17589276,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining, ,Gravity Diamonds Limited is a diamond exploration company with explorationactivities located in Australia and the Democratic Republic of Congo.  TheCompany also has the rights and utilization of the Falcon airborne gravitygradiometer system for diamond exploration.
GAU AU Equity,GREAT AUSTRALIAN RESOURCES,,,1746114,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Great Australian Resources Limited is a gold, nickel, and base metal explorationcompany operating in Australia.  The Company's projects are located in WesternAustralia.  The projects include the Menzies Project, the Bottle Well Project,the Kurnalpi Project, and the Sophie Downs Project."
