Ticker,Name, Market Cap , Revenue:Y , Tot Assets:Y ,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
KGH AU Equity,UNITED KG NO 1 LTD,   ,   ,   , ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,"Kilpatrick Green Holdings Limited, through subsidiaries, provides various ser-vices for companies in the engineering, facilities management and constructionindustries.  The Company's services include design and engineering for powergeneration,distribution and transmission systems, water systems and wastewatertreatment, communications and electrical and mechanical contracting."
0908587D AU Equity,WEARX PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,Wearx Pty Ltd was founded in 2012. The company's line of business includesproviding professional engineering services.
1081657D AU Equity,STANAWAY PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,Stanaway Pty. Limited was founded in 1991. The Company's line of businessincludes the construction of nonresidential buildings.
TTI AU Equity,TRAFFIC TECHNOLOGIES LTD,   ,31858000,21027000, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Ind & Traffic Engineering Svcs, ,Traffic Technologies Limited develops and manufactures energy efficient trafficlights in Australia.  The Company uses the light emitting diode technology inits traffic lights which makes them more energy efficient and cheaper to run.
2297645D AU Equity,ABIGROUP LIMITED,   ,   ,   ,9004,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Abigroup Ltd. provides engineering, building, water, energy, and constructionservices. The Company offers water infrastructure, mining services that includedesign, construction, ore extraction, processing, and supplies infrastructureto the telecommunication and energy sectors."
138626Q AU Equity,TRANSURBAN GROUP - SET UP FO,   ,150852005,1962807040,244,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Transurban Group is involved in the Melbourne City Link freeway project.  Theproject involves the design, financing, construction, operation and maintenanceof 22 kilometers of privately-developed tollroad linking the north-western andsouth-eastern suburbs of Melbourne.  There are two main sections of the Project,the Western and Southern Link."
EIM AU Equity,EL CORP LTD,   ,1,756773, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"El Corp Ltd. imports, designs, sells, services, and support computers andcommunication systems and equipment."
1055842Z AU Equity,PATTERSON BRITTON & PARTNERS,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs, ,Patterson Britton & Partners Pty Ltd was founded in 1987. The company's line ofbusiness includes providing professional engineering services.
60960Q AU Equity,MONTORO RESOURCES LIMITED,   ,   ,   , ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,Belridge Enterprises Pty Ltd was founded in 1992. The company's line ofbusiness includes providing professional engineering services.
GRD AU Equity,GRD LTD,   ,245656000,   ,300,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs, ,"GRD Ltd. offers construction, and specialized manufacturing services.  TheCompany offers design and construction services of mineral resource andwaste-to-resource projects, and offers fabrication services to the resources,infrastructure, and oil and natural gas industries."
0513441D AU Equity,SUSTAINABLE BUSINESS ENERGY,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Solgen Energy Pty Ltd was founded in 2008. The company's line of businessincludes providing plumbing, heating, air-conditioning, and similar work."
UGL AU Equity,UGL LTD,   ,1939479000,1183174016,10000,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Construction Engineering Svcs, ,"UGL Pty Limited, doing business as United Group Ltd provides diversifiedengineering, construction and maintenance company. The Company offers railwaymanufacturing, maintenance, and engineering, as well as design, construction,operating and maintenance services. United Group Ltd serves customers worldwide."
CHA AU Equity,CHAUCER ENERGY LTD,   ,   ,   , ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Energy Infra Construction, ,Chaucer Energy Limited operates as a resources company. The Company focuses ondevelopment and installation of commercial In-Situ Gasification (ISG) facilitiesto convert the energy of stranded resources into electrical power withoutphysical extraction from the ground. Chaucer Energy serves customers inAustralia.
GPE AU Equity,GREEN PACIFIC ENERGY LTD,   ,593079,12012897, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs, ,Green Pacific Energy Limited develops renewable green electricity generatingfacilities.  The Company's activities include conversion of municipal greenwaste to electricity through a licensed fluid bed combustion integratedgasification combustion process. The Company also operates environmentalremediation projects such as coal gasification project in Dalian in China.
2576444D AU Equity,STRARCH INTERNATIONAL LTD,   ,17144547,6311669,8,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Strarch International Limited designs, engineers and produces Strarch buildingsystem components.  The Company, through this system, constructs aircraftmaintenance facilities, bulk storage facilities and owns the licensing of thetechnology.  The Company's operations are located in South East Asia, NorthAmerica, Australia and Europe."
BYL AU Equity,BRIERTY LTD,   ,107240840,73776504,353,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction,Industrial Buildings Const, ,"Brierty Ltd is a construction company. The Company offers mining and mine siteinfrastructure, road construction and maintenance, civil infrastructureincluding bulk and structural earthworks, rail formation, airport runways,concrete, and pavement works. Brierty Contractors also provides sewer  and waterreticulation, retaining walls, brick paving and landscaping."
636181Z AU Equity,BLUE RIDGE WA PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,Blue Ridge WA Pty Ltd operates as a building construction company.
1010606Z AU Equity,INTERMET ENGINEERING PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,Intermet Engineering Pty. Ltd. was founded in 1979. The Company's line ofbusiness includes providing professional engineering services.
