Ticker,Company Name,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Tier_MarketCap,Tier_Revenue,Tier_Assets,CountryGroup,AssetTurnover,MarketToAsset,CapIntensity,Group_AssetTurnover,Group_MarketToAsset,Group_CapIntensity
WWI AU Equity,West Wits Mining Ltd,Australia,Common Stock,160920000.0,11000.0,28230000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.0011527886160927056,5.700318809776833,867.5006382435424,LowTurnover,HighValue,CapHeavy
KAU AU Equity,Kaiser Reef Ltd,Australia,Common Stock,160260000.0,23700000.0,30240000.0,MicroCap,LowRevenue,MicroAsset,Australia,0.7837301587301587,5.299603174603175,1.2759493670886075,MidTurnover,HighValue,BalancedCap
FHE AU Equity,Frontier Energy Ltd,Australia,Common Stock,159720000.0,797020.0,83410000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.009555448986932023,1.9148783119530033,104.65232992898547,LowTurnover,HighValue,CapHeavy
RNU AU Equity,Renascor Resources Ltd,Australia,Common Stock,157680000.0,,171090000.0,MicroCap,UnknownRevenue,LightAsset,Australia,,0.9216201998947923,,UnknownTurnover,FairValue,UnknownCap
KOV AU Equity,Korvest Ltd,Australia,Common Stock,156310000.0,119570000.0,90380000.0,MicroCap,MidRevenue,MicroAsset,Australia,1.3229696835583094,1.7294755476875414,0.755875219536673,HighTurnover,HighValue,CapLight
ERM AU Equity,Emmerson Resources Ltd,Australia,Common Stock,155740000.0,161400.0,9510000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.016971608832807572,16.37644584647739,58.921933085501855,LowTurnover,HighValue,CapHeavy
LKY AU Equity,Locksley Resources Ltd,Australia,Common Stock,152780000.0,32990.0,8630000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.0038227114716106606,17.703360370799537,261.59442255228856,LowTurnover,HighValue,CapHeavy
VMM AU Equity,Viridis Mining and Minerals Ltd,Australia,Common Stock,148870000.0,,21680000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,6.86669741697417,,UnknownTurnover,HighValue,UnknownCap
EL8 AU Equity,Elevate Uranium Ltd,Australia,Common Stock,148460000.0,,25460000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,5.831107619795758,,UnknownTurnover,HighValue,UnknownCap
RND AU Equity,Rand Mining Ltd,Australia,Common Stock,148450000.0,43270000.0,112740000.0,MicroCap,LowRevenue,LightAsset,Australia,0.38380344154692214,1.3167464963633138,2.605500346660504,MidTurnover,FairValue,BalancedCap
GLN AU Equity,Galan Lithium Ltd,Australia,Common Stock,142810000.0,581350.0,174260000.0,MicroCap,VeryLowRevenue,LightAsset,Australia,0.0033361069666016296,0.8195225525077471,299.75058054528256,LowTurnover,FairValue,CapHeavy
MLG AU Equity,MLG OZ Ltd,Australia,Common Stock,141770000.0,548300000.0,319260000.0,MicroCap,MidRevenue,LightAsset,Australia,1.7174090083317672,0.444058134435883,0.5822724785701259,HighTurnover,LowValue,CapLight
ETM AU Equity,Energy Transition Minerals Ltd,Australia,Common Stock,138600000.0,568000.0,17270000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.032889403590040535,8.02547770700637,30.404929577464788,LowTurnover,HighValue,CapHeavy
STM AU Equity,Sunstone Metals Ltd,Australia,Common Stock,137960000.0,,95060000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,1.4512939196297077,,UnknownTurnover,FairValue,UnknownCap
PSC AU Equity,Prospect Resources Ltd,Australia,Common Stock,137210000.0,,27310000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,5.0241669718052,,UnknownTurnover,HighValue,UnknownCap
AKM AU Equity,Aspire Mining Ltd,Australia,Common Stock,134520000.0,,42500000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,3.1651764705882353,,UnknownTurnover,HighValue,UnknownCap
ALL LN Equity,Atlantic Lithium Ltd,Australia,Common Stock,133870000.0,683220.0,44480000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.015360161870503597,3.0096672661870505,65.10348057726647,LowTurnover,HighValue,CapHeavy
AAL AU Equity,Alfabs Australia Ltd,Australia,Common Stock,133260000.0,95500000.0,131810000.0,MicroCap,LowRevenue,LightAsset,Australia,0.7245277293073363,1.0110006828010014,1.3802094240837697,MidTurnover,FairValue,BalancedCap
