Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Orange Minerals,467,247,,2021,,,30-Jun-2024,$0,$0,$0,$0,$-1.14m,$-1.23m,$6.61m,$7.57m,$297.44k,$236.21k,,,,,,,,$37.79k,$35.13k,$32.37k,$70.15k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Orange Resources NL (OMX) is an exploration…Orange Resources NL (OMX) is an exploration company listed on the ASX with Australian-based projects in the NSW Lachlan Fold Belt (LFB), WA Eastern Gold Fields and Pilbara in WA. The Company is currently focussing on the Calarie & Wisemans Creek gold/base metal Projects in NSW, the Majestic/Kurnalpi gold, the Lennon's Find Base Metal and the Mulga Rocks Uranium Minerals Projects in WA.",147,OMX,,PERTH,
Aurumin,97,326,,2020,,,30-Jun-2024,$3.46m,$108.15k,$0,$0,$-3.08m,$-6.15m,$16.65m,$17.37m,$2.72m,$6.32m,,,,,,,,$161.39k,$126.58k,$0,$3.72m,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Aurumin Limited (AUN) is a mineral exploration…Aurumin Limited (AUN) is a mineral exploration Company focused on the Sandstone region in Western Australia.,500,AUN,,PERTH,
Heavy Minerals,326,482,,2021,,,30-Jun-2024,$38.50k,$0,$0,$0,$-1.15m,$-1.17m,$4.40m,$3.54m,$1.19m,$76.03k,,,,,,,,$84.70k,$0,$768.70k,$0,,,,,,,,,,,,,,,,,Criterion Audit Pty Ltd,,Heavy Minerals Limited (HVY) is an Australian…Heavy Minerals Limited (HVY) is an Australian based Industrial Minerals Company. The Company owns 100% of the Port Gregory and Red Hill Garnet Projects in WA.,67,HVY,,PERTH,
Locksley Resources,333,303,,2018,,,30-Jun-2024,$32.99k,$66.54k,$0,$0,$-2.13m,$-1.50m,$8.63m,$7.18m,$174.23k,$334.97k,,,,,,,,$1.81k,$31.50k,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick Audit (WA) Pty Ltd,,"Locksley Resources Limited (LKY) is a minerals…Locksley Resources Limited (LKY) is a minerals exploration Company with a focus on copper, gold and base metal assets throughout Australia.",251,LKY,,PERTH,
M3 Mining,468,496,,2021,,,30-Jun-2024,$0,$0,$0,$0,$-2.11m,$-2.12m,$2.12m,$3.02m,$291.11k,$267.26k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Nova Legal,William Buck Audit (WA) Pty Ltd,,"M3 Mining Limited (M3M) is a Perth-based mineral…M3 Mining Limited (M3M) is a Perth-based mineral exploration company. M3 Mining projects are strategically located in regions surrounded by majors and has experienced minimal modern, systematic exploration. The Company strategy is to apply a systematic approach to the assessment and prioritisation of its projects, all of which have the potential to produce material discoveries.",83,M3M,,PERTH,
Solstice Minerals,79,550,,2022,,,30-Jun-2024,$8.42m,$0,$0,$0,$4.61m,$-6.91m,$21.90m,$16.39m,$1.30m,$739.67k,,,,,,,,$68.29k,$79.99k,$35.73k,$104.02k,,,,,,,,,,,,,,,,Steinpreis Paganin,William Buck Audit (WA) Pty Ltd,,"Solstice Minerals Limited (SLS) is a minerals…Solstice Minerals Limited (SLS) is a minerals exploration company with gold and base metal projects in the Eastern Goldfields of Western Australia. The Company's projects are the Yarri gold exploration landholding, Ringlock Dam and the Ponton early-stage gold project.",112,SLS,,PERTH,
Bellavista Resources,300,437,,,,,30-Jun-2024,$64.83k,$79.86k,$0,$0,$-2.07m,$-1.26m,$6.10m,$6.67m,$374.61k,$934.43k,,,,,,,,$32.22k,$0,$43.10k,$0,,,,,,,,,,,,,,,,Hamilton Locke,BDO Audit Pty Ltd,,"Bellavista Resources Limitec (BVR) is an emerging…Bellavista Resources Limitec (BVR) is an emerging mineral exploration company focused on finding deposits. Its team is dedicated to delivering shareholder value through well-executed exploration and value-accretive corporate transactions. Currently, the asset portfolio consists of tenure prospective for sedimentary hosted base metals, IOCG and sulphide related precious and base metal deposits in the Upper-Gascoyne Region of Western Australia.",101,BVR,,PERTH,
Bindi Metals,388,443,,,,,30-Jun-2024,$1.80k,$0,$0,$0,$-1.27m,$-2.07m,$1.64m,$2.97m,$82.66k,$417.36k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Lawton Macmaster Legal,Hall Chadwick WA Audit Pty Ltd,,Bindi Metals Limited (BIM) is an Australian…Bindi Metals Limited (BIM) is an Australian mineral exploration company focused on copper and rare earth exploration with projects that are strategically located in tier 1. The company's aim is to explore and discover critical minerals essential to the global energy transition.,58,BIM,,PERTH,
Cavalier Resources,382,400,,,,,30-Jun-2024,$3.97k,$9.94k,$0,$0,$-735.54k,$-763.71k,$4.46m,$4.99m,$318.61k,$275.73k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Cavalier Resources Limited (CVR) has interests in…Cavalier Resources Limited (CVR) has interests in Tenements in Western Australia, collectively known as the Leonora Gold Project, Hidden Jewel Gold Project, and Ella's Rock Li-Au-Ni Project, prospective for lithium, gold and nickel mineralization.",57,CVR,,PERTH,
Lord Resources,336,349,,,,,30-Jun-2024,$32.62k,$77.18k,$0,$0,$-2.13m,$-2.42m,$3.51m,$4.31m,$165.42k,$549.01k,,,,,,,,$36.90k,$37.94k,$70.14k,$111.49k,,,,,,,,,,,,,,,,,HLB Mann Judd,,Lord Resources Limited  is an exploration company…Lord Resources Limited  is an exploration company with a portfolio of metals located within Western Australia. The mining projects in Lord provide exposure to lithium in one of the great lithium corridors in the world.,155,LRD,,PERTH,
Noble Helium,213,520,"Justyn Wood(Co-Founder, Executive Director)",2017,,,30-Jun-2024,$366.29k,$0,$0,$0,$-5.06m,$-2.44m,$51.16m,$22.26m,$6.39m,$1.23m,,,,,,,,$4.69m,$0,$57.20k,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Noble Helium Limited (NHE) is engaged in helium…Noble Helium Limited (NHE) is engaged in helium exploration in Tanzania, advancing four projects to address supply chain fragility and the supply-demand imbalance for this critical industrial gas.",599,NHE,,PERTH,
TG Metals,469,559,,,,,30-Jun-2024,$0,$0,$0,$0,$-2.28m,$-1.21m,$14.01m,$5.28m,$981.29k,$181.55k,,,,,,,,$8.70k,$31.97k,$0,$8.70k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"TG Metals Limited (TG6) is a company in…TG Metals Limited (TG6) is a company in exploration for lithium, nickel and gold at its wholly owned Lake Johnston Project in the stable jurisdiction of Western Australia.",102,TG6,,PERTH,
Uvre,470,567,Brett Mitchell(Executive Chairman),2022,,,30-Jun-2024,$0,$0,$0,$0,$-1.25m,$-2.08m,$5.59m,$4.99m,$143.69k,$183.81k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick WA Audit Pty Ltd,,"Uvre Limited (UVA) is implementing to become a…Uvre Limited (UVA) is implementing to become a mineral exploration and development company focused on those metals which are critical to the global energy transition. It aims to acquire, explore and advance projects which meet this criteria while offering to generate financial returns for its shareholders. It aims to apply the skills and experience of its team to unlock the value of these projects, principally through discovery and project development.",189,UVA,,PERTH,
Botala Energy,471,446,Wolf Martinick(Executive Chair),2022,,,30-Jun-2024,$0,$0,$0,$0,$-2.01m,$-1.37m,$18.06m,$14.34m,$1.54m,$1.06m,,,,,,,,$0,$0,$1.37m,$585.28k,,,,,,,,,,,,,,,,"Botswana Otlaadisa Law, Hamilton Locke Pty Ltd",HLB Mann Judd,,Botala Energy Ltd (BTE) is a coal bed methane …Botala Energy Ltd (BTE) is a coal bed methane (CBM) exploration and development Company focused on developing production from its 100% owned Serowe CBM Project in a CBM region of Botswana and related early-stage renewable energy opportunities.,279,BTE,,PERTH,
Nordic Resources,393,,,2022,,,30-Jun-2024,$656,$918.25k,$0,$0,$-1.88m,$-1.41m,$12.27m,$13.71m,$379.62k,$2.05m,,,,,,,,$26.18k,$0,$84.49k,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Nordic Resources Limited (NNL, formerly Nordic…Nordic Resources Limited (NNL, formerly Nordic Nickel Limited) holds a district-scale landholding of prospective nickel sulphide tenements in the Central Lapland Greenstone Belt (CLGB) of Finland. It is focused on the Pulju Project, where historical drilling has confirmed nickel sulphide mineralisation, and the earlier-stage Maaninkijoki 3 (MJ3) Project",325,NNL,,PERTH,
Many Peaks Minerals,257,,,2022,,,30-Jun-2024,$152.11k,$0,$0,$0,$-4.11m,$-1.41m,$7.57m,$5.43m,$283.52k,$356.38k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Many Peaks Minerals Ltd (MPK) is a mineral…Many Peaks Minerals Ltd (MPK) is a mineral exploration and development company focused on the exploration for gold and copper-gold mineralization in the central region of Queensland. The company is also advancing early-stage exploration activities in Canada for lithium discovery opportunities.,124,MPK,,PERTH,
Narryer Metals,472,517,,2022,,,30-Jun-2024,$0,$0,$0,$0,$-3.81m,$-2.96m,$2.10m,$1.54m,$337.90k,$238.99k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,Narryer Metals Limited (NYM) is a critical…Narryer Metals Limited (NYM) is a critical minerals exploration company with critical minerals projects in Australia and Canada.,176,NYM,,PERTH,
WA1 Resources,137,419,Paul Savich(Managing Director),2021,,,30-Jun-2024,$1.25m,$261.12k,$0,$0,$-3.54m,$-2.22m,$76.19m,$24.80m,$3.46m,$2.23m,,,,,,,,$0,$43.78k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"WA1 Resources Ltd (WA1) is into mineral…WA1 Resources Ltd (WA1) is into mineral exploration operating in Australia, with a strategic focus on metals essentials for a sustainable low-carbon future. The Company currently has three exploration projects in Western Australia and the Northern Territory, being the West Arunta, Madura and Hidden Valley projects.",74,WA1,,PERTH,
Stelar Metals,473,553,,2022,,,30-Jun-2024,$0,$0,$0,$0,$-1.68m,$-949.87k,$9.51m,$7.28m,$383.92k,$238.53k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Grant Thornton Audit Pty Ltd,,"Stelar Metals Limited (SLB) is engaged in the…Stelar Metals Limited (SLB) is engaged in the exploration and development of lithium, copper, and zinc projects in South Australia and New South Wales. The primary focus is on the Trident Lithium Project in the Broken Hill Block. In the last six months, the company identified new geophysical targets for copper in the Bibliando Diapir and began surface sampling and geological mapping.",63,SLB,,PERTH,
Killi Resources,226,235,Kathryn Cutler(Chief Executive),2022,,,30-Jun-2024,$305.42k,$339.26k,$0,$0,$-1.36m,$-4.08m,$2.93m,$3.48m,$176.65k,$146.60k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,Killi Resources Limited (KLI) is a gold and…Killi Resources Limited (KLI) is a gold and copper explorer with assets in Western Australia and Queenslan. The Company is focussed on identification and assessment of commercially attractive resource exploration projects and exploration and development of company's portfolio of tenements and projects.,140,KLI,,PERTH,
Norfolk Metals,368,339,Ben Phillips(Executive Chair),2021,,,30-Jun-2024,$11.09k,$2,$0,$0,$-645.95k,$-771.49k,$5.96m,$5.44m,$85.99k,$196.61k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Norfolk Metals Limited (NFL) is a uranium and…Norfolk Metals Limited (NFL) is a uranium and gold focussed explorer with assets located in South Australia and Tasmania respectively.,65,NFL,,PERTH,
Viridis Mining & Minerals,322,572,,,,,30-Jun-2024,$40.61k,$0,$0,$0,$-8.31m,$-814.23k,$21.68m,$4.69m,$979.62k,$815.89k,,,,,,,,$67.78k,$43.47k,$226.22k,$84.75k,,,,,,,,,,,,,,,,Steinepreis Paganin,RSM Australia Partners,,"Viridis Mining and Minerals Limited (VMM) is a…Viridis Mining and Minerals Limited (VMM) is a resource exploration and development company with assets in Brazil, Canada and Australia. The Company's Projects comprise Colossus Project, South Kitikmeot Project, Boddington West Project, Bindoon Project, The Poochera and Smoky Projects.",100,VMM,,PERTH,
Pure Resources,323,,,2021,,,30-Jun-2024,$40.34k,$0,$0,$0,$-901.12k,$-752.40k,$2.87m,$4.00m,$144.25k,$364.54k,,,,,,,,$36.97k,$38.19k,$0,$36.97k,,,,,,,,,,,,,,,,Nova Legal,HLB Mann Judd,,"Pure Resources Limited (PR1) is a mineral…Pure Resources Limited (PR1) is a mineral exploration company focused on acquiring exploration projects which are prospective for nickel, gold and copper and will hold five key projects located in the Kimberley and Eastern Goldfields regions of Western Australia.",46,PR1,,PERTH,
Basin Energy,474,,Peter Moorhouse(Managing Director),2022,,,30-Jun-2024,$0,$0,$0,$0,$-2.76m,$-1.35m,$11.97m,$11.34m,$132.85k,$109.38k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke Pty Ltd,William Buck Audit (WA) Pty Ltd,,Basin Energy (BSN) is a green energy metals…Basin Energy (BSN) is a green energy metals exploration and development company with an interest in three prospective projects positioned in the southeast corner and margins of the world-renowned Athabasca Basin in Canada and has recently acquired a significant portfolio of Green Energy Metals exploration assets located in Scandinavia.,122,BSN,,PERTH,
DeSoto Resources,390,459,,2022,,,30-Jun-2024,$1.06k,$1.11k,$0,$0,$-1.69m,$-1.46m,$9.55m,$10.60m,$511.54k,$450.94k,,,,,,,,$54.65k,$52.15k,$102.70k,$161.39k,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,Desoto Resources Limited (DES) provides…Desoto Resources Limited (DES) provides exploration and mining services. The Company explores and develops gold and lithium projects. Desoto Resources serves customers around the world.,186,DES,,PERTH,
Dynamic Metals,93,460,"Karen Wellman(Chief Executive, Managing Director)",2022,,,30-Jun-2024,$4.53m,$17.65k,$0,$0,$2.89m,$-838.88k,$12.90m,$8.88m,$1.29m,$310.57k,,,,,,,,$31.41k,$37.47k,$0,$31.41k,,,,,,,,,,,,,,,,Hamilton Locke,Hall Chadwick WA Audit Pty Ltd,,Dynamic Metals Limited (DYM) is a Company engaged…Dynamic Metals Limited (DYM) is a Company engaged in mineral exploration in Australia.,49,DYM,,PERTH,
Bubalus Resources,475,447,"Alec Pismiris(Executive Chairman, Executive Director)",2022,,,30-Jun-2024,$0,$0,$0,$0,$-391.84k,$-653.84k,$4.71m,$4.79m,$86.27k,$141.43k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Pitcher Partners BA&A Pty Ltd,,"Bubalus Resources Limited (BUS) is an ASX listed…Bubalus Resources Limited (BUS) is an ASX listed company which is incorporated for the purpose of acquiring, exploring, evaluating and exploiting mineral resource projects. Company is exploring six projects: Victorian Gold Projects, Nolans East Rare Earths Project, Yinnietharra Lithium Project, the Amadeus Manganese/Base Metals Project, Coomarie Heavy Rare Earths Project, and Pargee Heavy Rare Earths Project in Australia.",57,BUS,,PERTH,
WIA Gold,476,579,,2022,,,30-Jun-2024,$0,$0,$0,$0,$-3.62m,$-1.52m,$43.77m,$17.23m,$1.17m,$278.76k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke,Pitcher Partners BA&A Pty Ltd,,WIA Gold Limited (WIA) is engaged in gold and…WIA Gold Limited (WIA) is engaged in gold and base metals exploration and evaluation in Namibia and Cote dlvoire.,"1,474",WIA,,PERTH,
MetalsGrove Mining,313,,"Burney Yang(Chief Executive Officer, Managing Director)",,,,30-Jun-2024,$50.39k,$76.36k,$0,$0,$-3.35m,$-871.21k,$6.41m,$8.38m,$129.40k,$698.51k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"MetalsGrove Mining Ltd (MGA) focuses on exploring…MetalsGrove Mining Ltd (MGA) focuses on exploring green metals to support the battery and renewable energy markets. In the last six months, the company received significant assay results from the Bruce Gold-Copper and Edwards Creek Copper-Zinc projects.",105,MGA,,PERTH,
High-Tech Metals,478,482,,2023,,,30-Jun-2024,$0,$0,$0,$0,$-737.58k,$-1.49m,$3.75m,$4.85m,$251.13k,$644.75k,,,,,,,,$66.57k,$62.08k,$47.17k,$113.74k,,,,,,,,,,,,,,,,Nova Legal,HLB Mann Judd,,"High-Tech Metals Limited (HTM) is a company in…High-Tech Metals Limited (HTM) is a company in the exploration and development of its flagship, 100 per cent owned Werner Lake Cobalt Project (the Project) located in north-western Ontario, within the Kenora Mining District, approximately 85 km north-northwest of Kenora, Ontario and approximately 170 km east-northeast of Winnipeg, Manitoba.",59,HTM,,PERTH,
Leeuwin Metals,197,498,"Christopher Piggott(Managing Director, Executive Chairman)",2022,,,30-Jun-2024,$450.50k,$0,$0,$0,$-6.12m,$-922.40k,$3.56m,$10.69m,$262.88k,$970.11k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Allens,William Buck Audit (VIC) Pty Ltd,,"Leeuwin Metals Ltd (LM1) is an exploration…Leeuwin Metals Ltd (LM1) is an exploration company focused on lithium and nickel exploration in the upcoming province of Manitoba, Canada and lithium and rare earth exploration in Western Australia.",100,LM1,,SYDNEY,
Moab Minerals,276,,,2022,,,30-Jun-2024,$105.09k,$129.74k,$0,$0,$-1.29m,$-6.38m,$7.03m,$8.32m,$209.27k,$102.25k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Moab Minerals Limited (MOM, Formerly Delecta…Moab Minerals Limited (MOM, Formerly Delecta Limited) is in mineral exploration and evaluation. Some of the project undertaken by the group are - Tanzania Uranium Projects, REX Uranium-Vanadium Project, Highline Copper-Cobalt Project, Woodlands Base Metal Project, Mount Amy Gold Project, and CAA Mining.","1,874",MOM,,PERTH,
Augustus Minerals,541,432,,2023,,,30-Jun-2024,$-7.92k,$77.00k,$0,$0,$-951.75k,$-1.81m,$13.87m,$14.87m,$295.91k,$349.10k,,,,,,,,$6.30k,$12.22k,$0,$3.15k,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick Audit (WA) Pty Ltd,,"1,345sq.km of tenements located 35km North of Leonora, WA. "">Augustus Minerals Limited (AUG) is a mineral…Augustus Minerals Limited (AUG) is a mineral explorer committed to exploring its two prospective projects with a focus on gold and minerals in Western Australia. The Company has 100% ownership of 3,600sq.km of tenements located in the Gascoyne Region of WA and has 100% ownership of >1,345sq.km of tenements located 35km North of Leonora, WA.",169,AUG,,PERTH,
Kali Metals,123,,,2023,,,30-Jun-2024,$1.53m,$0,$0,$0,$-1.04m,$-1.07m,$23.60m,$32.93m,$1.70m,$347.73k,,,,,,,,$84.18k,$0,$178.94k,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Kali Metals (KM1) portfolio of exploration…Kali Metals (KM1) portfolio of exploration packages across Australia's world leading hard-rock lithium fields. Kali 3,960sqkm exploration tenure is located near existing, emerging, and unexplored lithium and critical minerals regions in WA including the Pilbara and Eastern Yilgarn and the Southern Lachlan Fold Belt in NSW and Victoria.",91,KM1,,PERTH,
Pioneer Lithium,479,,,2023,,,30-Jun-2024,$0,$0,$0,$0,$-2.00m,$-280.35k,$4.19m,$228.97k,$247.78k,$28.32k,,,,,,,,$54.94k,$0,$71.26k,$0,,,,,,,,,,,,,,,,"Hamilton Locke Pty Ltd, Osler, Hoskin & Harcourt…Hamilton Locke Pty Ltd, Osler, Hoskin & Harcourt LLP",PKF Perth,,"Pioneer Lithium Limited (PLN) is focused building…Pioneer Lithium Limited (PLN) is focused building a major lithium and critical minerals company, through the identification of geological opportunities and the exploration for lithium, critical minerals and other battery metals and chemicals.",44,PLN,,PERTH,
NGX,480,,,,,,30-Jun-2024,$0,$0,$0,$0,$-2.39m,$-3.49m,$12.82m,$15.36m,$139.49k,$350.21k,,,,,,,,$0,$34.85k,$0,$0,,,,,,,,,,,,,,,,"Ritz Attorneys at Law, Thomson Geer",William Buck Audit (WA) Pty Ltd,,NGX Limited (NGX) is focused on developing a…NGX Limited (NGX) is focused on developing a portfolio of natural graphite and uranium assets across Malawi and Namibia. Recent activities include uranium exploration advancements in Namibia and progress in graphite projects in Malawi.,90,NGX,,PERTH,
Infini Resources,380,,"Charles Armstrong(Chief Executive Officer, Managing Director)",,,,30-Jun-2024,$4.82k,$0,$0,$0,$-1.53m,$-156.28k,$8.27m,$9.02m,$935.00k,$92.96k,,,,,,,,$79.45k,$0,$71.37k,$0,,,,,,,,,,,,,,,,"Hamilton Locke Pty Ltd, Osler, Hoskin & Harcourt…Hamilton Locke Pty Ltd, Osler, Hoskin & Harcourt LLP",HLB Mann Judd,,Infini Resources Limited (I88) is an energy…Infini Resources Limited (I88) is an energy metals company focused on mineral exploration in Canada and Western Australia for uranium and lithium. The company has a diversified and prospective portfolio of assets that includes greenfields and advanced brownfields projects.,52,I88,,PERTH,
Avenira,481,383,,,,,30-Jun-2024,$0,$11.59k,$0,$0,$-3.12m,$-3.20m,$21.89m,$17.36m,$6.08m,$6.50m,,,,,,,,$0,$3.46m,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Avenira Limited (AEV, formerly Minemakers Limited…Avenira Limited (AEV, formerly Minemakers Limited) is a battery cathode and fertiliser focus project developer, aiming to develop the Wonarah Phosphate Project and to build Australia's LFP Battery Cathode Plant.","4,258",AEV,,PERTH,
Accelerate Resources,310,394,YaXi Zhan(Executive Director),2018,,,30-Jun-2024,$51.31k,$0,$0,$0,$-2.63m,$-2.31m,$12.80m,$8.19m,$927.76k,$421.23k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Accelerate Resources Limited (AX8) is an emerging…Accelerate Resources Limited (AX8) is an emerging mineral explorer on the discovery and development of gold and critical minerals. The Company's current portfolio comprises the Kanowna East Gold Project within the prolific Kalgoorlie region of WA, Karratha Lithium Projects in the West Pilbara region of WA, the Woodie Woodie North Manganese Project in the East Pilbara Region of WA and the Comet Gold Project in the Murchison region of WA",817,AX8,,PERTH,
Altamin,553,423,Alexander Burns(Executive Chair),2009,,,30-Jun-2024,$-1.58m,$351.30k,$0,$0,$-3.69m,$-2.83m,$3.80m,$5.17m,$633.03k,$564.71k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Crowe Horwath Perth,,Altamin Limited (AZI) is a Company engaged in…Altamin Limited (AZI) is a Company engaged in exploration of a suite of tenements located in Italy.,574,AZI,,PERTH,
Black Canyon,191,444,,2021,,,30-Jun-2024,$472.27k,$0,$0,$0,$-1.99m,$-2.02m,$6.27m,$6.14m,$264.58k,$540.53k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick Audit (WA) Pty Ltd,,Black Canyon Limited (BCA) is focused on…Black Canyon Limited (BCA) is focused on exploring and developing manganese projects either owned 100% or in joint venture located in the mineral Pilbara region of Western Australia.,133,BCA,,PERTH,
Bryah Resources,482,122,,2017,,,30-Jun-2024,$0,$585.14k,$0,$0,$-1.64m,$-1.83m,$12.43m,$12.47m,$456.96k,$653.80k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Elderton Audit Pty Ltd,,"Bryah Resources Limited (BYH) in Western…Bryah Resources Limited (BYH) in Western Australia, a Tier One global mining and exploration jurisdiction. The Projects are energy metals focused, or able to exploit synergies of geological knowledge, locality and exploration.","1,028",BYH,,PERTH,
Chilwa Minerals,483,,"Alexander Shaw(Non-Executive Director, Non-Executive Chairman)",2023,,,30-Jun-2024,$0,$0,$0,$0,$-1.74m,$-1.02m,$11.20m,$8.25m,$1.13m,$8.72m,,,,,,,,$119.20k,$0,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Chilwa Minerals Limited (CHW) is an Australian…Chilwa Minerals Limited (CHW) is an Australian company with the focus to develop the wider Lake Chilwa Heavy Minerals Sands Project, located in Malawi, Africa.",82,CHW,,PERTH,
Celsius Resources,394,343,,,,,30-Jun-2024,$647,$26.30k,$0,$0,$-8.44m,$-5.73m,$29.49m,$35.73m,$1.07m,$565.81k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke,RSM Australia,,"Celsius Resources (CLA) is a copper-gold…Celsius Resources (CLA) is a copper-gold exploration and development company focusing on its copper-gold resources in the Philippines. The Maalinao-Caigutan-Biyog (MCB) Project, situated 320 km north of Manila, is the flagship project. The company holds international development assets.","3,135",CLA,,PERTH,
Estrella Resources,484,381,,,,,30-Jun-2024,$0,$405.52k,$0,$405.52k,$-2.99m,$-1.60m,$21.11m,$23.33m,$390.24k,$1.30m,,,,,,,,$0,$1.04m,$0,$0,,,,,,,,,,,,,,,,,RSM Australia,,Estrella Resources Limited (ESR) is a minerals…Estrella Resources Limited (ESR) is a minerals exploration and development company focused on emerging manganese assets in Timor-Leste as well as minerals projects in Western Australia.,"2,197",ESR,,PERTH,
Golden State Mining,485,157,Michael Moore(Managing Director),2017,,,30-Jun-2024,$0,$30.00k,$0,$0,$-2.70m,$-2.81m,$1.94m,$2.24m,$428.36k,$545.66k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,EMK Lawyers,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Golden State Mining Limited (GSM) is a resources…Golden State Mining Limited (GSM) is a resources exploration company, which brought West Australian exploration projects with a focus on gold and lithium. The Company's principal activities were mineral exploration, evaluation and investment and to assess and pursue mineral property and processing acquisition opportunities.",279,GSM,,PERTH,
GWR Group,155,480,"Michael Wilson(Executive Director, Exploration Manager)",,,,30-Jun-2024,$928.26k,$71.65m,$0,$9.21m,$-21.12m,$55.63m,$41.76m,$74.29m,$2.32m,$11.66m,,,,,,,,$0,$240.00k,$0,$331.63k,,,,,,,,,,,,,,,,,Stantons International Audit & Consulting Pty Ltd,,"GWR Group Limited (GWR) is an independent,…GWR Group Limited (GWR) is an independent, Australian resource company, focused on creating shareholder wealth through the development of mineral exploration and development projects. The company has a portfolio of mineral commodity projects that includes projects held in its own right, in joint ventures, and indirectly through investment in other listed entities. The company aim to create value through operational efficiency and exploration and project development strategies.",323,GWR,,PERTH,
James Bay Minerals,157,,,2022,,,30-Jun-2024,$888.28k,$0,$0,$0,$-4.84m,$-659.71k,$3.17m,$5.64m,$497.31k,$365.48k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke,William Buck Audit (VIC) Pty Ltd,,"James Bay Minerals Limited (JBY) is involved in…James Bay Minerals Limited (JBY) is involved in exploration and evaluation of lithium resources in the James Bay region of Quebec, Canada.",71,JBY,,PERTH,
