Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Truscott Mining Corporation,421,283,Peter Smith(Executive Chair),,,,30-Jun-2024,$0,$0,$0,$0,$-523.73k,$-514.30k,$2.99m,$2.97m,$1.92m,$1.76m,,,,,,,,$450.50k,$310.50k,$0,$0,,,,,,,,,,,,,,,,,Nexia Perth Audit Services Pty Ltd,,Truscott Mining Corporation Limited (TRM) is…Truscott Mining Corporation Limited (TRM) is involved in exploration and development of gold and base metal projects in the Northern Territory.,195,TRM,,PERTH,
Key Petroleum,356,357,,,,,30-Jun-2024,$16.97k,$1.00m,$0,$0,$-961.39k,$350.37k,$1.51m,$2.20m,$294.73k,$310.23k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Thomson Greer,Hall Chadwick WA Audit Pty Ltd,,"Key Petroleum Limited (KEY) is an Australian oil…Key Petroleum Limited (KEY) is an Australian oil and gas company focusing on exploration in the Cooper Eromanga Basin, Queensland. Key will pursue Potential Commercial Area (PCA) applications over ATPs 920 and 924 in 2025.",33,KEY,,PERTH,
Peel Mining,396,582,,,,,30-Jun-2024,$416,$13.46k,$416,$0,$-2.70m,$-1.48m,$110.78m,$113.92m,$1.62m,$2.44m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Peel Mining Limited (PEX) is a base and precious…Peel Mining Limited (PEX) is a base and precious metals company focused on exploration and development in the Cobar Region of New South Wales, Australia. The Company has been active in the Cobar Superbasin since March 2010 and currently holds a land position of approximately 3,070 Sqkm.",581,PEX,,PERTH,
Western Yilgarn,302,410,,,,,30-Jun-2024,$60.78k,$59.11k,$0,$0,$-1.38m,$-921.93k,$4.30m,$4.02m,$354.21k,$107.96k,,,,,,,,$41.55k,$40.50k,$110.73k,$0,,,,,,,,,,,,,,,,Larri Legal,In.Corp Audit & Assurance Pty Ltd,,Western Yilgarn NL (WYX) is now working towards…Western Yilgarn NL (WYX) is now working towards establishing itself as a reliable mineral explorer and developer with a diversified portfolio of assets located in established mining jurisdictions in Western Australia. These strategic land holdings are located in some of Australia's promising Bauxite and Nickel-Gold regions.,137,WYX,,PERTH,
Zenith Minerals,122,103,,,,,30-Jun-2024,$1.58m,$-869.46k,$0,$0,$-4.47m,$-9.31m,$14.47m,$19.30m,$435.43k,$881.53k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Zenith Minerals Limited (ZNC, formerly known as…Zenith Minerals Limited (ZNC, formerly known as Zinc Co Australia Limited) is a mining company is focused on minerals containing lithium and related metals required for rechargeable lithium-ion batteries for electric vehicles and renewable energy storage. The Company continued with activities on the lithium portfolio and progressed divestment of non-core assets such as the Develin Creek copper-zinc project",529,ZNC,,PERTH,
Great Western Exploration,422,472,,2007,,,30-Jun-2024,$0,$0,$0,$0,$-5.61m,$-5.86m,$13.78m,$15.65m,$986.66k,$339.70k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick WA Audit Pty Ltd,,"Great Western Exploration Limited (GTE) is a…Great Western Exploration Limited (GTE) is a copper, gold, and nickel explorer with a world-class, large land position in the prolific mining regions of Western Australia. The tenements of the group are early-stage exploration tenements with limited exploration undertaken on them to date.",567,GTE,,PERTH,
Venus Metals Corporation,48,298,Matthew Hogan(Managing Director),,,,30-Jun-2024,$66.03m,$14.15k,$0,$0,$29.47m,$-5.15m,$26.07m,$9.28m,$424.04k,$7.16m,,,,,,,,$24.14k,$0,$26.34k,$0,,,,,,,,,,,,,,,,Gilbert + Tobin,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,Venus Metals Corporation Limited (VMC) is a West…Venus Metals Corporation Limited (VMC) is a West Australian-based exploration company. The Company aims to increase shareholder value through targeted exploration success on its projects.,196,VMC,,PERTH,
Australian Silica Quartz Group,132,,,,,,30-Jun-2024,$1.42m,$380.67k,$0,$0,$-830.56k,$-2.25m,$6.07m,$6.89m,$254.55k,$1.28m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Moore Australia (WA) Pty Ltd,,"Australian Silica Quartz Group Ltd, (ASQ,…Australian Silica Quartz Group Ltd, (ASQ, formerly Bauxite Resources Ltd) holds several hard rock quartz and silica sand projects in various stages of development.",281,ASQ,,PERTH,
Buxton Resources,104,321,Marty Moloney(Chief Executive),,,,30-Jun-2024,$2.80m,$4.79m,$651.12k,$2.39m,$-4.04m,$-2.83m,$4.47m,$5.23m,$518.47k,$1.16m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Buxton Resources Limited (BUX) is engaged in…Buxton Resources Limited (BUX) is engaged in acquisition of mining tenements, and the exploration and evaluation of these tenements.",343,BUX,,PERTH,
GBM Resources,287,83,,,,,30-Jun-2024,$90.38k,$4.02m,$0,$1.63m,$-5.93m,$-2.11m,$61.14m,$63.98m,$21.74m,$23.62m,,,,,,,,$11.07k,$129.95k,$6.01m,$7.36m,,,,,,,,,,,,,,,,Steinepreis Paganin Lawyers and Consultants,HLB Mann Judd,,"GBM Resources Limited (GBZ) s an Australian…GBM Resources Limited (GBZ) s an Australian resources company headquartered in Brisbane. GBM Resources Limited is a well-funded Queensland based mineral exploration and development company focused on the discovery of world-class gold and copper deposits in Eastern Australia. The company has a high calibre project portfolio, hosting district scale mineral systems, located in several premier metallogenic terrains.","3,875",GBZ,,PERTH,
Latitude 66,423,250,Grant Coyle(Managing Director),,,,30-Jun-2024,$0,$139.78k,$0,$0,$-2.32m,$-628.93k,$30.00m,$10.28m,$1.94m,$398.27k,,,,,,,,$46.48k,$61.95k,$0,$11.60k,,,,,,,,,,,,,,,,Thomson Geer,PKF Perth,,"Latitude 66 is a Finish and Australian based…Latitude 66 is a Finish and Australian based company, focusing on the exploration and development of gold and critical minerals. The Company's primary focus lies in the Kuusamo Schist Belt Project (KSB Project) situated in Northern Finland.",143,LAT,,PERTH,
Emmerson Resources,235,265,,,,,30-Jun-2024,$259.45k,$727.60k,$0,$0,$-2.94m,$-2.59m,$5.70m,$8.10m,$940.17k,$730.77k,,,,,,,,$49.90k,$56.80k,$249.94k,$0,,,,,,,,,,,,,,,,"Steinepreis Paganin, Ward Keller",Ernst & Young,,Emmerson Resources Limited (ERM) is an explorer…Emmerson Resources Limited (ERM) is an explorer from Perth with a developing gold royalty business. The Company has an extensive landholding in the Tennant Creek Mineral Field (TCMF) in the Northern Territory.,635,ERM,,PERTH,
Lodestar Minerals,173,279,,,,,30-Jun-2024,$640.64k,$553.68k,$0,$0,$-4.61m,$-307.92k,$1.15m,$7.87m,$1.00m,$1.27m,,,,,,,,$285.27k,$565.55k,$78.93k,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Lodestar Minerals (LSR) is an active Western…Lodestar Minerals (LSR) is an active Western Australian base metal, lithium, and gold explorer. Lodestar's projects comprise the 100% owned Earaheedy and Ned's Creek projects in Western Australia and the Darwin Project in Chile. The company also has 27.5 million performance rights in Future Battery Minerals, which owns the Kangaroo Hills and Mirium Lithium Projects in Western Australia.",400,LSR,,PERTH,
Zinc of Ireland,424,580,,,,,30-Jun-2024,$0,$0,$0,$0,$-1.67m,$-530.28k,$8.92m,$10.51m,$345.51k,$210.48k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Zinc of Ireland NL (ZMI) is an Australian based…Zinc of Ireland NL (ZMI) is an Australian based mineral exploration and development Company focused on its zinc/lead projects in the Republic of Ireland as well as at its Manitoba lithium and Cascade rare earth element (REE) exploration projects in Canada and Western Australia (WA).,582,ZMI,,PERTH,
Manhattan Corporation,425,506,,2008,,,30-Jun-2024,$0,$33.59k,$0,$0,$-1.63m,$-755.51k,$12.56m,$14.03m,$230.23k,$107.31k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Manhattan Corporation Limited (MHC) is an…Manhattan Corporation Limited (MHC) is an exploration company focused on mineral exploration and development and evaluation of mineral projects and corporate opportunities in the resource sector worldwide. Novo is an Australian based gold explorer listed on the ASX and the TSX focused on discovering standalone gold projects. Novo is a gold explorer with a significant land package covering approximately 5,500 square kilometres in the Pilbara region of Western Australia.",557,MHC,,PERTH,
Fortuna Metals,124,497,,,,,30-Jun-2024,$1.53m,$0,$0,$0,$664.33k,$-769.11k,$16.51m,$10.96m,$165.20k,$621.38k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Moore Australia,,"Fortuna Metals Ltd (FUN, formerly Lanthanein…Fortuna Metals Ltd (FUN, formerly Lanthanein Resources Ltd) is a rare earth explorer, working towards building a sustainable, electric future.",187,FUN,,PERTH,
Equatorial Resources,426,463,,1987,,,30-Jun-2024,$0,$0,$0,$0,$-1.76m,$-4.19m,$15.90m,$16.69m,$1.85m,$2.49m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Thomson Geer,Ernst & Young,,Equatorial Resources Limited (EQX) is an ASX…Equatorial Resources Limited (EQX) is an ASX-listed iron ore exploration and development company with two 100% owned iron ore projects in the Republic of Congo.,131,EQX,,PERTH,
Gibb River Diamonds,427,121,,2008,,,30-Jun-2024,$0,$0,$0,$0,$-1.59m,$-683.91k,$2.05m,$3.41m,$363.93k,$296.65k,,,,,,,,$28.27k,$27.53k,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Gibb River Diamonds Limited (GIB) is a Perth…Gibb River Diamonds Limited (GIB) is a Perth-based multi-commodity resource exploration and development company which was listed on the ASX in 2008.  The Company's lead project is the Ellendale diamond project in the Kimberley region of Western Australia. Ellendale previously produced over 50% of the annual supply of the world's Fancy Yellow diamonds, which were the subject of a special marketing agreement with Tiffany & Co. The project has a JORC 2012 Inferred Resource over the Ellendale 9 Lights Stockpile of 5.2 million tonnes @ 1.26 carats per hundred tonnes with an average diamond value of US$1,200 per carat. The Company is working towards restarting diamond production at Ellendale.",214,GIB,,MELBOURNE,
Triangle Energy Global,67,65,,2006,,,30-Jun-2024,$13.58m,$29.76m,$12.60m,$13.64m,$-15.84m,$1.32m,$18.49m,$28.83m,$21.25m,$21.09m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Blackwall Legal LLP,HLB Mann Judd,,"Triangle Energy (Global) Ltd is an ASX-listed …Triangle Energy (Global) Ltd is an ASX-listed (TEG) energy explorer based in Perth, Western Australia. The Company has a 78.75% interest in, and is Operator of, the Cliff Head Oil Field, which includes the Arrowsmith Stabilisation Plant. The company also has a 50% share of the Mt Horner L7 production licence and the adjacent EP 437 exploration licence, both located in the Perth Basin. The Company continues to assess acquisition prospects to expand its portfolio of assets.","2,189",TEG,,PERTH,
PolarX,428,535,,,,,30-Jun-2024,$0,$0,$0,$0,$-11.81m,$-1.56m,$36.33m,$40.43m,$1.20m,$141.68k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Stantons International Audit & Consulting Pty Ltd,,"PolarX Limited is an ASX-listed mineral explorer…PolarX Limited is an ASX-listed mineral explorer and developer with growing Copper, Gold and Silver projects in the USA.","2,375",PXX,,PERTH,
