ID,ACN,MatchedNames
comp_106,147131977,"Aeris Resources Limited,Straits Metals Limited,Straits Resources Limited"
comp_107,645596238,Larvotto Resources Limited
comp_108,125323622,"Emergent Resources Ltd,Emergent Resources Pty Ltd,Fenix Resources Ltd"
comp_109,098564606,"Global Geoscience Limited,Ioneer Ltd,Paradigm Geoscience Pty Ltd"
comp_110,107985651,Meteoric Resources Nl
comp_111,109361195,"Alloy Resources Limited,Strickland Metals Limited"
comp_112,645578454,"Andean Silver Limited,Mitre Mining Corporation Limited,Mitre Mining Corporation Pty Ltd"
comp_113,009341539,"Tribune Resources Limited,Tribune Resources N.L."
comp_115,125242284,Syrah Resources Limited
comp_116,107452942,Silver Mines Limited
comp_117,085782994,"New Murchison Gold Limited,Ora Gold Limited,Thundelarra Exploration Ltd,Thundelarra Exploration Ltd,Thundelarra Limited"
comp_118,124893465,"Acrow Formwork And Construction Services Limited,Acrow Limited,Nmg Corporation Limited,Noble Mineral Resources Limited,Noble Mineral Resources Pty Ltd"
comp_119,609225023,"Ach Minerals Pty Ltd,Medallion Metals Limited"
comp_120,009159077,"Anglo Australian Resources N.L.,Astral Resources Nl"
comp_121,139308973,St George Mining Limited
comp_122,124212175,"Macquarie Harbour Mining Limited,Macquarie Mining Limited,Mhm Metals Limited,Vysarn Limited"
comp_123,090166528,"Challenger Gold Limited,Challenger Gold Nl,Challenger Mines Ltd,Challenger Mines Pty Ltd"
comp_124,619488498,Saturn Metals Limited
comp_125,644736247,Polymetals Resources Ltd
comp_127,100727491,"A1 Minerals Ltd,Brightstar Resources Limited,Stone Resources Australia Limited"
comp_128,060156452,"Aic Mines Limited,Intrepid Mines Limited,Nustar Mining Corporation Limited,Taipan Resources N.L."
comp_129,116865546,"Ballarat South Gold Limited,E2 Metals Limited,Grabon Ltd.,National Energy Holdings Limited,Unico Silver Limited"
comp_130,009450051,"Dragon Mining Limited,Dragon Mining Nl,Torum Mining N.L."
comp_131,008740672,"Ferrovanadium Corporation N.L.,Gaming & Entertainment Group Limited,Gorilla Gold Mines Ltd,Great Australian Resources N.L.,Labyrinth Resources Limited,Mintails Limited,Orminex Ltd,Trans-Global Interactive Limited,Trans-Global Resources N.L."
comp_132,098236938,"Aaq Holdings Limited,Australis Aquaculture Ltd,Australis Aquaculture Pty Ltd,Fraser Range Metals Goup Ltd,Fraser Range Metals Group Ltd,Wildcat Resources Limited,Wsb Holdings Pty Ltd"
comp_133,005470799,"Austminex Ltd,Austminex N.L.,Austminex Proprietary Limited,Focus Minerals Ltd"
comp_134,009132405,"Grange Resources Limited,Grange Resources Nl,Sabminco N.L.,Surfboard Limited"
comp_135,098674545,"Ab Steel Holdings Pty Limited,Atlas Group Holdings Limited,Atlas Steels Group Limited,Atlas Steels Group Pty Limited,Bisalloy Steel Group Ltd,Soncave Pty Limited"
comp_136,146287809,"Core Exploration Ltd,Core Lithium Ltd"
comp_137,633442618,"Barton Gold Holdings Limited,Barton Gold Holdings Pty Ltd,Parq Australian Resource Capital 1 Pty Ltd"
comp_138,095684389,"Fortuna Metals Ltd,Frontier Resources Limited,Lanthanein Resources Ltd,Tasex Resources Ltd,Tasgold Ltd,Tasmine Pty Ltd"
comp_139,131758177,"Meridien Resources Ltd,Stonewall Resources Limited,Theta Gold Mines Limited"
