Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
SRIK IN Equity,SRIKALAHASTHI PI,IN,Common Stock,--,282.34M,416.65M,1k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Foundries,--
BRIO CN Equity,BRIO GOLD INC,CA,Common Stock,--,284.35M,783.35M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
5934 JP Equity,NIPPON ALUMINIUM,JP,Common Stock,--,284.42M,353.81M,779,Industrial Metals and Mining,Aluminum,--,--,Machinery,Other Machinery & Equipment,--,--
2556566D CN Equity,URANIUM ONE INC,CA,Common Stock,--,289.61M,2.44B,--,Industrial Metals and Mining,Nonferrous Metals,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Base Metals,Uranium,--
HTM PW Equity,HUTMEN,PL,Common Stock,--,293.15M,162.13M,760,Industrial Metals and Mining,Copper,Electrical Equipment,Electrical Components & Equipment,Metals & Mining,Base Metals,Copper,Copper Smelting & Refining
HAML IT Equity,HAMLET,IL,Common Stock,--,294.73M,316.91M,--,Industrial Metals and Mining,Metal Fabricating,Machinery,Industrial Machinery & Supplies & Components,Machinery,Flow Control Equipment,Industrial Valve,--
NFER UZ Equity,NIKOPOLSKY ZAVOD,UA,Common Stock,--,295.17M,885.56M,4k,Industrial Metals and Mining,Iron and Steel,--,--,Metals & Mining,Base Metals,Manganese,--
1873283D AU Equity,INTERNATIONAL CO,AU,Common Stock,--,295.44M,986.49M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Base Metals,--,--
1506604D CN Equity,RIO ALTO MINING,CA,Common Stock,--,300.16M,981.04M,1k,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
PACIF CI Equity,PACIFICO,CL,Common Stock,--,300.97M,606.86M,902,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
