depositID:ID,ENO:int,STATE:string,LOCATION:string,OPERATING_STATUS:string,GEOLOGIC_AGE:string,DEPOSIT_MODEL_ENVIRONMENT:string,DEPOSIT_MODEL_GROUP:string,DEPOSIT_MODEL_TYPE:string,PROVINCES:string,IGNEOUS:string,METALLOGENIC:string,SEDIMENTARY:string,TECTONIC:string,:LABEL
deposit_1704,334316,WA,"121.3962,-30.8062",mineral deposit,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1705,334317,QLD,"152.5777,-27.6675",mineral deposit,Mesozoic,,,,Clarence-Moreton Basin,,,Clarence-Moreton Basin,"New England Orogen,Tasman Element,Wandilla Province",Deposit
deposit_1706,334323,NT,"129.9944,-20.2862",mineral deposit,Paleoproterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Tanami Orogen,Kalkarindji Igneous Province,,Rabbit Flat Paleovalley,"North Australian Element,Tanami Orogen",Deposit
deposit_1707,334326,NSW,"151.9009,-30.5745",mineral deposit,,,,,New England Orogen,,,,"New England Orogen,Tasman Element,Woolomin Province",Deposit
deposit_1708,334333,QLD,"145.7538,-20.3303",mineral deposit,Paleozoic,,,,,,,,"Charters Towers Province,Tasman Element,Thomson Orogen",Deposit
deposit_1709,334338,NSW,"151.5342,-33.2078",care and maintenance,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1710,334339,QLD,"148.363,-22.1524",mineral deposit,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen",Deposit
deposit_1711,334340,QLD,"147.7686,-20.5676",operating mine,,,,,Bowen Basin,,,Bowen Basin,"Connors-Auburn Province,New England Orogen,Tasman Element",Deposit
deposit_1712,334341,WA,"119.1823,-30.2856",mineral deposit,Archean,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1713,334343,WA,"116.7554,-28.1875",mineral deposit,Archean,,,,"Yilgarn Craton, Murchison Province",,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1714,334344,WA,"121.5748,-31.5029",feasibility,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1715,334350,SA,"139.318,-34.3623",mineral deposit,,,,,Murray Basin,,,Murray Basin,"Delamerian Orogen,Tasman Element",Deposit
deposit_1716,334351,WA,"121.5,-31.3547",historic mine,,,,,"Yilgarn Craton, Kambalda Nickel Metallogenic Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1717,334353,WA,"122.496,-28.6597",mineral deposit,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1718,334358,WA,"118.4427,-26.6838",historic mine,Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1719,334367,WA,"121.1813,-30.9467",historic mine,Archean,unknown,unknown,unknown,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1720,334368,NSW,"146.3082,-31.6229",feasibility,,,,,"Lachlan Orogen, Lachlan Orogen, Girilambone Base Metal Metallogenic Province, Mineral Hill Metallogenic Province",,,,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1721,334371,NSW,"149.5724,-33.9158",historic mine,,Magmatic hydrothermal,Skarn,Skarn gold ± copper ± tungsten,"Lachlan Orogen, Lachlan Orogen, Lucky Draw, Macquarie Igneous Province, Molong - Sofala Igneous Subprovince",,,,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1722,334372,NT,"135.7515,-22.7575",under development,Proterozoic,Magmatic hydrothermal,Skarn,Skarn tungsten ± Mo,"Arunta Orogen, Aileron Province",Kalkarindji Igneous Province,,,"Aileron Province,Arunta Orogen,North Australian Element",Deposit
deposit_1723,334373,WA,"117.8247,-28.0442",mineral deposit,Archean,,,,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Murchison Domain",,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1724,334374,NSW,"145.8551,-31.5161",operating mine,,Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,"Lachlan Orogen, Lachlan Orogen, Cobar Basin",,,Cobar Basin,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1725,334375,WA,"119.3772,-23.094",mineral deposit,Archean,,,,Hamersley Basin,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element",Deposit
deposit_1726,334378,WA,"128.9406,-26.0382",mineral deposit,Cenozoic,,,,"Musgrave Province, Nebo-Babel Nickel Metallogenic Province, Wingellina",Warakurna Large Igneous Province,,,"Central Australian Element,Musgrave Province",Deposit
deposit_1727,334379,TAS,"145.5574,-41.8664",operating mine,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,"Delamerian Orogen, Dundas Trough, Mount Lyell Copper-Gold Metallogenic Province, Mount Read Igneous Province",,,Thylacine Province,"Delamerian Orogen,Tasman Element",Deposit
deposit_1728,334380,QLD,"139.6122,-20.6614",mineral deposit,Proterozoic,Regional metasomatic,Alkali-calcic,Albitite-hosted uranium,"Mount Isa Orogen, Leichhardt River Fault Trough",,,,"Leichhardt River Domain,Mount Isa Orogen,North Australian Element",Deposit
deposit_1729,334386,WA,"120.5829,-30.1169",historic mine,Archean,,,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1730,334388,WA,"121.2355,-21.6388",operating mine,Archean,Supergene,Supergene,Supergene manganese,Oakover Paleovalley,,,"Fortescue Basin,Hamersley Basin,Oakover Paleovalley","Pilbara Craton,West Australian Element",Deposit
deposit_1731,334389,WA,"116.9275,-21.0788",mineral deposit,Archean,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),,"Pilbara Craton, Whundo Base Metal Metallogenic Province",Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element",Deposit
deposit_1732,334393,QLD,"139.989,-19.943",mineral deposit,Proterozoic,,,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element",Deposit
deposit_1733,334397,TAS,"145.5786,-42.0441",historic mine,,,,,"Dundas Trough, Mount Lyell Copper-Gold Metallogenic Province",,,Thylacine Province,"Delamerian Orogen,Tasman Element",Deposit
deposit_1734,334400,QLD,"140.0445,-20.7759",operating mine,Proterozoic,Regional metasomatic,Metasomatic iron,Iron sulfide polymetallic,"Mount Isa Orogen, Mary Kathleen Zone",,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element",Deposit
deposit_1735,334401,WA,"120.5889,-26.3674",mineral deposit,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Eastern Goldfields Province",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1736,334402,QLD,"148.371,-23.2101",care and maintenance,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen",Deposit
deposit_1737,334403,SA,"135.3826,-29.5868",operating mine,Paleoproterozoic,Basin chemical,Iron formation,Superior-type banded iron formation,"Gawler Craton, Olympic Copper Gold Metallogenic Province",,,Eromanga Basin,"Gawler Craton,South Australian Element",Deposit
deposit_1738,334407,VIC,"148.117,-37.6609",feasibility,,,,,Lachlan Orogen,,,,"Lachlan Orogen,Tabberabbera Zone,Tasman Element",Deposit
deposit_1739,334409,WA,"121.089,-30.3719",operating mine,Archean,unknown,unknown,unknown,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
