companyNameID:ID,text:string
compname_410,AMARI METALS AUSTRALIA PTY LTD
compname_411,AMBROSIA QUALITY FOODS PTY LTD
compname_412,AMC Consultants
compname_413,AMC Drilling Optimisation
compname_414,AMC PRECISION ENGINEERING LIMITED
compname_415,AMCI
compname_416,AMCI Inc
compname_417,AMCI Pty Ltd
compname_418,AMCOL Australia Pty Ltd
compname_419,AMCOL International Corp
compname_420,AMD Resources
compname_421,AMDAD Australian Mine Design Development
compname_422,AMDS Benelux Services NV
compname_423,AMEC Association of Mining and Exploration Companies
compname_424,AMEC Foster Wheeler France SA
compname_425,AMET-Finans OOO
compname_426,AMETS
compname_427,AMETS Australian Mining Exploration Title Services
compname_428,AMF Sarl
compname_429,AMG Balustrade
compname_430,AMG Chrome Ltd
compname_431,AMG Resources Ltd
compname_432,AMH Maintenance Pty Ltd
compname_433,AMIRA International Ltd
compname_434,AML Allied Mineral Laboratories
compname_435,AML Steel Ltd
compname_436,AML3D ASX AL3
compname_437,AMMA Australian Resources Energy Group
compname_438,AMML
compname_439,AMMS Group
compname_440,AMNS Khopoli Ltd
compname_441,AMPCONTROL BURN BRITE PTY LTD
compname_442,AMPCONTROL CABLES NSW PTY LTD
compname_443,AMPCONTROL CSM PTY LIMITED
compname_444,AMPCONTROL INTERNATIONAL HOLDINGS PTY LTD
compname_445,AMPCONTROL LIMITED
compname_446,AMPCONTROL SERVICE PTY LTD
compname_447,AMPCONTROL SWG PTY LIMITED
compname_448,AMPCONTROL TRANSFORMERS PTY LTD
compname_449,AMPERE Industrie SASU
compname_450,AMPFORD LIMITED
compname_451,AMPLITUDE ENERGY LIMITED
compname_452,AMPM Plumb Fix Services
compname_453,AMPOL AUSTRALIA PETROLEUM PTY LTD
compname_454,AMPOL LIMITED
compname_455,AMPOL PETROLEUM DISTRIBUTORS PTY LTD
compname_456,AMPOL RETAIL PTY LTD
compname_457,AMPOLEX PTY. LIMITED
compname_458,AMR Asia PCL
compname_459,AMT International Mining Corp
compname_460,AMTRADE INTERNATIONAL PTY LTD
compname_461,AMZ AO/Aleksandrovsk
compname_462,AN Tipper
compname_463,ANAS - SpA
compname_464,ANAX Metals Limited
compname_465,ANB Metal Cast Ltd
compname_466,ANDALUZ ACCESS LTD
compname_467,ANGLO AMERICAN METALLURGICAL COAL ASSETS EASTERN AUSTRALIA LIMITED
compname_468,ANGLO AMERICAN METALLURGICAL COAL ASSETS PTY LTD
compname_469,ANGLO AMERICAN METALLURGICAL COAL PTY LTD
compname_470,ANGLO AMERICAN TECHNICAL & SUSTAINABILITY SERVICES LTD
compname_471,ANGLO COAL HOLDINGS PTY LTD
compname_472,ANH Companies Pty Ltd
compname_473,ANI Integrated Services Ltd
compname_474,ANI JSC
compname_475,ANOTERO PTY LIMITED
compname_476,ANT Minerals Pty Ltd
compname_477,ANZON ENERGY LTD
compname_478,AOI Coal Co
compname_479,AP Facader A/S
compname_480,AP Green Industries Inc
compname_481,AP Steel Re-Rolling Mill Ltd
compname_482,APAC Resources Ltd
compname_483,APB Group Ltd
compname_484,APC Global Systems
compname_485,APC Group Inc/Philippines
compname_486,APC Minerals Ltd
compname_487,APCO Engineering
compname_488,APEG Mining Consulting Services
compname_489,APERAM SA
compname_490,APERGY ARTIFICIAL LIFT PTY. LTD
compname_491,APEX Earthmoving Supplies
compname_492,API Fabricacion SA
compname_493,API Invest & Finanz AG
compname_494,API VICTORIA PTY. LTD.
compname_495,APL Apollo Tubes Ltd
compname_496,APM Engineering Pty Limited
compname_497,APPLIED EXPLOSIVES TECHNOLOGY PTY LIMITED
compname_498,APR Structural Steel
compname_499,APS Adelaide Profile Services
compname_500,APS Arosio Extrusion SpA
compname_501,APS SpA
compname_502,APT Management Solutions Pty Ltd
compname_503,APV PLC
compname_504,AQM Copper Inc
compname_505,ARC EXPLORATION LIMITED
compname_506,ARC Training Centre for Integrated Operations for Complex Resources
compname_507,ARCHER Access
compname_508,ARCO COAL AUSTRALIA INC
compname_509,ARE Holdings Inc
compname_510,AREP SASU
compname_511,AREP Ville SASU
compname_512,ARES Corp
compname_513,AREVA Resources Southern Africa Inc
compname_514,ARGYLE DIAMONDS LIMITED
compname_515,ARK Mines Ltd
compname_516,ARM Cement Ltd
compname_517,ARRK LCO-Protomoule SASU
compname_518,ARROW CSG HOLDCO PTY LTD
compname_519,ARROW CSG PTY LTD
compname_520,ARROW ENERGY HOLDINGS PTY LTD
compname_521,ARROW PTY. LTD.
compname_522,ARSS Infrastructure Projects Ltd
compname_523,ARTS Group Co Ltd
compname_524,ARUNTA RESOURCES LTD
compname_525,ASA JSC/Chuong My
compname_526,ASA Resource Group PLC
compname_527,ASAHI DIAMOND INDUSTRIAL AUSTRALIA PTY LTD
compname_528,ASCC PROPERTY CUSTODIAN PTY LTD
compname_529,ASCO Industries NV
compname_530,ASCOT RESOURCES
compname_531,ASD Ltd
compname_532,ASF Copper Pty Ltd
compname_533,ASG Maintenance
compname_534,ASG Superconductors SpA
compname_535,ASHTON COAL MINES LIMITED
compname_536,ASI Garage Doors
compname_537,ASI Liquidating Corp
compname_538,ASIA SUPPLIER MANAGEMENT LIMITED
compname_539,ASIA s Resource Connections
compname_540,ASIMS Acoustic scanner Optical televiewer Sonic log analysis
compname_541,ASL Industries Ltd
compname_542,ASL Steel Fabrication Pty Ltd
compname_543,ASS Topographe Geometre Technicien Etu
compname_544,ASSM Duscon Pty Ltd
compname_545,ASST Pty Ltd Applied Scientific Services Technologies
compname_546,AST Sheetmetal Works
compname_547,ASTEEL Group Bhd
compname_548,ASTRON CORP LTD CDI
compname_549,ASV Holdings Inc
compname_550,ASW Holdings PLC
compname_551,AT Holdco Pte Ltd
compname_552,AT W Mining Civil Services
compname_553,ATA SpA
compname_554,ATA Steel
compname_555,ATAC Resources Ltd
compname_556,ATALAYA MINING COPPER SA
compname_557,ATB Geoscience
compname_558,ATB Metal Fab
compname_559,ATC Resources Pty Ltd
compname_560,ATC Sitios de Colombia SAS
compname_561,ATC Williams
compname_562,ATD Services Pty Ltd
compname_563,ATE Energy International Co Ltd
compname_564,ATF MINING ELECTRICS PTY LIMITED
compname_565,ATH Resources PLC
compname_566,ATS Air Treatment System Srl
compname_567,ATS Ingenierie SASU
compname_568,ATS Security Products
compname_569,ATV Projects India Ltd
compname_570,ATW Mining and Civil Services
compname_571,AU Holding AB
compname_572,AUCHINA ENERGY GROUP PTY LTD
compname_573,AUMS Geofields Tanzania Limited Limited)
compname_574,AUMS Limited
compname_575,AUQ Gold Mining Inc
compname_576,AUR Resources Inc
compname_577,AURORA GLOBAL PTY LTD
compname_578,AURORA GOLD AUSTRALIA PTY LIMITED
compname_579,AURORA GOLD FINANCE LIMITED
compname_580,AURYN Mining Corp
compname_581,AUS GARAGE DOOR
compname_582,AUS-OPS PTY LTD
compname_583,AUSAG Resources Pty Ltd
compname_584,AUSCUB SERVICE PTY LTD
compname_585,AUSDRILL PTY LTD
compname_586,AUSENCO GLOBAL PTY LTD
compname_587,AUSENCO INTERNATIONAL PTY LTD
compname_588,AUSENCO MANAGEMENT PTY LTD
compname_589,AUSENCO OPERATIONS PTY LTD
compname_590,AUSENCO PROJECTS AUSTRALIA PTY LTD
compname_591,AUSENCO RYLSON ASSET OPTIMISATION PTY LTD
compname_592,AUSENCO RYLSON PTY LTD
compname_593,AUSENCO SERVICES PTY LTD
compname_594,AUSENCO SOLUTIONS PTY LTD
compname_595,AUSPERL
compname_596,AUSTECH INSTRUMENTS PTY LIMITED
compname_597,AUSTRAL WRIGHT METALS
compname_598,AUSTRALASIAN POWER EQUIPMENT APEQ
compname_599,AUSTRALASIAN SOLVENTS AND CHEMICALS COMPANY PTY. LTD.
compname_600,AUSTRALIA PACIFIC LNG CSG MARKETING PTY LIMITED
compname_601,AUSTRALIA PACIFIC LNG CSG PROCESSING PTY LIMITED
compname_602,AUSTRALIA PACIFIC LNG CSG TRANSMISSIONS PTY LIMITED
compname_603,AUSTRALIA PACIFIC LNG DOWNSTREAM HOLDINGS PTY LIMITED
compname_604,AUSTRALIA PACIFIC LNG PROCESSING PTY LIMITED
compname_605,AUSTRALIA PACIFIC LNG PTY LIMITED
compname_606,AUSTRALIAN AGRIBUSINESS PTY LTD
compname_607,AUSTRALIAN BULLION COMPANY PTY LTD
compname_608,AUSTRALIAN COAL HOLDINGS PTY. LIMITED
compname_609,AUSTRALIAN COAL RESOURCES LIMITED
compname_610,AUSTRALIAN COIN AND BULLION EXCHANGE PTY LIMITED
compname_611,AUSTRALIAN DRILLING ASSOCIATES PTY LTD
compname_612,AUSTRALIAN GENERATORS
compname_613,AUSTRALIAN GOLD REAGENTS PTY. LTD.
compname_614,AUSTRALIAN MUD COMPANY PTY LTD
compname_615,AUSTRALIAN NICKEL INVESTMENTS PTY LTD
compname_616,AUSTRALIAN NICKEL MINES PTY LIMITED
