companyID:ID,name:string,Ticker:string,ACN:int,Market Cap:float,Revenue:Y:float,Tot Assets:Y:float,Number of Employees:LF:int,Company Description:string,Linkedin_empCount:int,Linkedin_Followers:int
comp_51,Maas Group Holdings Ltd,MGH AU Equity,632994542,1630000000.0,1040000000.0,1990000000.0,,"Maas Group Holdings Limited is a construction materials, equipment, andrelated services providing company. The Company focuses on civil,infrastructure, and mining end markets. Maas Group Holdings serves customers inAustralia.",,
comp_52,Mader Group Ltd,MAD AU Equity,159340397,1630000000.0,872200000.0,346990000.0,,Mader Group Limited provides mining services. The Company offers drilling anddigging services. Mader Group serves customers worldwide.,523,18225
comp_53,Bellevue Gold Ltd,BGL AU Equity,110439686,1610000000.0,394970000.0,1250000000.0,,Bellevue Gold Limited operates as a mining company. The Company engages in theexploration and development of gold mines. Bellevue Gold serves customers inAustralia.,53,4351
comp_54,MAC Copper Ltd,MTAL US Equity,,1530000000.0,516780000.0,2280000000.0,490,"MAC Copper Limited operates as a mining company. The Company focuses onacquiring and operating copper, silver, and minerals assets. MAC Copper servescustomers worldwide.",,
comp_55,Service Stream Ltd,SSM AU Equity,72369870,1430000000.0,2330000000.0,1050000000.0,5000,"Service Stream Limited is a specialized fixed, wireless and broadbandtelecommunications service provider. The Company acquires property, plans,approves, designs, constructs, installs, commissions, and provides ongoingmaintenance forwireless communications facilities. The Company also providesinstallation, construction and maintenance services for the telecom industry.",,
comp_56,WA1 Resources Ltd,WA1 AU Equity,646878631,1390000000.0,,130260000.0,,"WA1 Resources Ltd operates as a minerals mining company. The Company focuses onthe discovery, exploration, and production of gold and copper deposits. WA1Resources serves customers in Australia.",,
comp_57,Dateline Resources Ltd,DTR AU Equity,149105653,1350000000.0,,10030000.0,,"Dateline Resources Limited is an Australian gold and rare earth explorationcompany. The Company's Principal Activities are focused on operation of the GoldLinks Gold Mine in Colorado, as well as gold and rare earth exploration at theColosseum Project in California.",0,41
comp_58,Develop Global Ltd,DVP AU Equity,122180205,1300000000.0,147230000.0,471230000.0,,Develop Global Limited explores for precious metals in Australia.,,
comp_59,Tasmea Ltd,TEA AU Equity,88588425,1200000000.0,547910000.0,493560000.0,,"Tasmea Limited is a skilled services company. The Company provides essentialmaintenance, engineering, and specialized project services and solutions.Tasmea serves mining, resources, oil, gas, waste, water, power, renewableenergy, defense, and infrastructure industries in Australia.",,
comp_60,SRG Global Ltd,SRG AU Equity,104662259,1200000000.0,1320000000.0,855320000.0,,"SRG Global Limited operates as a construction services company. The Companyconstructs skyscrapers, bridges, dams, structures, transport infrastructures,and oil and gas projects, as well as offers drilling support, civil engineering,and industrial maintenance services. SRG Global serves customers worldwide.",,
comp_61,BCI Minerals Ltd,BCI AU Equity,120646924,1170000000.0,5800000.0,1200000000.0,,"BCI Minerals Limited is an Australian-based resources company. The Company isfocused on developing the Mardie Salt & Potash Project located in WesternAustralian, supported by iron ore royalty earnings.",67,2206
comp_62,Vulcan Energy Resources Ltd,VUL AU Equity,624223132,1110000000.0,13320000.0,637550000.0,,Vulcan Energy Resources Limited is aiming to produce a battery-quality lithiumhydroxide chemical product with a net zero carbon footprint from its combinedgeothermal and lithium resource in the Upper Rhine Valley of Germany.,,
comp_63,Predictive Discovery Ltd,PDI AU Equity,127171877,1090000000.0,,231320000.0,,"Predictive Discovery Ltd is focused on exploring and developing the Bankan GoldProject in Guinea, as well as its wider project portfolio in the Siguiri Basin.",,
comp_64,Alpha HPA Ltd,A4N AU Equity,106879690,1010000000.0,317520.0,283370000.0,,,0,27
comp_65,Energy Resources of Australia Ltd,ERA AU Equity,,1010000000.0,37200000.0,1350000000.0,,"Energy Resources of Australia Limited is a uranium company which mines,processes and sells uranium oxide from the Ranger mine in the Northern Territoryand uranium concentrates sourced outside Australia to nuclear electric utilitiesin Japan, South Korea, Europe and North America.  The Company also providesenvironmental consulting services.",103,990
comp_66,Black Cat Syndicate Ltd,BC8 AU Equity,620896282,964820000.0,,157800000.0,,Black Cat Syndicate Limited operates as a mining company. The Company focuseson exploration and development of gold field projects. Black Cat Syndicatedevelops its projects in Australia.,14,490
comp_67,SolGold PLC,SOLG LN Equity,117169856,961280000.0,,695000000.0,,SolGold is a leading exploration company focussed on the discovery and definition of world class copper gold deposits SolGold is the largest concession holder in Ecuador and is aggressively exploring the length and breadth of this highly prospective section of the Andean Copper Belt Listed on the London Stock Exchange and the Toronto Stock Exchange LSE TSX SOLG See www solgold com au for more information,115,0
comp_68,FireFly Metals Ltd,FFM AU Equity,110336733,928410000.0,,368120000.0,,"FireFly Metals Ltd operates as a mineral exploration company. The Companyexplores and mines copper, silver, and gold projects. FireFly Metals servescustomers worldwide.",,
comp_69,Macmahon Holdings Ltd,MAH AU Equity,7634406,915870000.0,2430000000.0,1760000000.0,10000,"Macmahon Holdings Limited is a civil engineering and contract mining company.The Company offers contract engineering services for areas including roadwork,mining, ports, dams, railways, airports and bridges. The Company also providesmining services which include drilling and blasting, crushing, support,mine refurbishment, and equipment reconditioning.",1768,44785
comp_70,Kingsgate Consolidated Ltd,KCN AU Equity,837472,912440000.0,336750000.0,541780000.0,,Kingsgate Consolidated Limited is a gold mining and exploration company withoperations focused in Thailand at the Chatree gold project. The Company alsoexplores for silver and other metals.,20,553
comp_71,Brazilian Rare Earths Ltd,BRE AU Equity,649154870,889090000.0,,86090000.0,,Brazilian Rare Earths Limited provides exploration and mining services. TheCompany explores and develops heavy and light rare earth projects in NortheastBrazil. Brazilian Rare Earths serves customers worldwide.,,
