:START_ID,:END_ID,:TYPE,ROLE:string
deposit_0089,commodity_0010,HAS,Primary
deposit_0090,commodity_0016,HAS,Primary
deposit_0091,commodity_0010,HAS,Primary
deposit_0092,commodity_0010,HAS,Primary
deposit_0093,commodity_0010,HAS,Primary
deposit_0094,commodity_0018,HAS,Primary
deposit_0094,commodity_0086,HAS,Primary
deposit_0095,commodity_0026,HAS,Primary
deposit_0095,commodity_0086,HAS,Primary
deposit_0096,commodity_0010,HAS,Primary
deposit_0097,commodity_0126,HAS,Primary
deposit_0097,commodity_0127,HAS,Primary
deposit_0098,commodity_0015,HAS,Primary
deposit_0099,commodity_0087,HAS,Primary
deposit_0100,commodity_0010,HAS,Primary
deposit_0101,commodity_0112,HAS,Primary
deposit_0102,commodity_0010,HAS,Primary
deposit_0103,commodity_0010,HAS,Secondary
deposit_0103,commodity_0026,HAS,Primary
deposit_0104,commodity_0092,HAS,Secondary
deposit_0104,commodity_0096,HAS,Primary
deposit_0105,commodity_0001,HAS,Secondary
deposit_0105,commodity_0093,HAS,Primary
deposit_0105,commodity_0137,HAS,Primary
deposit_0106,commodity_0010,HAS,Primary
deposit_0107,commodity_0010,HAS,Primary
deposit_0108,commodity_0001,HAS,Primary
deposit_0108,commodity_0026,HAS,Secondary
deposit_0108,commodity_0093,HAS,Primary
deposit_0108,commodity_0137,HAS,Secondary
deposit_0109,commodity_0001,HAS,Primary
deposit_0109,commodity_0010,HAS,Primary
deposit_0110,commodity_0001,HAS,Primary
deposit_0110,commodity_0010,HAS,Primary
deposit_0110,commodity_0012,HAS,Primary
deposit_0110,commodity_0017,HAS,Primary
deposit_0110,commodity_0026,HAS,Secondary
deposit_0110,commodity_0093,HAS,Primary
deposit_0110,commodity_0108,HAS,Secondary
deposit_0110,commodity_0137,HAS,Primary
deposit_0111,commodity_0010,HAS,Primary
deposit_0112,commodity_0037,HAS,Primary
deposit_0112,commodity_0040,HAS,Primary
deposit_0112,commodity_0049,HAS,Primary
deposit_0113,commodity_0001,HAS,Primary
deposit_0113,commodity_0010,HAS,Primary
deposit_0114,commodity_0001,HAS,Primary
deposit_0114,commodity_0010,HAS,Primary
deposit_0114,commodity_0026,HAS,Primary
deposit_0114,commodity_0093,HAS,Secondary
deposit_0114,commodity_0137,HAS,Primary
deposit_0115,commodity_0015,HAS,Primary
deposit_0116,commodity_0037,HAS,Primary
deposit_0116,commodity_0040,HAS,Primary
deposit_0117,commodity_0010,HAS,Primary
deposit_0118,commodity_0037,HAS,Primary
deposit_0118,commodity_0122,HAS,Primary
deposit_0118,commodity_0129,HAS,Primary
deposit_0119,commodity_0001,HAS,Primary
deposit_0119,commodity_0093,HAS,Primary
deposit_0119,commodity_0137,HAS,Primary
deposit_0120,commodity_0018,HAS,Primary
deposit_0120,commodity_0086,HAS,Primary
deposit_0120,commodity_0109,HAS,Primary
deposit_0121,commodity_0086,HAS,Primary
deposit_0122,commodity_0015,HAS,Primary
deposit_0123,commodity_0015,HAS,Primary
deposit_0124,commodity_0015,HAS,Primary
deposit_0125,commodity_0010,HAS,Primary
deposit_0126,commodity_0010,HAS,Primary
deposit_0127,commodity_0010,HAS,Primary
deposit_0128,commodity_0010,HAS,Primary
deposit_0129,commodity_0010,HAS,Primary
deposit_0130,commodity_0010,HAS,Primary
deposit_0131,commodity_0010,HAS,Primary
deposit_0132,commodity_0016,HAS,Primary
deposit_0133,commodity_0001,HAS,Secondary
deposit_0133,commodity_0010,HAS,Primary
deposit_0133,commodity_0012,HAS,Primary
deposit_0133,commodity_0026,HAS,Primary
deposit_0133,commodity_0093,HAS,Primary
deposit_0133,commodity_0108,HAS,Secondary
deposit_0133,commodity_0137,HAS,Primary
deposit_0134,commodity_0016,HAS,Primary
deposit_0135,commodity_0010,HAS,Primary
deposit_0136,commodity_0018,HAS,Secondary
deposit_0136,commodity_0026,HAS,Secondary
deposit_0136,commodity_0086,HAS,Primary
deposit_0137,commodity_0057,HAS,Primary
deposit_0137,commodity_0105,HAS,Secondary
deposit_0137,commodity_0122,HAS,Secondary
deposit_0137,commodity_0139,HAS,Primary
deposit_0138,commodity_0010,HAS,Primary
deposit_0139,commodity_0010,HAS,Primary
deposit_0140,commodity_0010,HAS,Secondary
deposit_0140,commodity_0018,HAS,Primary
deposit_0140,commodity_0026,HAS,Primary
deposit_0141,commodity_0010,HAS,Primary
deposit_0142,commodity_0010,HAS,Primary
deposit_0143,commodity_0057,HAS,Primary
deposit_0143,commodity_0105,HAS,Primary
deposit_0143,commodity_0139,HAS,Primary
deposit_0144,commodity_0010,HAS,Primary
deposit_0145,commodity_0010,HAS,Primary
deposit_0146,commodity_0102,HAS,Primary
deposit_0146,commodity_0126,HAS,Primary
deposit_0146,commodity_0127,HAS,Primary
deposit_0147,commodity_0001,HAS,Primary
deposit_0147,commodity_0010,HAS,Primary
deposit_0147,commodity_0012,HAS,Primary
deposit_0147,commodity_0018,HAS,Primary
deposit_0147,commodity_0026,HAS,Primary
deposit_0148,commodity_0053,HAS,Primary
deposit_0148,commodity_0057,HAS,Primary
deposit_0148,commodity_0066,HAS,Primary
deposit_0148,commodity_0077,HAS,Secondary
deposit_0148,commodity_0105,HAS,Primary
deposit_0148,commodity_0122,HAS,Primary
deposit_0148,commodity_0133,HAS,Secondary
deposit_0148,commodity_0139,HAS,Primary
deposit_0149,commodity_0037,HAS,Primary
deposit_0150,commodity_0026,HAS,Primary
deposit_0150,commodity_0113,HAS,Primary
deposit_0150,commodity_0131,HAS,Primary
deposit_0151,commodity_0001,HAS,Secondary
deposit_0151,commodity_0010,HAS,Secondary
deposit_0151,commodity_0026,HAS,Primary
deposit_0152,commodity_0010,HAS,Primary
deposit_0153,commodity_0010,HAS,Primary
deposit_0154,commodity_0010,HAS,Primary
deposit_0155,commodity_0015,HAS,Primary
deposit_0156,commodity_0015,HAS,Primary
deposit_0157,commodity_0037,HAS,Primary
deposit_0157,commodity_0040,HAS,Primary
deposit_0157,commodity_0049,HAS,Primary
deposit_0158,commodity_0001,HAS,Secondary
deposit_0158,commodity_0010,HAS,Primary
deposit_0158,commodity_0026,HAS,Secondary
deposit_0158,commodity_0093,HAS,Primary
deposit_0158,commodity_0137,HAS,Primary
deposit_0159,commodity_0010,HAS,Primary
deposit_0160,commodity_0010,HAS,Primary
deposit_0161,commodity_0010,HAS,Primary
deposit_0162,commodity_0026,HAS,Primary
deposit_0162,commodity_0086,HAS,Primary
deposit_0163,commodity_0001,HAS,Secondary
deposit_0163,commodity_0026,HAS,Primary
deposit_0163,commodity_0037,HAS,Primary
deposit_0163,commodity_0040,HAS,Secondary
deposit_0163,commodity_0079,HAS,Primary
deposit_0164,commodity_0001,HAS,Secondary
deposit_0164,commodity_0010,HAS,Secondary
deposit_0164,commodity_0026,HAS,Primary
deposit_0164,commodity_0093,HAS,Primary
deposit_0164,commodity_0137,HAS,Primary
deposit_0165,commodity_0010,HAS,Primary
deposit_0166,commodity_0071,HAS,Primary
deposit_0166,commodity_0072,HAS,Primary
deposit_0166,commodity_0073,HAS,Primary
deposit_0167,commodity_0126,HAS,Primary
deposit_0167,commodity_0127,HAS,Secondary
deposit_0167,commodity_0129,HAS,Secondary
deposit_0168,commodity_0001,HAS,Secondary
deposit_0168,commodity_0017,HAS,Primary
deposit_0168,commodity_0026,HAS,Primary
deposit_0168,commodity_0093,HAS,Primary
deposit_0168,commodity_0108,HAS,Secondary
deposit_0168,commodity_0137,HAS,Primary
deposit_0169,commodity_0010,HAS,Primary
deposit_0170,commodity_0126,HAS,Primary
deposit_0170,commodity_0127,HAS,Primary
deposit_0171,commodity_0001,HAS,Primary
deposit_0171,commodity_0010,HAS,Secondary
deposit_0171,commodity_0026,HAS,Primary
deposit_0171,commodity_0093,HAS,Primary
deposit_0171,commodity_0137,HAS,Primary
deposit_0172,commodity_0010,HAS,Primary
deposit_0173,commodity_0018,HAS,Primary
deposit_0173,commodity_0026,HAS,Primary
deposit_0173,commodity_0086,HAS,Primary
deposit_0173,commodity_0095,HAS,Primary
deposit_0174,commodity_0010,HAS,Primary
deposit_0174,commodity_0026,HAS,Primary
deposit_0174,commodity_0126,HAS,Secondary
deposit_0175,commodity_0131,HAS,Primary
deposit_0175,commodity_0132,HAS,Primary
deposit_0176,commodity_0001,HAS,Secondary
deposit_0176,commodity_0010,HAS,Secondary
deposit_0176,commodity_0026,HAS,Primary
deposit_0177,commodity_0010,HAS,Primary
deposit_0178,commodity_0010,HAS,Primary
deposit_0179,commodity_0001,HAS,Secondary
deposit_0179,commodity_0026,HAS,Secondary
deposit_0179,commodity_0113,HAS,Primary
deposit_0180,commodity_0015,HAS,Primary
deposit_0181,commodity_0015,HAS,Primary
deposit_0182,commodity_0010,HAS,Primary
deposit_0183,commodity_0010,HAS,Primary
deposit_0184,commodity_0010,HAS,Primary
deposit_0185,commodity_0130,HAS,Primary
deposit_0186,commodity_0010,HAS,Primary
deposit_0187,commodity_0001,HAS,Secondary
deposit_0187,commodity_0010,HAS,Primary
deposit_0187,commodity_0026,HAS,Primary
deposit_0187,commodity_0037,HAS,Secondary
deposit_0187,commodity_0040,HAS,Primary
deposit_0187,commodity_0093,HAS,Primary
deposit_0187,commodity_0137,HAS,Primary
deposit_0188,commodity_0026,HAS,Primary
deposit_0188,commodity_0086,HAS,Primary
deposit_0189,commodity_0015,HAS,Primary
deposit_0190,commodity_0026,HAS,Primary
deposit_0191,commodity_0010,HAS,Primary
deposit_0192,commodity_0015,HAS,Primary
deposit_0193,commodity_0010,HAS,Primary
deposit_0194,commodity_0010,HAS,Primary
deposit_0195,commodity_0012,HAS,Primary
deposit_0195,commodity_0093,HAS,Primary
deposit_0195,commodity_0113,HAS,Primary
deposit_0195,commodity_0131,HAS,Primary
deposit_0195,commodity_0132,HAS,Primary
deposit_0195,commodity_0137,HAS,Primary
deposit_0196,commodity_0010,HAS,Primary
deposit_0197,commodity_0010,HAS,Primary
deposit_0198,commodity_0010,HAS,Primary
deposit_0199,commodity_0010,HAS,Primary
deposit_0200,commodity_0037,HAS,Secondary
deposit_0200,commodity_0040,HAS,Primary
deposit_0201,commodity_0010,HAS,Primary
deposit_0202,commodity_0015,HAS,Primary
deposit_0203,commodity_0010,HAS,Primary
deposit_0203,commodity_0108,HAS,Primary
deposit_0204,commodity_0010,HAS,Primary
deposit_0205,commodity_0018,HAS,Primary
deposit_0205,commodity_0037,HAS,Secondary
deposit_0205,commodity_0040,HAS,Primary
deposit_0205,commodity_0086,HAS,Secondary
deposit_0206,commodity_0037,HAS,Secondary
deposit_0206,commodity_0040,HAS,Primary
deposit_0207,commodity_0057,HAS,Primary
deposit_0207,commodity_0066,HAS,Primary
deposit_0207,commodity_0105,HAS,Primary
deposit_0207,commodity_0139,HAS,Primary
deposit_0208,commodity_0016,HAS,Primary
deposit_0209,commodity_0015,HAS,Primary
deposit_0210,commodity_0015,HAS,Primary
deposit_0211,commodity_0001,HAS,Primary
deposit_0211,commodity_0093,HAS,Primary
deposit_0211,commodity_0137,HAS,Primary
deposit_0212,commodity_0126,HAS,Primary
deposit_0212,commodity_0127,HAS,Secondary
deposit_0213,commodity_0037,HAS,Primary
deposit_0213,commodity_0040,HAS,Primary
deposit_0214,commodity_0001,HAS,Secondary
deposit_0214,commodity_0018,HAS,Primary
deposit_0214,commodity_0026,HAS,Primary
deposit_0215,commodity_0010,HAS,Primary
deposit_0215,commodity_0026,HAS,Primary
deposit_0216,commodity_0010,HAS,Primary
deposit_0217,commodity_0001,HAS,Primary
deposit_0217,commodity_0010,HAS,Secondary
deposit_0217,commodity_0026,HAS,Primary
deposit_0217,commodity_0093,HAS,Secondary
deposit_0217,commodity_0137,HAS,Primary
deposit_0218,commodity_0018,HAS,Primary
deposit_0218,commodity_0026,HAS,Primary
deposit_0218,commodity_0059,HAS,Primary
deposit_0218,commodity_0086,HAS,Primary
deposit_0218,commodity_0094,HAS,Primary
deposit_0218,commodity_0095,HAS,Primary
deposit_0218,commodity_0099,HAS,Primary
deposit_0219,commodity_0001,HAS,Secondary
deposit_0219,commodity_0010,HAS,Primary
deposit_0219,commodity_0026,HAS,Primary
deposit_0219,commodity_0093,HAS,Primary
deposit_0219,commodity_0137,HAS,Primary
deposit_0220,commodity_0010,HAS,Primary
deposit_0221,commodity_0015,HAS,Primary
deposit_0222,commodity_0015,HAS,Primary
deposit_0223,commodity_0015,HAS,Primary
deposit_0224,commodity_0015,HAS,Primary
deposit_0225,commodity_0092,HAS,Secondary
deposit_0225,commodity_0096,HAS,Primary
deposit_0226,commodity_0092,HAS,Secondary
deposit_0226,commodity_0096,HAS,Primary
deposit_0227,commodity_0010,HAS,Primary
deposit_0228,commodity_0010,HAS,Primary
deposit_0229,commodity_0010,HAS,Primary
deposit_0230,commodity_0010,HAS,Primary
deposit_0231,commodity_0075,HAS,Secondary
deposit_0231,commodity_0076,HAS,Primary
deposit_0232,commodity_0010,HAS,Primary
deposit_0233,commodity_0010,HAS,Primary
deposit_0234,commodity_0015,HAS,Primary
deposit_0235,commodity_0010,HAS,Primary
deposit_0236,commodity_0015,HAS,Primary
deposit_0237,commodity_0010,HAS,Primary
deposit_0238,commodity_0015,HAS,Primary
deposit_0239,commodity_0103,HAS,Primary
deposit_0240,commodity_0001,HAS,Secondary
deposit_0240,commodity_0010,HAS,Primary
deposit_0241,commodity_0010,HAS,Primary
deposit_0242,commodity_0016,HAS,Primary
deposit_0243,commodity_0015,HAS,Primary
deposit_0244,commodity_0018,HAS,Primary
deposit_0244,commodity_0086,HAS,Primary
deposit_0245,commodity_0057,HAS,Primary
deposit_0245,commodity_0066,HAS,Secondary
deposit_0245,commodity_0105,HAS,Primary
deposit_0245,commodity_0139,HAS,Primary
deposit_0246,commodity_0037,HAS,Primary
deposit_0246,commodity_0040,HAS,Secondary
deposit_0247,commodity_0010,HAS,Primary
deposit_0248,commodity_0015,HAS,Primary
deposit_0249,commodity_0010,HAS,Primary
deposit_0249,commodity_0108,HAS,Primary
deposit_0250,commodity_0015,HAS,Primary
deposit_0251,commodity_0010,HAS,Primary
deposit_0252,commodity_0010,HAS,Primary
deposit_0253,commodity_0057,HAS,Primary
deposit_0253,commodity_0066,HAS,Primary
deposit_0253,commodity_0139,HAS,Primary
deposit_0254,commodity_0015,HAS,Primary
deposit_0255,commodity_0010,HAS,Primary
deposit_0255,commodity_0026,HAS,Primary
deposit_0257,commodity_0010,HAS,Primary
deposit_0258,commodity_0010,HAS,Primary
deposit_0259,commodity_0010,HAS,Primary
deposit_0260,commodity_0113,HAS,Primary
deposit_0260,commodity_0114,HAS,Primary
deposit_0260,commodity_0116,HAS,Primary
deposit_0260,commodity_0117,HAS,Primary
deposit_0261,commodity_0010,HAS,Primary
deposit_0262,commodity_0010,HAS,Primary
deposit_0263,commodity_0001,HAS,Secondary
deposit_0263,commodity_0010,HAS,Primary
deposit_0264,commodity_0113,HAS,Primary
deposit_0264,commodity_0131,HAS,Primary
deposit_0264,commodity_0132,HAS,Primary
deposit_0265,commodity_0010,HAS,Primary
deposit_0265,commodity_0023,HAS,Secondary
deposit_0265,commodity_0026,HAS,Primary
deposit_0265,commodity_0086,HAS,Primary
deposit_0265,commodity_0094,HAS,Primary
deposit_0265,commodity_0095,HAS,Primary
deposit_0265,commodity_0099,HAS,Primary
deposit_0265,commodity_0104,HAS,Primary
deposit_0266,commodity_0126,HAS,Primary
deposit_0266,commodity_0127,HAS,Secondary
deposit_0267,commodity_0001,HAS,Secondary
deposit_0267,commodity_0010,HAS,Primary
deposit_0268,commodity_0010,HAS,Primary
deposit_0269,commodity_0026,HAS,Primary
deposit_0270,commodity_0001,HAS,Primary
deposit_0270,commodity_0010,HAS,Primary
deposit_0270,commodity_0026,HAS,Primary
deposit_0270,commodity_0093,HAS,Primary
deposit_0270,commodity_0137,HAS,Primary
deposit_0271,commodity_0001,HAS,Secondary
deposit_0271,commodity_0010,HAS,Secondary
deposit_0271,commodity_0093,HAS,Primary
deposit_0271,commodity_0137,HAS,Primary
deposit_0272,commodity_0015,HAS,Primary
deposit_0273,commodity_0010,HAS,Primary
deposit_0273,commodity_0018,HAS,Secondary
deposit_0273,commodity_0026,HAS,Primary
deposit_0274,commodity_0053,HAS,Primary
deposit_0274,commodity_0057,HAS,Primary
deposit_0274,commodity_0066,HAS,Secondary
deposit_0274,commodity_0077,HAS,Secondary
deposit_0274,commodity_0105,HAS,Primary
deposit_0274,commodity_0122,HAS,Primary
deposit_0274,commodity_0133,HAS,Primary
deposit_0274,commodity_0139,HAS,Primary
deposit_0275,commodity_0064,HAS,Primary
deposit_0276,commodity_0010,HAS,Primary
deposit_0277,commodity_0010,HAS,Primary
deposit_0278,commodity_0010,HAS,Primary
deposit_0279,commodity_0010,HAS,Primary
deposit_0280,commodity_0015,HAS,Primary
deposit_0281,commodity_0015,HAS,Primary
deposit_0282,commodity_0015,HAS,Primary
deposit_0283,commodity_0001,HAS,Secondary
deposit_0283,commodity_0010,HAS,Primary
deposit_0284,commodity_0010,HAS,Primary
deposit_0285,commodity_0015,HAS,Primary
deposit_0286,commodity_0015,HAS,Primary
deposit_0287,commodity_0036,HAS,Primary
deposit_0287,commodity_0042,HAS,Primary
deposit_0288,commodity_0015,HAS,Primary
deposit_0289,commodity_0010,HAS,Primary
deposit_0290,commodity_0010,HAS,Primary
deposit_0291,commodity_0010,HAS,Primary
deposit_0292,commodity_0010,HAS,Primary
deposit_0293,commodity_0010,HAS,Primary
deposit_0294,commodity_0010,HAS,Primary
deposit_0295,commodity_0010,HAS,Primary
deposit_0296,commodity_0010,HAS,Primary
deposit_0297,commodity_0010,HAS,Primary
deposit_0298,commodity_0010,HAS,Primary
deposit_0299,commodity_0010,HAS,Primary
deposit_0300,commodity_0057,HAS,Primary
deposit_0300,commodity_0066,HAS,Secondary
deposit_0300,commodity_0105,HAS,Secondary
deposit_0300,commodity_0139,HAS,Primary
deposit_0301,commodity_0026,HAS,Primary
deposit_0301,commodity_0086,HAS,Primary
deposit_0302,commodity_0001,HAS,Primary
deposit_0302,commodity_0010,HAS,Primary
deposit_0302,commodity_0026,HAS,Primary
deposit_0303,commodity_0015,HAS,Primary
deposit_0304,commodity_0010,HAS,Primary
deposit_0305,commodity_0010,HAS,Primary
deposit_0306,commodity_0010,HAS,Primary
deposit_0307,commodity_0010,HAS,Primary
